text,labels
I'm so worried about my exam that I had a bad day.,3
I am stressed out about my exams.,3
I am delighted to say that all is going well.,2
I just passed my exam and I am feeling great.,2
I am upset and depressed.,0
My mood is low.,0
I'm feeling great.,2
I was supposed to see my dad today but he had to change his mind.,0
I don't feel like I have anything going on.,0
"I lost $100 on a bet with my friend, my team was disqualified, and I'm really angry.",1
I don't know why I'm scared.,3
I'm very nervous about going to the dentist.,3
My mom scolded me for being messy when I was trying to clean up.,0
It's a great day so far.,2
"Thank you, and you?",2
I think my girlfriend has been lying to me.,3
"I'm really sad, my puppy ran away yesterday and I can't find him.",0
"Thank you, great thanks.",2
I did something that made me cringe yesterday.,3
I am frustrated.,1
I'm angry.,1
I am being discriminated against.,1
I am angry with my co-workers.,1
I am nervous about my exam.,3
I am not sure.,3
I am at ease today.,2
My heart is racing and I am jittery.,3
I'm afraid of getting Covid-19 because I'm not in great health.,3
I'm really depressed.,0
"I am fine, God is good and life is great.",2
I'm worried at the moment.,3
I am not sure if I will get my work done on time.,3
"I'm annoyed, I think I'm on top of things.",1
I am not happy with my partner's behavior.,1
I am angry and annoyed.,1
I feel like I have been treated badly.,1
I saw my husband cheat on me.,1
I don't feel good.,0
I'm angry today.,1
"Good, got a good night's rest.",2
My best friend won't talk to me because I'm feeling unwell.,0
I'm not feeling well today.,3
I am sad today.,0
I was rained on this morning.,0
I failed my test and I am angry.,1
I don't feel great and I'm worried because I don't know why.,3
I had a bad day today.,1
I lost a friend last night and I am sad today.,0
I'm afraid that my child may be sick.,3
I don't know what to do because she just won't talk to me anymore.,0
I am very worried about our future.,3
I am not doing well.,0
I am worried that my work will not be high quality.,3
I just had a panic attack and I feel terrible.,3
I am feeling great today.,2
It was just miserable today.,0
Everything is going wrong today.,1
I lost money and I am angry.,1
I feel bad.,0
I feel frightened all the time.,3
I was just angry about everything.,1
I had a great day walking in the mountains.,2
I don't like my girl.,1
I am feeling great.,2
I want to punch someone.,1
I'm afraid of what will come.,3
I can't sleep or eat.,0
I am sad.,0
"I've had a good day, thanks a lot.",2
I'm not feeling well.,0
I think I need to be alone because my heart is racing.,3
"I'm afraid I messed up, if I'm honest.",3
I'm doing well and I'm in a good mood.,2
I feel like nothing is going right in my life.,0
I was put on my heels as to what my future holds in this company because of the meeting that I had today.,3
I got into a fight with my mom.,0
I feel great.,2
My dog was put to sleep.,0
I am not sure if I am feeling good.,3
I am not sure what I want to do in the future.,3
Thank you for your kind words.,2
I am feeling a bit down.,0
I found out that my parents are divorcing.,0
I'm worried about the questions that will be used for exams.,3
I had a disagreement with my sister.,0
I am angry.,1
It's sunny.,2
I got into an argument with my brother.,0
I have to go for Covid testing as I am experiencing symptoms and I am afraid I might be positive.,3
I found out that my grandmother is not going to live long.,0
I was unfairly denied a promotion at work.,1
I'm not good at anything.,1
"I'm angry, I was fired from my job.",1
"I left the house angry after a fight with my parents, I feel like they're to blame.",1
My child is sick.,3
I'm a little worried and stressed out.,3
I feel the way I do because they are to blame.,1
I am happy.,2
I'm not able to stay focused and lonely.,0
I punched my ex's car window.,1
I can't face the day because I am not doing well.,3
I don't have a boyfriend or friends.,0
My husband lost his job.,0
I don't know why I am not okay.,1
I am doing great.,2
I feel sad and alone today.,0
I feel prepared to fight.,1
I'm not doing well.,0
I'm feeling great!,2
I was fired recently.,0
It was pretty good.,2
I am not happy with my day so far.,1
I lost a friend last night.,0
"My boss, my husband and my kids are against me.",1
I am very discouraged.,0
"I've been through a rough few days, but I wish I was feeling better.",0
I need to resolve some family issues.,3
I lost my job last year and have been down in the dumps ever since.,0
I am very happy today.,2
I have lost my grandpa recently.,0
I'm very nervous and I'm beside myself.,3
I'm not sure if I've been better or worse.,3
It is a wonderful day to be alive.,2
I am sad because I am not feeling great.,0
I'm angry at everything.,1
"The traffic was terrible, I almost crashed into them.",1
I can't stand my life and my partner can't either.,1
On top of the world!,2
"I feel like there is no light at the end of the tunnel, I'm in arrears with my mortgage, I am stressed today, I feel like there is no light at the end of the tunnel.",3
I am not doing well.,1
I'm sad because my dog ran away.,0
I am so sad that my dog died after being hit by a car.,0
I'm so angry and hurt that she cheated on me.,1
