text,labels
到为止，我憎恨我的一天。,1
我感觉极为混乱。,3
我感到遗憾不是确定和恐惧感。,3
请别责怪我,1
我害怕我的女孩在教会学校,3
我觉得自己很郁闷。,0
我对上周班莱班县再次出现的事情不已这么为难。,1
呢非常恼怒！我的东主根本不是尊严我的间隔！,1
我今天大感宁静和狭隘。,2
今天如果说惨不忍睹。,0
虽说，我有点不安和迟疑。,3
我今天有六次痛哭。,0
懊悔，我极其生气，我不够知道为什么。,1
我十分憋屈我考试零分。,0
很着急。我尚在耐心等待我今天下午申请加入的紧接著考试的Roujan。我知道我偷懒得极佳，但我前年也这么认为，并没有得到这份在工作中。,3
感觉自己在地表：从刚甩了基层工作,0
我抱怨进城,3
我现在隆贝县，需要离去。,3
我深感害怕，因为我今天必须做演说,3
我畏惧想失败,3
生存环境是灿烂的！,2
我抱怨你们在Chilhac之前用临牌。,3
我好,1
我今天财务压力非常大，我在等一些测试报告结果,3
我难道极为难堪，极为难堪，我在任何政府机构都拜托不到管理工作。,0
我颇感有点害怕,3
今天能目睹我的家人，我不已这么难过。,2
我很责怪我们的接下来,3
我更好,2
我十分郁闷，因为我问问不了此卡。,1
非常坏,2
我样子自己站间在当今世界之巅！,2
我怕我笔试GPA。,3
我今天好像极其不稳，对我的身体不孤单。,3
用心的！今天尽力将我所有的任务从我的表单中所核查出来。,2
我要是砸伤人分的脸。现在的人分也是傻瓜。,1
我不太好，我的项目组被废除了豁免权，我和同事打破纪录赢了100美元兑，我也许极为难。我有这种样子是上赛季的错。,1
我今天一直感到遗憾惧怕。,3
我今天感到遗憾非常冷淡和恐惧,3
我较好，非常感谢，我邂逅了愉悦的一天,2
我很懊恼。我和舅舅意见建议相悖。,0
我感到不安,3
我令人难忘，觉得我今天取得了许多进步。,2
我极其高兴我的伙计挑选了我举办步步高升,2
我难道没事，我的肠子在伸长，我怕我的高速行驶考试成绩GPA。,3
一切几乎这么差劣，我厌恶我的生活习惯,1
我感到遗憾非常高兴，因为我进入了我愿望中同的学院,2
我今天极不安，一切甚至心情极压倒。,3
我实在这么责怪我的外表，有些冬天我宁愿根本不能回家,3
我觉得有点绝望。,0
我非常焦躁，因为我需要解决目前一些中产阶级问题。,3
我心境不好,1
我今天活得极其可怕我极其抱怨我的测验,3
我再说，就是有点犹豫。,3
就像一栋才刚盆地的盆地。,1
我厌恶了这种紫菊。,1
我这么不悦我的同事因为我的其他工作而受到夸奖。,1
我非常重要，非常感谢,2
我对短短的顺便看医生感到不安。,3
我过的上佳你前段时间怎样？,2
圣洁,2
我无法全部停止悲伤，因为我非常想念我的姐姐。,0
我现在感极好。,2
我今天看起来全由，没有什么可以让我吃惊。,2
我笑容太好了。,2
很差，因为银行业务弄成了我的存折银行帐户。,1
我的高中同学因为她的轻率而让我发狂！,1
我看起来极其凄惨，我要是我今天失去了三个同事。,0
我完全哈哈哈了。,1
我两句话即使不能正常，我的背在翻转，我感到遗憾有财务压力,3
我倍感吃紧。,3
我今天深感极为抱怨，因为我可能会失去在工作中。,3
今天呢对我造成了侵害，我已经筋疲力尽了。,1
我过的不怎么样，我就算无法正视这一天。,3
我太不悦，因为我姊姊拿走了我50镑。,1
今天我心境非常低落。我只是没有一种美妙的傍晚。,0
