text,labels
茫茫人海， 人生如露， 要找到最合适自己的那一个谈何容易,0
你或许可以在 40 岁时找到上天注定的那一个，可是 你能等到 40 岁吗?,0
多岁时找不到，却不得不结婚，在三四十岁时找到却不得不放弃。,0
可现在呢 压力好大好迷茫 没有地方发泄 身边没有一个可以说话的人,0
不知道以后的路该怎么走,0
想要有一个安定的家 幸福的家 懂我的人 善良的朋友 真的好难,0
早晨一觉醒来，有一点点小失望，雪没有预想中的大。,0
一切都完啦，还有四个小时今天就过去了，没愚人也没被人愚，这个节算是绝望地虚度了。,0
我做人怎么这么累！！！,0
浑身痛到不行 不想动！！,0
看到6年前的自己写下的字句，眼泪奔涌直下。,0
他的话让我也挺难受的。,0
本来今天心情很不错[哼]但看到个娱乐新闻后我伤心透了，林峰我的偶像居然做出那种事[抓狂][抓狂][抓狂][抓狂]天啊，我受不了，没想到一脸清纯都是假的装的[抓狂][抓狂][抓狂][抓狂][抓狂]人不能只看外表啊!,0
"我就像现在一样看着你微笑,沉默,得意,失落,于是我跟着你开心也跟着你难过,只是我一直站在现在而你却永远停留过去",0
所有事情源于一个纠结··· 亲爱的 只有你明白· ··········这样的纠结好难过··好复杂 ·亲爱的 高·······我该怎么办？,0
就像这个冷不丁变冷的雨夜，不免让人惆怅。,0
孤单的人总是记住生命中的每一个人 所以我总是意犹未尽的想起你`` 在每个星光坠落的夜晚一遍一遍数我的寂寞,0
当发现身边的某一个你特别热爱的人，其实是一个特别不喜欢你的人，她和你靠近只是想利用你的某些地方，而真实的情况是，在她眼里你一文不值，这种痛苦难以掩饰，已经到了低谷。,0
连眼泪都是苍白的。,0
谁能告诉我，到底是世界怎么了，还是我怎么了，还是她怎么了。[伤心],0
店员也知道我没法买，也不轰人，只是时不时赏我一个同情的眼神，心里难过极了。,0
在每个星光陨落的晚上，一遍一遍数我的寂寞,0
可是忽然有一天，我听到了一首旧歌，我的眼泪就下来了。,0
这是教育的失败，也是这个社会的悲剧。,0
没想到终究还是让宝贝受伤了，没有关系，缺失的父爱我来弥补…,0
1大清早的遇到几个脑残的，能不发飙嘛！！！,1
多说无益，如果有下一次，算我瞎了眼。,1
那位大叔，请你想明白，你也是大人了，什么事情先找找自己的原因，别骂女人知道么？,1
有本事你冲爷们儿来，别装柔弱博同情，那不是男人，你要冲我来就直接来，威海市文化西路180号，别他妈的打电话到我导员那里。,1
妈的，一到考试就这么多破事儿，高考是，考研也是。,1
换我早一巴掌抽死她了，这是毛啊，太不对了，宣传的神马思想，气死我了真又气死我了,1
倒板的出租车，明明右转绿灯，又是高峰，他居然停着收钱下人，堵住一长串的车，忍不住在路口摇下车窗对他吼了一嗓子，你开车有没有公德啊！！！,1
有一个姑娘，他爸他妈养了她二十多年，她没吃你家一口饭，就因为她爱你，就得离开父母，把你爸妈当亲爸亲妈，照顾你大半辈子，从一个如花似玉的姑娘变成一个只知油盐酱醋的妇人，十月怀胎生下的孩子还得跟你姓，如果你还负她，你就该下地狱！！,1
最可气的是，撞完我妈妈后肇事者竟然还逃匿了！,1
自己的苦自己尝，什么真心朋友，患难夫妻，都是屁话。,1
排班是人吗 脑子有问题吗 不正常的吗 让领导来看看我的航班 这是你们逼我的 我会消极对待的 到时候别怪我 因为我是人 不是畜生 不像你们不爱家庭不要家庭,1
别以为我是好惹的,1
那种大清早狂敲让我愤,1
哼，也不管什么无良家长了，大辈儿牛x呗，自己干错什么还把小辈儿大骂一顿，我改出气筒了。,1
我会恨死她的。,1
我就纳闷了，我们这个年代怎么这么倒霉啊？,1
外面一直传话，说别人坏话，说一些根本无凭无据的扯的不能再扯的事的那些人啊，你们歇歇吧，这样你过了嘴瘾，给别人带来烦恼，你们就开心了是吗？,1
人生观价值观需要通过此等卑劣的手段得到体现而且如此容易得到满足的话，那你们的人生真是悲剧了，我相信经常毁我的这几个人一定也关注我了，请为后代积德,1
还是会有些气不过。,1
不要怪我，我真是莫名其妙受冤枉的火大。,1
可恶 我们不能再做沉默的羔羊 补课竟然补到月末 小年也不放假 正月十四还要上课 我们很生气 很闹心 我们几乎相当于包身工 早上天不亮就出门上学,1
晚上天很黑才回来 当今教育 也不顾我们的心理 一味的榨取 可换回的是什么 狠收补课费 我们决定告到教育厅 实在不行上电视 借助媒体 家长的心声也如此,1
去他大爷的，兄弟我一生气，买了清华北边的商品房，06年的价，299万，俺掰脚指一算，妈的，在北大干一辈子，也挣不回十三分之一，这辈子算白活了。,1
昨天的事想起来我好像还是很生气的。,1
死小孩儿竟然不理我，竟然跟我同学打得火热。,1
上班第一天，居然下雪了! 啦啦啦 这是天津的第二场雪了，寓意我在今年会很顺吗,2
"今天刚刚做完安徽电视台九期节目，有点累，不过很愉快。""",2
"来广州两天都没能织围脖,一直都在忙,再加上又感冒了,好痛苦[泪]不过广州给我的感觉灰常好!",2
 捏着这个红包，我感觉在这寒冷的冬天里，处处充满了温暖的气息，啊，春天已经悄无声息地来了……,2
用有限的时间过幸福的生活.,2
明天又是一期节目要播出，当期编导又要为收视率焦虑，真希望，再次收到这样的短信，再次雀跃不已！,2
就着虾仁面和橙子，感叹着25度的美好阳光，说一大堆胡言乱语，觉得在阳光里这么聊天和发呆打发时间真是件无比幸福的事情…,2
看到一半到了五点，校园广播响了，是Yoga的《想自由》~ 刹那间，我有种特别幸福的感觉，这种闲适的校园生活……,2
认识一个新朋友的心情是愉悦的，不想被不开心的人和事影响，快乐做我自己，好也罢不好也罢，至少是真实的我，明天又是新的一天，加油。。。,2
被畅畅刷了一天、我其实很感谢那些人、让我可以再次忆起我们和她近七年的点滴、坚持的守护着她的坚持。,2
今天下午放半天假给我去血拼，买了裤子鞋子外套包包护肤品，商场好多3.8折！！,2
很久没试过这样，慢慢坐在Macdrive听着周杰伦的一首歌，突然世界变得美好了，也许根本这个世界都没变过，只是你[大笑]大家早，祝今天美好心情[玫瑰][太阳],2
"我想说，今天，我不""三八""，也不""妇女""，但收礼物着实是件令人开心的事情，谢谢啦![哈哈]",2
提前祝大家节日快乐！,2
"早安李叔~ 一切顺利~表忘了向你的母亲你最亲爱的恋人道一声"" [3] [8] 嗨皮""[嘻嘻]",2
今天最大的收获是招上来两个主管。,2
虽然可能比原计划晚20个小时回家，可比起那些滞留机场的人，毕竟我现在还有酒店可以住，还有速度坑爹但免费的网络可以用，姑且把这当成小小的幸运吧,2
也希望下一届，继续加油。,2
她很开心[太开心] ！,2
下车两年的夫妇了，还有这么多人团结起来共同为他们努力，很感动为我是其中一员自豪,2
应该好好享受一下一个人的时光的吖。,2
今年生日都不知道要如何感慨了，意外的错过，意外的惊喜，一个生日跨着过了三天，感谢你们大家，让我过了一个最难的也是在大学里唯一的一次生日！,2
幸福就是当你发现连火车票都买不起了的时候，在弃用的钱包里发现了200块钱。,2
纠结了很久，终于和老大明天请一上午的假，去参加小朋友幼儿园的亲子活动，老大很爽快地同意了，是个好老大。,2
今天的中国足球，让人开心痛快得意洋洋。,2
听得我头皮发麻,3
很可怕很可怕很可怕。[奥特曼],3
听说space要灭亡了，我慌忙的想去搬走那些青春又清纯的回忆。,3
昨天半夜回家，差点没被吓死！！！,3
今天用仪器测试了一下，联通3G手机上网时基本没有辐射，打电话只是接通瞬间有500的辐射值，接通之后就基本趋近为0了；而移动2G手机只要一接通就有5000左右的辐射量，即使通话时也有500-1000的值，发短信时有500左右的辐射值，真是可怕呀,3
我加快脚步他也跟的上，吓死人了！[抓狂],3
看着手心上泛起的小白点我才想起来今天中午的拔河比赛是多么惊险。,3
宝叔说，人有时走着不顺，调整步伐，垫一步就顺啦，如果还不顺就垫两步：）所以我固执的认为，早上没赶上[飞机]，和此时昆明飞芒市的飞机delay，是我为人生垫的两小步步，垫完就顺啦顺啦[偷笑]只是我真的害怕夜间通往瑞丽那崎岖的山路[可怜],3
我感受到经济表面繁荣后极寒！,3
我每次都觉得自己跨不过去，会挂在上面。。。,3
计划做出来了，但打心里感觉还有些担心。,3
婆担心他的身体。,3
胸闷，心跳加快，脑袋也急速的运转，有点昏迷的感觉，但是，很清醒的知道自己还是在找东西，还是胡乱的找，后来有点怕了，就赶紧打开电视，分散注意力，一会就恢复正常了，一个人在家有点害怕，也许死了都不会有人知道。。。。。,3
未知的等候，恐惧慢慢爬上心头，我强抑住心脏的起伏，只为守候你一生的幸福。,3
看着梅西怒气冲冲的奔着比自己高一头的兰帕德就去了，真替他担心，挨顿打倒是次要的，玩意兰帕德再吃张红牌，得不偿失啊！,3
损失两千多万，倒霉的金泰金店，曲沃总共就这么大，临近年关，这事儿，好怕怕哦…,3
可怕的噩梦…,3
于是我开始怕了　我用尽全力挣扎　让自己从一个又一个噩梦里醒来　发觉一直没有尽头　因为它们都有一个共同特点　那就都是黑夜　而我知道真正醒来该是白天…,3
我只想说：我感觉压力很大！[抓狂],3
"我害怕离别 我害怕看着火车远走一个人留在站台上的画面 我更害怕看到那眼泪迷糊的双眼""",3
我靠，凭我一直一来对小偷敏锐的直觉，刚才车上来一群小偷，起码四个人，站我周遭，不过我看出来的那几个没得手，我一个个用眼神抓出来，盯着，好恐怖哦。,3
昨晚真是惊魂儿啊，，，，刚睡着，一声轰的巨响。。。,3
有點心悸的感覺= =好不舒服= =我今天咖啡才喝一小杯而已耶!,3
恐惧的今天，小心我的肝，小心我的胃，小心我的心，小心我的肺，昨天已喝醉，今天接着累，不想再喝了，我已经吐勒。,3
吓了我一跳！,3
