,gender,age,emotion,base,rewriting
0,男性,18-39,悲伤,这是由特别事件引起的吗？,
1,女性,40-69,悲伤,这是由特别事件引起的吗？,
3,女性,18-39,悲伤,这是由特别事件引起的吗？,
6,男性,40-69,悲伤,这是由特别事件引起的吗？,
50,男性,18-39,悲伤,这是由最近或遥远的事件（或多个事件）引起的吗？,
52,女性,18-39,悲伤,这是由最近或遥远的事件（或多个事件）引起的吗？,
54,女性,40-69,悲伤,这是由最近或遥远的事件（或多个事件）引起的吗？,
55,男性,40-69,悲伤,这是由最近或遥远的事件（或多个事件）引起的吗？,
97,男性,18-39,悲伤,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,
98,女性,40-69,悲伤,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,
100,女性,18-39,悲伤,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,
103,男性,40-69,悲伤,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,
145,男性,18-39,悲伤,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,
146,女性,40-69,悲伤,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,
148,女性,18-39,悲伤,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,
151,男性,40-69,悲伤,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,
193,男性,18-39,悲伤,谢谢。现在我会问一些问题以了解您的情况。,
194,女性,40-69,悲伤,谢谢。现在我会问一些问题以了解您的情况。,
196,女性,18-39,悲伤,谢谢。现在我会问一些问题以了解您的情况。,
199,男性,40-69,悲伤,谢谢。现在我会问一些问题以了解您的情况。,
243,男性,18-39,悲伤,您是否对某人有强烈的感受或表达以下任何情绪：,
244,女性,40-69,悲伤,您是否对某人有强烈的感受或表达以下任何情绪：,
246,女性,18-39,悲伤,您是否对某人有强烈的感受或表达以下任何情绪：,
249,男性,40-69,悲伤,您是否对某人有强烈的感受或表达以下任何情绪：,
293,女性,18-39,悲伤,您认为您应该成为别人的救星吗？,
294,女性,40-69,悲伤,您认为您应该成为别人的救星吗？,
295,男性,18-39,悲伤,您认为您应该成为别人的救星吗？,
297,男性,40-69,悲伤,您认为您应该成为别人的救星吗？,
341,女性,18-39,悲伤,您是否将自己视为受害者，将自己的负面情绪归咎于他人？,
342,女性,40-69,悲伤,您是否将自己视为受害者，将自己的负面情绪归咎于他人？,
343,男性,18-39,悲伤,您是否将自己视为受害者，将自己的负面情绪归咎于他人？,
345,男性,40-69,悲伤,您是否将自己视为受害者，将自己的负面情绪归咎于他人？,
389,女性,18-39,悲伤,您觉得您在试图控制某人吗？,
390,女性,40-69,悲伤,您觉得您在试图控制某人吗？,
391,男性,18-39,悲伤,您觉得您在试图控制某人吗？,
393,男性,40-69,悲伤,您觉得您在试图控制某人吗？,
436,女性,18-39,悲伤,当出现问题时，您是否总是责怪和指责自己？,
437,女性,40-69,悲伤,当出现问题时，您是否总是责怪和指责自己？,
438,男性,18-39,悲伤,当出现问题时，您是否总是责怪和指责自己？,
440,男性,40-69,悲伤,当出现问题时，您是否总是责怪和指责自己？,
485,女性,18-39,悲伤,在之前的对话中，您是否考虑过其他提出的观点？,
486,女性,40-69,悲伤,在之前的对话中，您是否考虑过其他提出的观点？,
487,男性,18-39,悲伤,在之前的对话中，您是否考虑过其他提出的观点？,
488,男性,40-69,悲伤,在之前的对话中，您是否考虑过其他提出的观点？,
532,女性,18-39,悲伤,您是否正在经历个人危机（与亲人相处有困难，例如与朋友闹翻）？,
533,女性,40-69,悲伤,您是否正在经历个人危机（与亲人相处有困难，例如与朋友闹翻）？,
534,男性,18-39,悲伤,您是否正在经历个人危机（与亲人相处有困难，例如与朋友闹翻）？,
536,男性,40-69,悲伤,您是否正在经历个人危机（与亲人相处有困难，例如与朋友闹翻）？,
581,男性,18-39,愤怒,这是由特别事件引起的吗？,
583,女性,40-69,愤怒,这是由特别事件引起的吗？,
584,男性,40-69,愤怒,这是由特别事件引起的吗？,
585,女性,18-39,愤怒,这是由特别事件引起的吗？,
