,Unnamed: 0,gender,age,emotion,base,rewriting
0,0,Male,18-39,Sad,Was this caused by a specific event/s?,I'm sorry to hear you aren't feeling well. Did anything specific happen to cause you to feel this way?
2,2,Male,18-39,Sad,Was this caused by a specific event/s?,I'm sorry to hear that. Is there one particular thing that caused this feeling?
5,5,Female,40-69,Sad,Was this caused by a specific event/s?,I'm so sorry to hear that. Can you identify a specific event that caused you to feel that way?
8,8,Male,18-39,Sad,Was this caused by a specific event/s?,"I'm sorry to hear that. Could it be because of a certain event? If so, I hope it wasn't too difficult for you."
9,9,Male,18-39,Sad,Was this caused by a specific event/s?,"I'm sorry to hear that you are feeling sad. Do you know what led to such a sad feeling, was it a specific event?"
11,11,Female,18-39,Sad,Was this caused by a specific event/s?,I'm very sorry to hear that you are sad. Did anything happen to cause your sadness?
15,15,Male,40-69,Sad,Was this caused by a specific event/s?,I am sorry to hear you are feeling this way. Can you tell me if a specific event may have caused that?
20,20,Male,40-69,Sad,Was this caused by a specific event/s?,"In order to try to make you feel better, I need to understand if anything happened to cause this. Did  a specific event cause your sadness?"
21,21,Female,18-39,Sad,Was this caused by a specific event/s?,"Oh, I am so sorry to hear this. Did a specific situation cause this?"
26,26,Male,40-69,Sad,Was this caused by a specific event/s?,"Sorry to hear that, I can relate. Are there events that led up to this?"
32,32,Male,40-69,Sad,Was this caused by a specific event/s?,I am sorry to hear that. Can you tell me if it was caused by a specific event or events that you could share?
36,36,Female,18-39,Sad,Was this caused by a specific event/s?,I'm so sorry to hear that. Can you think of anything specific that caused this to happen?
43,43,Female,18-39,Sad,Was this caused by a specific event/s?,I'm sorry about that. Was this caused by a specific event/s?
46,46,Female,18-39,Sad,Was this caused by a specific event/s?,"Thank you for sharing your emotions with me, I understand it may be hard to deal with them right now. So that I can help you better, could you tell me if a specific event caused you to feel this way?"
49,49,Female,40-69,Sad,Was this caused by a specific event/s?,"Thank you for letting me know, I am terribly sorry you are feeling that way. May I ask if something specific caused this feeling?"
52,52,Female,18-39,Sad,Was this caused by a recent or distant event (or events)?,"Thank you, I understand. Could you tell me if this was something that happened recently or a while ago?  I hope you did not suffer too much from this event."
54,54,Female,40-69,Sad,Was this caused by a recent or distant event (or events)?,You must be hurting right now. Could you share whether this event was recent or longer ago?
68,68,Male,40-69,Sad,Was this caused by a recent or distant event (or events)?,It is important to understand how long you have been dealing with this issue. May I ask if this was a recent or distant event?
71,71,Male,40-69,Sad,Was this caused by a recent or distant event (or events)?,"Thank you, I'd like to know what event in your life you think has sparked this feeling. Was it a recent event or more distant in the past?"
76,76,Female,18-39,Sad,Was this caused by a recent or distant event (or events)?,"I'm sorry, that must have been hard. Was the thing that happened quite recent or did it occur a long time ago?"
79,79,Male,40-69,Sad,Was this caused by a recent or distant event (or events)?,"I understand, thank you for sharing. Would you say that it was a recent or a distant event, so that I can get a better picture?"
87,87,Male,18-39,Sad,Was this caused by a recent or distant event (or events)?,"I'm sorry to hear that. Is there some recent event in particular that you could isolate as the cause for this, or is it an event that happened a while back?"
89,89,Male,40-69,Sad,Was this caused by a recent or distant event (or events)?,I'm sorry to hear about that. Did this happen recently or a while ago?
90,90,Female,18-39,Sad,Was this caused by a recent or distant event (or events)?,I'm sorry to hear that. May I also ask if it was caused by a recent or distant event (or events)?
92,92,Female,40-69,Sad,Was this caused by a recent or distant event (or events)?,Thank you so much for letting me know. Would you say that it was a recent or distant event (or events) that caused this emotion?
