text,labels
i do feel discouraged but the difference is that i m writing about it on my blog a blog called getting better man,0
i am feeling totally tragic here now,0
i must say i m feeling quite pleased with myself img src http s,2
i feel very strongly about how i mother maren but i feel equally strongly about supporting mothers in all sorts of situations and lifestyles and families,2
i had applied for a job and they had assured me that the exams would take place a few months later a week later i went to obtain some more information and they told me that the exams had already taken place,1
i feel wonderful because i see the love light in your eyes,2
i did was hardly as bad but i still feel pretty rebellious,1
i feel needy,0
i feel bashful my cheeks redden yet i can t hide the inevitable want i have for you,3
i remember going to the park and going for bike rides and when she was feeling adventurous helping her bake,2
i feel shy to look him in the eye,3
i think this normalizes my experience of being an artist as it doesn t feel like a rebellious or alternative lifestyle to me it just feels normal,1
i am feeling a bit reluctant,3
i was beginning to feel a little skeptical as i seemed to be getting sicker and sicker as i prayed gratitude for my health but i hung in and kept in my mind the ideas that,3
i was talking to a colleague about her research when she told me that to suggest that animals could feel fear or be afraid was anthropomorphism the mistake of assigning of uniquely human characteristics to other animals,3
i thought it was important to put this message up for the rest of this week there are many who are feeling discourage and dismayed over circumstances they are faced with due to some decisions they may have made and now have some regrets because of them,0
im feeling a bit confused at the moment and i think it makes me a bit stupid,3
i leave this page feeling extremely dissatisfied,1
i went home feeling grouchy,1
i feel very very lonely,0
i feel somewhat tortured and fake why am i so,1
ive been super mad at him through the last couple of books but now i found myself feeling sorry for him,0
i began to feel that was suspicious,3
i just cant remember what it feels like to be carefree,2
i am feeling increasingly agitated this evening,3
i feel weepy,0
i feel fine vocal mix,2
i dont know nor do i stay in deep though over his death but i actully feel even more uptight to know that his soul is now roaming the earth rather than his human form,3
im by no means huge however as im only i find that any extra weight at all makes me feel very uncomfortable in myself as well as my clothes,3
i was able to put the finishing touches on a couple of paintings including this little one that i worked on through out the summer but it just did not feel resolved until yesterday,2
i feel tortured in the passion of ontological collapse they feel nothing,3
i feel like a tweenager once again melancholy angst y insecure,0
i came out of the house at am monday morning getting ready t go to school and fight for a parking when i saw my car had a flat tire,1
im unusual but i think its safe to say that every one of my male friends would participate in those feminist rallies and would feel just as outraged as i,1
i have lost twenty pounds because of a new medication and i feel shitty about it and im an insecure person so if she saw this others might to,0
i feel like many of us see the five game losing streak and become paranoid that it s business as usual for a team that hasn t enjoyed any postseason invites since the kg sprewell cassell era,3
i will feel so humiliated and people wont even bother,0
i try to keep things positive on my website but at this time of year i have to admit i can feel more stressed out than usual,1
i do know that im an average student but its quite hard when there are people do actions that made you feel that youre kind of not intelligent was going to say stupid but stupid is a deep and strong word,2
i feel stronger i dont feel like that shy girl any more,3
i suppose this is the question am i letting doubts and insecurities get in the way of something i should would be good at and like or am i feeling doubtful and insecure because im trying to force myself into something that i subconsciously know doesnt fit,3
i feel utterly terrified and hopeless unsure of my future and the lives of others burnt out and defeated fighting in a system that often feels strongly pitted against us,3
im just feeling a tad bit bitchy,1
i am feeling a bit boring this week,0
im doing what feels uncomfortable,3
i feel fine hopefully this lasts,2
i feel from it that we get shaken up from un natural circumstances,3
i looooove how bouncy amp kind of firm good firm my skin feels after application amp how softer amp cool it felt too so true to product claims,2
i got to the movie theatre it was then that i started feeling nervous,3
i hate being like this feeling this way saying these things having vile thoughts of terrible accidents,1
i feel make them the most dangerous and their level of annoyance is what gives them high priority,1
i am slowly creeping up on my s somehow i feel like time is so much more precious and i need to stop wasting it,2
i also hope that you arent feeling troubled,0
i suggest you wait to discuss this with them until you re feeling less resentful,1
i was feeling sentimental though,0
i love how you totally get me when im feeling bitchy and contribute to my bitchy thoughts giggle endlessly and then slap ourselves for being so mean,1
i really feel that for one we are respected and appreciated for our expertise and that is really all i look for,2
im guessing a majority of american catholics at least are feeling more hopeful these days,2
i suggested that we just don t talk about it with her as she might feel humiliated by it,0
i was feeling scared and im an adult,3
i am confident they are not going to get much better but currently i feel like this weird obligation,3
im not sure if i just feel vulnerable out there on my own or what,3
i feel like im constantly being pressured to entertain the child,3
im supposed to stay in the lively room but as an explorer i feel that the lively room simply does not have enuff to offer me and have decided to move on to the stairs bedrooms and baffroom,2
i pressed the button but couldn t understand what the cheap recorded voice said which of course made me feel instantly reassured,2
i feel its very doubtful theyll ask me to keep working there during the school year but i should be fine for the summer at least,3
i was feeling angry or depressed and i tried to think loving happy thoughts,1
i feel hopeful with this new treatment to extend my life,2
im feeling rather discontent at the moment,0
i feel like we will fight over something so petty that we would laugh at it hours later,1
i hate the feeling of stepping out of bed with cold bare feet and onto the unforgiving cat hair covered carpet in my room,1
i followed feeling aggravated that my serenity had just been interrupted so abruptly,1
i never feel the other has no patience he pulls my arm like a violent dog with a toy stretching my patience until i feel only an inch wide allowing him to swell like bath water around me,1
i feel disappointed that whether she was talking to her boyfriend,0
i am feeling better than i thought i would,2
i feel like i ve lost myself along the way working here,0
i felt like i did not even have the strength to write it but cant go home to more of the same i never want to feel terrified inmy own home again,3
i came out feeling distinctly doubtful of the whole thing,3
im getting a brand new shiny computer soon but that prospect doesnt make me extraordinarily happy right now and i feel like an ungrateful bitch too,0
i feel like the smell penetrates my clothes and i smell like bad fish for the rest of the day,0
i was starting to feel unsure of myself and my purpose here,3
i always feel honored for the invite and its hard to say no because they live in different time zones and thousands miles away from me,2
