,text,labels
0,I am feeling a bit down,0
1,I don't feel that great today. My dog is unwell.,0
2,"Not very well, my dog died yesterday.",0
3,I'm feeling kind of down,0
4,Not so good as I have been watching the news coverage from the Middle East.,0
5,I'm feeling pretty blue about my breakup.,0
6,I'm feeling pretty down today.,0
7,Not that good. I'm feeling kind of lonely,0
8,I've been feeling down lately and can't get out of this funk.,0
9,Very upset. I lost a loved one earlier this week.,0
10,"I'm very sad today. I've been thinking about my mother, who recently passed away. It's been difficult.",0
11,"I'm really anxious, I think I failed a test",0
12,"Not feeling good, I am really struggling.",0
13,Things could be better. I have been feeling sad and lethargic lately due to stress I think.,0
14,I'm pretty down in the dumps today.,0
15,Not so great today,0
16,I feel down because it's rained for a week straight.,0
17,I'm just feeling really down.,0
18,I'm quite depressed. I can't find the motivation to get out of bed.,0
19,I'm feeling very sad.  I lost a loved one last night.,0
20,I am not doing too well.,0
21,I am not feeling so great.,0
22,Really bad,0
23,I feel bad.,0
24,Feeling very bad because of my health condition.,0
25,I feel terrible.,0
26,Feeling hum drum things did not go well at work today.,0
27,"Not good, I had a stressful day at work.",0
28,I feel really lost and sad. My partner and broke up.,0
29,"I'm really unhappy, my puppy ran away yesterday and I can't find him anywhere.",0
30,"Not so good, I was rained on this morning.",0
31,I have been better.,0
32,I feel terrible. I lost my dog.,0
33,I fee depressed and I didn't want to get out of bed this morning.,0
34,I am feeling a bit down today.,0
35,Not so good. My sisters have places to go and things to do. I feel left behind.,0
36,Pretty bad. I found out that my parents are getting a divorce.,0
37,Feeling really down today. Got into an argument with my brother.,0
38,Not very well,0
39,I'm not great.,0
40,"I feel awful, I think I lost a friend today.",0
41,I feel so down because my boyfriend broke up with me.,0
42,"Awful, I lost someone close to me yesterday.",0
43,I'm not feeling too good. My boyfriend broke up with me yesterday.,0
44,Really sad. I can't bring myself to do anything,0
45,I feel empty and hopeless. This pandemic has really taken a toll on me.,0
46,"Please leave me alone, I am miserable.",0
47,So sad today because of lockdown,0
48,I'm fed up. I don't think I can manage all my bills this month and I'm working non stop.,0
49,"I feel super down today, nothing seems to make sense anymore",0
50,I'm really sad and depressed.,0
51,Not that great. I found out that my grandmother doesn't have long to live.,0
52,I am feeling very nauseous today,0
53,"Not good, my dog died.",0
54,I am not so great today.,0
55,I cried before,0
56,I feel sad,0
57,I have had a few crying spells today.,0
58,"I'm fine, I guess.",0
59,I heard my grandpa has COVID and is in hospital.,0
60,"I am not feeling well, me and my girlfriend broke up today.",0
61,I feel like everything is hopeless.,0
62,Not good. My dog had to be put to sleep today.,0
63,Really kind of heavy today.,0
64,I am not feeling good today.,0
65,"I'm down, feeling there's no future for me",0
66,I am so upset.,0
67,I'm feeling bad,0
68,I am depressed,0
69,I've been better. I've definitely been in a bit of a funk lately.,0
70,Not so well. My dog died last night.,0
71,I've been better.,0
72,"i am not good, i feel really sad",0
73,I feel kind of empty. I have nothing going on in my life.,0
74,Not very well,0
75,Not good,0
76,"Not great, it's the same shit different day.",0
77,I'm a little upset today.,0
78,"I am feeling bummed, I was supposed to see my dad today but he had to reschedule, I miss him a lot.",0
79,"Not great at all, I just lost my job.",0
80,"I don't feel very well, I was diagnosed with a terrible disease.",0
81,I am not feeling so good I fell out with my friend yesterday,0
82,I am feeling a little down.,0
83,Not too good. I just feel empty.,0
84,"	
I am not feeling good. I was suffering from fever.",0
85,"I'm feeling really down, depressed, I can't find a job anywhere.",0
86,I'm really depressed. Nothing I do is worthwhile.,0
87,"I am so sad today, nothing seems to be going right.",0
88,I am so sad today.,0
89,"Not good, I'm feeling lonely",0
90,I am feeling sad,0
91,empty is an understatement,0
92,I am feeling low and sad,0
93,Today my mood is really low,0
94,"Just getting by, not much energy to do anything lately",0
95,"I feel empty, I can't eat or sleep",0
96,"Not good, I think nothing is going to change.",0
97,I am feeling sad today as I have fought with my partner,0
98,"I'm miserable, I haven't been able to bring myself to do anything in weeks.",0
99,"I feel really low, my boyfriend broke up with me",0
100,I'm in a pretty low mood,0
101,I feel a little sad. I am worried about losing my job.,0
102,"Not great, just been feeling depressed all week.",0
103,I'm really sad because my dog ran away,0
104,I'm kind of firm as the school year is coming to an end and I'll miss my students.,0
105,"I just don't want to go on anymore, everything seems so hopeless.",0
106,"I wish I was feeling happier, but it's been a rough few days.",0
107,Not well. I messed up at work today.,0
108,I feel depressed and not like myself.,0
109,Pretty depressed. I was fired recently,0
110,I'm not doing so well. I've been having relationship troubles.,0
111,A friend died and I feel lost,0
112,"Actually, I have been feeling a little down lately.",0
113,Things could be better. I've been down in the dumps lately due to my school grades.,0
114,I'm not feeling too great. I'm pretty depressed.,0
115,"I am feeling really sad, to a point where I feel like crying all day",0
116,Not so good; I am missing a birthday party because I am ill.,0
117,I'm not feeling like my usual happy self.,0
118,Terrible. My boyfriend dumped me.,0
119,I'm down. I failed my test.,0
120,I am feeling sad today.,0
121,I fell out with my friend yesterday,0
122,I want to cry,0
123,I feel like shit.,0
124,Not feeling good due to my inability to attend a family function.,0
125,I don't think I can go on any longer.,0
126,"Just feeling really at a low point in my life, nothing seems to be going right.",0
127,"Okay, I guess.",0
128,Today I'm feeling pretty down. I just didn't have a good morning.,0
129,"I feel awful, I didn't pass my classes and I will not graduate.",0
130,"Honestly, I'm not doing well. I failed my exam.",0
131,"Not so good, unfortunately.",0
132,I am feeling down. I think I am sick.,0
133,I am so sad that I cried in the shower earlier.,0
134,"Well, I just feel that nothing is going my way.",0
135,Awful. My Mom scolded me about being messy when I have been trying to clean up after myself.,0
136,Not very good. My husband just lost his job.,0
137,Not so well. I can't seem to get interested in doing very much.,0
138,I don't feel too good,0
139,I'm feeling really down.,0
140,"I'm feeling under the weather, my best friend won't talk to me.",0
141,I just want to cry because I feel so bad that my dog died.,0
142,"Really down, I just can't seem to get started on anything.",0
143,I'm not feeling very well. My grandmother passed away last week.,0
144,"I feel awful, nothing seems to have any meaning since my dad died.",0
145,I've had a fight with my partner and I feel really sad. I feel that it was my fault.,0
146,Just miserable today.,0
147,I'm not fleeling so great.,0
148,Been a bit down in the dumps since I lost my job last year,0
149,"Quite frankly, I don't see any point in life anymore",0
150,Horrible. I'm just so sad.,0
151,I'm not doing that great today. They are taking off my favorite childhood television show.,0
152,I feel like I want to throw up,0
153,"Not good, I got in a fight with my mom.",0
154,Feeling a little blue.,0
155,I need to get support,0
156,I wish I could change,0
157,The weather is bad and it has me down in the dumps.,0
158,I'm not feeling so well.,0
159,My best friend moved across the country this week.,0
160,I am really sad because me and my brother got into a fight.,0
161,I'm certainly not at my best.,0
162,"My mother just died, and I can't stop crying.",0
163,"Not so great, down, bummed out.",0
164,I feel sad. My heart is broken.,0
165,"i am distressed, i have been sick for many years and i cannot find a cure",0
166,I am totally feeling very bad,0
167,Nothing is well,0
168,I am feeling down,0
169,"Honestly, not great.  My cat just passed away.",0
170,Not feeling well. My mom was in hospital last night.,0
171,I can't stop crying.,0
172,"i am sad, i fought with my boyfriend",0
173,I'm down in the dumps. Everything that could go wrong has gone wrong. Kill me now.,0
174,I had a bad day,0
175,I'm feeling depressed,0
176,"She just won't talk to me anymore, I don't know what to do.",0
177,I am having a bad day today.,0
178,I am feeling frustrated because I can't find a way to relax.,0
179,"Nothing is going my way, I never have enough money for everything.",0
180,"I am very sad today, I lost a dear friend last night.",0
181,I am not feeling great at this time I am so sad,0
182,I'm not enjoying myself.,0
183,Could be better. My wife and family seem distant lately,0
184,I'm depressed due to a fight with my friend.,0
185,"I 've lost motivation, it just seems like I'll never be able to bring my grades up, I'm so sad.",0
186,Not good really. I think my marriage is over.,0
187,I have lost a loved one and I haven't really felt happy since.,0
188,I am feeling kinda weak and depressed.,0
189,"I'm bored, I am home alone",0
190,I am feeling lonely,0
191,Today is one of those days where I would love to be a nail hammered into a wall. And just stand there,0
192,I am overwhelmed by grief,0
193,I feel like a wet rag,0
194,"I am glad you asked, 'cause I really feel like shit lately. I think I am depressed.",0
195,since he left me I don't really want to live anymore,0
196,"Very sad, I donÃt have energy today.",0
197,I am feeling blue today as I have had an unpleasant review from one of my customers today,0
198,"Really low, I find it hard to get out of bed most days.",0
199,I feel like I am at the bottom of a pit: I have just lost my job,0
200,I'm feeling rather sad at the moment,0
201,I'm quite down. I had a disagreement with my sister.,0
202,"Could be better, I'd rather the day was over already.",0
203,"My boyfriend broke up with me, so I'm pretty sad today",0
204,I'm sad as it's a long weekend but I have to work.,0
205,I can't stop crying because I miss my mom so much.,0
206,I have been feeling quite low the last few days.,0
207,I'm feeling a bit down. I failed a test today.,0
208,I've been better. Feeling kind of miserable.,0
209,Not good at all. I'm really doubting myself lately.,0
210,"Not great, honestly. I just can't seem to have any positive feelings lately.",0
211,I can't handle daily tasks and I feel very overwhelmed,0
212,I think I am coming down with something.,0
213,Not good at all. I just want to hide in my room and sleep from all of the turmoil in the world.,0
214,I am feeling very blue today for some reason.,0
215,I am really down today,0
216,Not great. I had to work two hours overtime today.,0
217,I'm really down about myself today.,0
218,I'm devastated. I can't stop crying. My dog was hit by a car today and died.,0
219,I'm not feeling good at all.  Things are just going wrong.,0
220,I am not as happy as I want to be.,0
221,I am so sad today,0
222,I'm depressed,0
223,I feel a bit hopeless.,0
224,I am not so good because I was scolded by my superior.,0
225,My life is a mess.,0
226,I lost a close friend today and feel really sad and lonely.,0
227,I feel tired; everything feels like an effort.,0
228,I'm feeling really upset and kind of hopeless. I think I'm depressed.,0
229,"So very sad, I am reliving a sad day on its anniversary.",0
230,"Terrible, someone broke into my house last night.",0
231,My heart is heavy today.,0
232,I feel disappointed. I got betrayed by a friend.,0
233,I didn't feel like eating breakfast because I was so sad.,0
234,I am not okay. I just don't feel like getting up today.,0
235,Down in the dumps. My husband has gone back to the office to work and I'm alone.,0
236,Kind of terrible. My dad is sick and in hospital.,0
237,"Just okay, I guess. Feeling more down than up.",0
238,I could be much better,0
239,I've got a bad case of the blues.,0
240,"I am not doing well, the person I love talking to the most will not even acknowledge me anymore.",0
241,I can't seem to ever feel happy anymore because I have been saddened from losing my job.,0
242,"Kind of blue, really. I can't seem to enjoy anything.",0
243,I'm not feeling so great. I lost my favorite toy and I can't find it,0
244,I just don't see the point in getting out of bed. Nothing feels good.,0
245,I am not coping. I just feel like I could cry all the time.,0
246,I can't seem to get out of this low mood.,0
247,i'm not feeling great today,0
248,"Not good, I've been really low since X left.",0
249,"I feel terribly lonely, I don't have any friends, or a boyfriend",0
250,I wish I could be happy.,0
251, Feeling kind of blah today as I got some bad news about some financial issues.,0
252,I am very upset right now,0
253,"Pretty bad, my girlfriend dumped me.",0
254,I am a little upset and depressed this afternoon.,0
255,Sad,0
256,I feel lazy,0
257,I feel kind of alone and sad today.,0
258,I am feeling sad today.,0
259,My car needs serious repairs and I'm broke.,0
260,I am hurt right now because my best friend lied to me.,0
261,Today's not a good day.,0
262,I don't think anyone loves me.,0
263,Kind of feeling a dark cloud over me today.,0
264,It's not a good time for me.,0
265,"I'm depressed, I've never been able to get a girlfriend",0
266,I am having a worst day,0
267,I'm not fine,0
268,I am super sad,0
269,I'm on the verge of tears.  I just lost my job recently and the stress is really getting to me.,0
270,Not so great. I failed my final exam.,0
271,Like there's a black cloud hanging over me.,0
272,"i am not feeling good, i broke up",0
273,"Having just read the news this morning, I'm devastated.",0
274,I feel like crap,0
275,I don't know what I'm feeling,0
276,"Bummed out I guess, I'm just tired...you know?  Tired of it all.",0
277,I got into a fight with my boyfriend today.,0
278,I am very sad. My dog died and I can't handle the hurt.,0
279,Terrible. Car wouldnt start and it is really putting me down.,0
280,"I feel very sad, I had an accident and my car broke down.",0
281,I feel lonely in my life so I am very sad,0
282,I don't feel like doing anything.,0
283,A little sad. My father passed on recently.,0
284,I am unable to stay focus and I'm feeling lonely.,0
285,"I feel awful, my girlfriend dumped me, now I have no one, I am truly feeling down.",0
286,"I'm so sad every day, I've just been miserable since the accident.",0
287,"I am really down, I feel depressed and devoid of motivation.",0
288,I don't have much energy to do anything.,0
289,I suffered a loss due to the pandemic,0
290,I am feeling down,0
291,even more useless than usual,0
292,I feel sad and depressed,0
293,I am not well at all... I am totally disheartened,0
294,"Okay, where do I even start. I am so sad that I am having a hard time typing.",0
295,"I can't carry on like this, the pain is too much",0
296,"So so, my mood is very dark today.",0
297,I am feeling devastated as I have lost my grandfather recently,0
298,"So so, nothing really seems to make me happy at the moment.",0
299,I feel very lonely as my friends will not make it to my birthday party.,0
300,I am totally irritated about the actions of my friend,1
301,I am really angry,1
302,I am disgusted with the customer service executive as she refused to see reason as I narrated my problem,1
303,I am feeling angry. I lost my money,1
304,I'm mad because I can't find my debit card.,1
305,I'm so pissed off at my co-worker for taking credit for my work.,1
306,"Not very good, I have had a very frustrating day.",1
307,Not great. I'm pissed at a coworker of mine.,1
308,I've been pushed to the point of aggravation and lost my cool.,1
