text,labels
"I have been better, I am worried because I heard a loud ""pop"" when I got up this morning and now my back is sore.",3
Really happy with the way things are going at the moment,2
"Thank you for asking, I feel really happy today",2
I think I'm going to have a panic attack.,3
I am feeling afraid,3
"I'm feeling under the weather, my best friend won't talk to me.",0
Why are you asking me that?,3
"Not so good, unfortunately.",0
"I'm not cool today, I'm angry",1
positive,2
I'm mad. I'm sick and tired of my wife.,1
I'm good!,2
I am feeling nervous as my exam is tomorrow,3
"Not great, just been feeling depressed all week.",0
I've been better. I'm waiting for my test results and I'm nervous about the result.,3
Excited,2
"My heart feels like it is pounding out of my chest, I feel so anxious today",3
I'm afraid that my child may be sick,3
"very happy, my heart is full.",2
I'm so relieved. My test results came back yesterday and I'm all clear.,2
Leave me alone,1
Been a bit down in the dumps since I lost my job last year,0
I need to get support,0
"I am good thank you, feeling quite happy with my life at the moment - I just met someone remarkable. How are you feeling today?",2
"I'm pretty angry right now. My partner cheated on me, and it's driving me up the wall.",1
I am not so good because I was scolded by my superior.,0
I'm great! It's a beautiful day!,2
Really great,2
"All good thanks, no complaints!",2
I'm not feeling so well.,0
I'm feeling on top of the world!,2
"I'm feeling good, only 30 minutes left and then I log off work for two whole weeks.",2
I am happy because yesterday it was my birthday and I received lots of presents,2
I am positive and grateful.,2
My roommate is driving me mad with her sloppiness!,1
"I'm a bit scared, I did something embarassing yesterday",3
I am feeling anxious as I am in isolation.,3
I'm just really mad all the time,1
I am feeling a bit down today.,0
"I am doing great, just got my long awaited promotion",2
I heard my grandpa has COVID and is in hospital.,0
Im supposed to be going out with friends but I feel too nervous. I dont like being in big groups of people,3
Feeling positive today,2
Not great. I am worried for my safety.,3
I'm afraid that something bad is going to happen to me.,3
I am incredibly frustrated.,1
I fee depressed and I didn't want to get out of bed this morning.,0
"Pretty good thanks, how about yourself?",2
I'm a little upset today.,0
I'm worried about my performance review and if I have done enough to get my promotion.,3
"I'm so happy today, everything is going well",2
I feel as if all is right with the world.,2
I'm scared out of my mind and feel sick to my stomach.,3
I am not okay. I don't know why all this is happening to me.,1
I feel really upset about how I have been treated.,1
"Today, I'm anxious and afraid.",3
Couldn't be happier.,2
I'm feeling a bit down. I failed a test today.,0
I'm really on edge today.,3
I feel very irritable.,1
"I'm fine, everything is good for the most part.",2
"I'm not OK, I'm very angry at my partner because he said some irritating sentence",1
"I am good, i cannot complain",2
I am angry at myself because I can't lose weight and have no self control,1
I am worried that my work will not be to a sufficiently high standard,3
I am feeling relaxed and at ease today,2
I'm a bit mad,1
"I'm feeling great, things are fantastic at work!",2
Not very good. My husband just lost his job.,0
I'm really sad and depressed.,0
I'm fine thanks.,2
I have been feeling anxious and scared about leaving my house lately. This prolonged isolation has not been good for me,3
"I'm mad as a hornet, I want to punch someone.",1
I am feeling great today! Thank you.,2
I'm really scared as I have a dental appointment later.,3
Not feeling well. My mom was in hospital last night.,0
My best friend found someone else to hang out with all the time.,1
I'm depressed,0
I feel really happy today.,2
I am really stressed out about my exams,3
My manager scolded me so i am angry,1
"I'm feeling really anxious today, I'm not sure why",3
I am feeling down,0
I'm feeling nervous about starting my new job. I'm not sure if I will fit in,3
It feels like life is a bit overwhelming at the moment.,3
I am having a bad day today.,0
My father is always calling me stupid and lazy.,1
"I am not feeling well, me and my girlfriend broke up today.",0
"I am thinking about a fight that I had with my mother recently, and it made me mad.",1
Not that good. I'm feeling kind of lonely,0
Terrible - I feel like I need to hurt someone.,1
I'm pretty down in the dumps today.,0
I would like to bring back to life my friend who killed himself to kill him,1
"I 've lost motivation, it just seems like I'll never be able to bring my grades up, I'm so sad.",0
"not great today, anxious",3
Today is going to be awesome,2
I feel great.,2
Really good thanks,2
I'm doing really well actually. Thanks.,2
I can't stand anyone in my life right now.,1
"Not good, I had a very bad day today.",1
I'm scared of going back home,3
I'm angry and feel like nobody respects me.,1
I am mad because I broke a plate and the pieces went all over the floor.,1
"Good, thank you! I just found my favorite hat I thought I had lost.",2
"Not great, if I'm honest, I'm afraid I messed up.",3
I'm feeling great.,2
Could be better. My wife and family seem distant lately,0
Don't bother me,1
"Really good, got a good night's rest.",2
I feel angry right now.,1
I am so sad today,0
Fuck off,1
I feel a bit on edge today.,3
I am really down today,0
I am great.,2
I am not doing too well.,0
"I'm okay, but I woke up late and had to rush to work. I hope I don't get in trouble.",3
"I'm anxious today, everything feels very overwhelming.",3
"Not so good, I was rained on this morning.",0
I feel afraid that I'm going to fail,3
Feeling a little blue.,0
I feel bad.,0
I am fucking pissed.,1
Kind of nervous.,3
I'm pretty pissed right now.,1
The weather is bad and it has me down in the dumps.,0
I'm pissed off,1
I am feeling anxious,3
I'm feeling great. No complaints,2
I am feeling nervous.,3
I'm good thanks!,2
"Pissed, completely over all this. I just walked out on my job.",1
I am delighted with my new apartment and its location,2
I feel like everything is hopeless.,0
I'm not feeling good. I'm stressing out about my upcoming exams.,3
scared,3
I'm not feeling my best today. I'm quite anxious and not sure why.,3
"I'm scared that I will make a fool of myself at my meeting, I hate public speaking.",3
"Honestly, not great.  My cat just passed away.",0
Not well. I messed up at work today.,0
I am feeling awesome today,2
I'm mad about my job. I feel stuck in it and it frustrates me.,1
Not good,0
I am feeling restless and upset and I cannot understand why.,3
"Not good, I'm feeling lonely",0
I am really happy today.,2
Today i feel like crap!,1
why are you asking,3
"I am not feeling great, I have been working too hard lately with little time for self care.",3
"I don't know, why are you asking me? Who asked you to ask me?",3
Great,2
"Fantastic thank you, I'm currently preparing for a date with my crush",2
I'm feeling great!,2
Annoyed and angry. Nobody around me is listening to me.,1
I am feeeling very anxious today.,3
It's a very bad day.,1
"	
I am not feeling good. I was suffering from fever.",0
"Not good, I had a stressful day at work.",0
I am quite angry at the moment.,1
I think I am coming down with something.,0
"I am glad you asked, 'cause I really feel like shit lately. I think I am depressed.",0
I am angry with my boss as he always shouts at me,1
I feel stressy and anxious,3
Life is good.,2
I feel tired; everything feels like an effort.,0
I feel very worried about our future,3
I'm very  irritated,1
"Okay, I guess.",0
I don't feel too good,0
I'm feeling warm and fuzzy today.,2
I'm feeling happy because I went out with my friends,2
"I'm not feeling good, I'm worried about a job interview.",3
Not good at all. I just want to hide in my room and sleep from all of the turmoil in the world.,0
I feel so mad I could explode -- My brother really knows how to push my buttons.,1
I am feeling lonely,0
"I feel empty, I can't eat or sleep",0
I am stressed that I will not get my work completed on time,3
All good with me,2
"I'm doing great, thanks for asking!",2
"Fine thanks, and you?",2
I feel brilliant!,2
"My family is driving me nuts, I can't stand them",1
I am over the moon!,2
I don't feel great. I'm feeling stressed and I'm worried because I don't know why I feel like this.,3
"I'm feeling good today, I passed my exam!",2
"Please leave me alone, I am miserable.",0
Today my mood is really low,0
Really fed up a lot with this.,1
I'm feeling pretty tense right now.,3
I feel very antsy.,3
I'm feeling anxious today.,3
"I feel really low, my boyfriend broke up with me",0
"I feel super down today, nothing seems to make sense anymore",0
"I am worried, my phone is not working.",3
I'm livid that I've been totally dumped by my ex and ghosted.,1
A bit worried.,3
The weather has been very good today and we had an enjoyable leisurely walk in the park.,2
I feel happy,2
"i am not ok, i got really angry when a stranger hit my car",1
I'm worried that the man who attacked me may follow me again,3
Top of the world,2
I am not feeling great at this time I am so sad,0
"I'm good thank you, I have just received a piece of good news",2
I am feeling sad today as I have fought with my partner,0
I'm feeling very stressed and anxious today,3
"I am angry at my boss, she's always so demanding and does not think about people's mental health at all",1
"I'm always getting kicked down, I'm really mad!",1
I feel disappointed. I got betrayed by a friend.,0
I feel a bit stressed as I have to give a speech in front of the whole school.,3
I'm feeling excited to see my family today.,2
"I'm feeling anxious today, I have my driving test.",3
I am worried that I will run out of money before payday.,3
"Today, I'm really content.",2
I'm feeling a bit blegh like something bad is going to happen and I can't stop thinking about it,3
"Feeling great today, looking forward to the afternoon.",2
"Good, life is going well lately and I'm feeling quiet content",2
I've had a fight with my partner and I feel really sad. I feel that it was my fault.,0
I am really sad because me and my brother got into a fight.,0
I am feeling fantastic.,2
I feel so down because my boyfriend broke up with me.,0
I'm pissed off because my brother stole fifty dollars from me.,1
I'm really down about myself today.,0
Terrible,1
I don't feel too good. My mum went into hospital yesterday and I'm waiting for a call to tell me what is happening.,3
"Everyone is against me - my boss, my husband and my kids.",1
"I am not doing great, I just can't face the day.",3
I'm afraid that my girlfriend may be cheating on me,3
"I'm feeling awful, my best friend has been given some worrying health news!",3
"Some idiot just almost caused a car accident, and I'm pissed about it.",1
I feel fantastic,2
I feel so angry about the situation in my hometown.,1
I don't even want to talk about it,1
"I' m not great - in fact, I am very angry right now.",1
I had a bad day,0
I'm feeling happy horses have won,2
"Thank you for asking, today has been difficult with a little anxiousness creeping in, it grows into fearÉ",3
"Pretty shit today, everything is going wrong.",1
i am not good because my friends are bullying me,1
Just worried about the next few days,3
I'm not feeling too good. My boyfriend broke up with me yesterday.,0
I feel happy right now,2
I'm really pissed off today.,1
I'm not great.,0
I am feeling down. I think I am sick.,0
Doing well thank you,2
Not great.  Everything seems to be frustrating me lately and it's taking a lot of effort for me to remain calm.,1
"I'm miserable, I haven't been able to bring myself to do anything in weeks.",0
I am feeling very on edge today.,3
"I am feeling pretty anxious, I'm waiting to hear back about that work project",3
"I'm down, feeling there's no future for me",0
I'm pissed.  My boss wrote me up!,1
I need to take a social media break,1
I feel like I want to throw up,0
My football team won today which always puts me in a good mood.,2
I'm down in the dumps. Everything that could go wrong has gone wrong. Kill me now.,0
"I'm not ok, im afraid of the opposition",3
I feel fearful. I am not in great health and I'm afraid of getting Covid-19.,3
"I am feeling really anxious, my stomach is in knots, I'm afraid I will fail my driving test.",3
Not so good. My sisters have places to go and things to do. I feel left behind.,0
I'm stressed out and anxious about the political situation here.,3
I feel contented I have finished work for this week and can now relax,2
"I'm feeling great, thanks.",2
I feel really lost and sad. My partner and broke up.,0
I'm really sad because my dog ran away,0
I have a gay feeling and I am overjoyed by all I have.,2
I'm not feeling great today. My mind is racing and I can't stop overthinking everything.,3
I am feeling great today,2
I can't help feeling frightened all the time.,3
I'm doing great!,2
I am afraid that I may fail my exams.,3
Awful. My Mom scolded me about being messy when I have been trying to clean up after myself.,0
"Not bad thanks, a little nervous and afraid I won't get the job, just the run off the mill nerves.",3
I'm upset about something my best friend said to me.,1
I am really angry,1
I am so mad I could kill someone.,1
I feel great.,2
I'm not in the mood of talking.,1
"Not great at all, I just lost my job.",0
I'm terrified about getting the results today.,3
I'm feeling a bit stresse out.,3
I'm feeling good thanks!,2
I'm feeling wonderful thank you!,2
I'm feeling depressed,0
"I am feeling wonderful thank you, I have just been told that I am being nominated for an award.",2
Terrible. My mother in law won't stop overstepping boundaries.,1
I feel anxious because of covid-19,3
"Excellent, it's my birthday",2
"Not great, I'm afraid I have a lot on my mind that is really weighing me down.",3
Not very well,0
"I'm actually feeling pretty worried about that result, I'm afraid to ask any more questions",3
I am feeling very afraid today.,3
"I'm feeling really on edge today, i just can't seem to shake this feeling of dread",3
I am feeling happy because I got into my dream university,2
"I'm not feeling great, I have that sinking feeling that comes with anxiety.",3
I can't stop crying.,0
"Awful, I lost someone close to me yesterday.",0
I am afraid I will not be able to finish in time all this work,3
I feel uneasy today,3
I am not so great today.,0
Not so well. I can't seem to get interested in doing very much.,0
"I am really anxious about my physical appearance, some days I'd rather not go out at all",3
"I'm feeling really down, depressed, I can't find a job anywhere.",0
I'm feeling very sad.  I lost a loved one last night.,0
"I'm very angry, people in my work group exclude me for nothing",1
Not bad. Feeling happy today.,2
I am concerned about my child at a school,3
I am feeling contented and pleased today,2
I'm not feeling too great. I'm pretty depressed.,0
I feel quite uneasy,3
I'm well thank you,2
I had a bad day today I'm so worried about my exam,3
I am feeling frustrated because I can't find a way to relax.,0
I am angry.,1
I am overwhelmed by grief,0
I am not ok,1
I can't stand my life and apparently neither can my partner because she's gone.,1
Woke up today not feeling myself and it scares me. Whenever I feel this way something bad always happens.,3
Never better,2
I'm feeling a little anxious today as I wait for some results,3
I'm angry with my spouse,1
I'm super pissed.,1
I am feeling a bit down,0
I am annoyed by the way my partner behaves.,1
I am fine.,2
"I'm really unhappy, my puppy ran away yesterday and I can't find him anywhere.",0
"I am scared of death, sometimes I just lie awake at night thinking of the absurdity of life",3
I feel afraid for my safety,3
"I'm worried about so many different things, I feel like I can't do anything.",3
"I'm ok, but i feel like we might loose the soccer game tonigt",3
Not good. I found out my husband is cheating on me.,1
"I am not that good, I want to be left alone.",1
I'm feeling really upset and kind of hopeless. I think I'm depressed.,0
I think my girlfriend has been lying to me and it's making me anxious,3
Feeling awesome,2
I want to cry,0
I'm not feeling good at all.  Things are just going wrong.,0
"I am feeling very content today, thank you!",2
I have had a few crying spells today.,0
I'm not feeling very well. My grandmother passed away last week.,0
Why do you ask me that?,3
I'm feeling very short tempered,1
"i am not ok, thinking about my children i got very angry",1
I am livid at what is going on with my roommate,1
I just feel really angry lately.,1
I am worried about my current work situation,3
I am feeling sad today.,0
I feel kind of empty. I have nothing going on in my life.,0
I am feeling on edge today and not comfortable in my skin.,3
I am feeling apprehensive.,3
"Horrible, I'm feeling really anxious",3
"I'm not feeling great, have anxiety",3
I'm really depressed. Nothing I do is worthwhile.,0
I am angry with my friend because he disobeyed me.,1
I don't think I can go on any longer.,0
"I'm pretty ok, just a bit anxious.",3
"I'm well thank you, i thank God for life",2
I am on top of the world!,2
"I'm feeling crap, I just got some really irritating news",1
I'm actually quite anxious today,3
I am really unhappy,1
"I am feeling great today, this sun is shining and it's a good day.",2
I am terrified that something bad might happen to my loved ones,3
"Feeling great today, slept well!",2
"My anxiety is so bad today, I'm getting worried by the slightest thing",3
"Actually, I have been feeling a little down lately.",0
I am feeling really low and quite frightened actually.,3
I am feeling low and sad,0
Feeling really down today. Got into an argument with my brother.,0
"It is a wonderful day, and I am feeling great.",2
"I'm scared, my abusive ex has tried contacting me again.",3
Everything is going well for me.,2
Great!,2
I am feeling stressed today as I have a deadline to meet.,3
Extremely angry! My wife left me!,1
I am feeling kinda weak and depressed.,0
"I am feeling a bit stressed, as I forgot to pay my credit card.",3
I am feeling uncertain and fearful.,3
"Not feeling good, I am really struggling.",0
"I'm doing well, I'm in a pretty good mood.",2
I am feeling stressed.,3
I'm certainly not at my best.,0
I am not feeling so great.,0
"I'm really annoyed, I couldn't get anything done at work today.",1
Very well thank you,2
My ex ruined my life and I am MAD.,1
I have lost a loved one and I haven't really felt happy since.,0
I feel I might have a serious illness but don't want to see the doctor,3
"I don't feel normal at all, my head is spinning, I feel stressed",3
I'm feeling pretty blue about my breakup.,0
I am fantastic and feel I am accomplishing a lot today.,2
I am feeling great.,2
I am upset.,1
My heart is racing and I feel jittery.,3
"If someone else tries to cut me off in traffic, I'm going to explode!",1
"I am very sad today, I lost a dear friend last night.",0
"I am really, really angry. I feel I could burst.",1
I'm sad as it's a long weekend but I have to work.,0
I'm in a pretty low mood,0
All day I've had an awful feeling that something bad is going to happen.,3
I do feel a little anxious as I am about to do something I have never done before.,3
I am so angry with my coworkers,1
"I'm feeling scared, and I don't know why",3
"Pretty good, things are going well",2
Really Annoyed! My boss doesn't respect my time at all!,1
I'm really pissed at my ex.,1
"I don't like being in crowds, it makes me really anxious and kind of scared",3
My nerves are shot.,3
"I am feeling stressed today. I have too much too do, with too little time in which to do it.",3
My child is ill,3
Not that great. I found out that my grandmother doesn't have long to live.,0
Fantastic. It's a good day so far!,2
"Great, I'm having a terrific day!",2
I feel worried today because I might lose my job.,3
I'm not fleeling so great.,0
Terrible. My boyfriend dumped me.,0
I've been better. I've definitely been in a bit of a funk lately.,0
My life is a mess.,0
Not good. My dog had to be put to sleep today.,0
Today is a good day,2
I feel like a wet rag,0
I am feeling content as my football team won the world cup,2
I feel very angry because a stranger attacked me.,1
I'm fine,2
I'm feeling dreadful today. I am so afraid of losing my job.,3
"I am feeling really unwell today, like I am being followed the whole time.",3
"Not so great, down, bummed out.",0
"I'm not fine, my team was disqualified and I lost $100 on the bet with my friend and I'm really mad. It's the team's fault that I feel this way.",1
I'm not feeling like my usual happy self.,0
I am not feeling so good I fell out with my friend yesterday,0
Not at all well!,1
I am angry with my neigbor as he is making a ruckus,1
My mental health is not at all good today,3
Not so good; I am missing a birthday party because I am ill.,0
Just miserable today.,0
My health has deteriorated due to covid-19 and I am seriously worried,3
"Not great, things are really disturbing me at the moment.",3
I'm not coping so well today,3
I am not in the mood to talk to someone.,1
I'm very upset,1
I'm in such a good mood.,2
It's their fault that I feel the way I do.,1
I'm scared. I don't know what will happen if I fail this exam.,3
I'm really wound-up today.,3
"I'm doing well, thank you! Just started my vacation and it's been relaxing.",2
I'm worried about my career,3
I'm quite depressed. I can't find the motivation to get out of bed.,0
I'm just feeling really down.,0
Brilliant! I am having the best day!!,2
I fell out with my friend yesterday,0
Great! My lottery numbers came up last night and I'm quitting my job.,2
I am flat out mad.,1
I'm feeling pretty down today.,0
I'm stressed and worried cause my business has declined,3
"Honestly, I'm not doing well. I failed my exam.",0
My parents fought with me so i am angry,1
I'm feeling jittery.,3
"Well, I just feel that nothing is going my way.",0
Not so great today,0
I'm devastated. I can't stop crying. My dog was hit by a car today and died.,0
Not great. I'm pissed at a coworker of mine.,1
My best friend moved across the country this week.,0
I'm feeling very nervous about going to the dentist this afternoon!,3
I'm afraid that I won't remember anything I've studied,3
Not great. I had to work two hours overtime today.,0
I just want to cry because I feel so bad that my dog died.,0
Not so good as I have been watching the news coverage from the Middle East.,0
I haven't felt this good in a long time!,2
I feel great.,2
Down in the dumps. My husband has gone back to the office to work and I'm alone.,0
I am not good because I am so angry that my husband purchased an expensive vehicle and never talked to me about it first. He has made me so upset.,1
I am not feeling good today.,0
I'm very disappointed.,1
Nothing seems to be going right and I can't get anybody to listen to me.,1
"Yep, doing ok thank you.",2
Things could be better. I have been feeling sad and lethargic lately due to stress I think.,0
I'm so pissed off right now and I don't know why.,1
I'm very upset because I dropped my phone and now it's cracked.,1
I'm feeling a little bit anxious about starting my new job today.,3
I am content in my life,2
"Im ready to go, I can't wait to start the day!",2
I am really feeling off today. waiting on my results is staring to freak me out!,3
I am afraid my girlfriend is going to leave me,3
"Pissed off, my friend is being really annoying.",1
"Honestly, I feel quite anxious today.",3
I have been feeling quite low the last few days.,0
I am not as happy as I want to be.,0
I actually am!,2
Really kind of heavy today.,0
Im feeling on edge today. I have a big test and im worried I wont pass.,3
"Anxiety and fear is heightened at the moment, thank you for thinking of me.",3
I lost a close friend today and feel really sad and lonely.,0
I feel overjoyed,2
"I'm good, thanks.",2
I have actually been overwhelmed with emotional turmoil and extreme fear,3
I'm feeling very unsettled.,3
"Really down, I just can't seem to get started on anything.",0
"I've got a lot on my mind at the moment, it's making me anxious",3
"My boyfriend broke up with me, so I'm pretty sad today",0
"Gosh, I feel quiet afraid today for some reason.",3
"On top of the world, mate!",2
I'm pissed,1
I am annoyed with my son as he did not eat his lunch today,1
I am really happy because it is not raining today.,2
"I am angry, what do you think. Stop asking these questions.",1
nervous,3
I'm worried about what the consequences will be of breaking one of the machines at work. I could lose my job!,3
I'm pissed off.,1
I feel like something bad could happen and I'm afraid that it will.,3
I am so angry for something that happened today.,1
I'm pissed.,1
I'm not at all fine.,1
"I'm infuriated with my partner, I found out they cheated",1
I'm feeling bad,0
"Not great, it's the same shit different day.",0
I feel like I want to hit someone.,1
I'm so nervous over my exams,3
Nothing is well,0
"I'm pretty stressed out today, I'm waiting for some test results",3
"I am feeling bummed, I was supposed to see my dad today but he had to reschedule, I miss him a lot.",0
"I'm fine, I guess.",0
I'm doing well,2
All is good. I have had a lovely day walking in the mountains.,2
Much better. There is a lot to be grateful for right now.,2
I'm great thanks!,2
Absolutely brilliant!,2
"I'm good, ready for the day.",2
I am ecstatic today.,2
I'm feeling worried and anxious.,3
Not too good. I feel like quitting my job.,1
"Yeah, I'm sweet",2
"Quite frankly, I don't see any point in life anymore",0
"I am not feeling relaxed today, quite jittery.",3
"Frustrated, IÃm angry and I donÃt know why.",1
I feel like I am at the bottom of a pit: I have just lost my job,0
I feel terrible. I lost my dog.,0
I'm so angry for something that happened today.,1
I am way pissed off today.,1
I have a feeling of dread about flying on a plane later. I really have a fear of flying,3
Not good. I'm scared of what is to come.,3
I feel down because it's rained for a week straight.,0
"All is going well, Im delighted to say",2
I am pissed at myself.,1
I feel depressed and not like myself.,0
"I'm pissed at my parents, they're always trying to control me.",1
I am so sad that I cried in the shower earlier.,0
"I'm great, how are you?",2
Like I need to chill,1
I'm not enjoying myself.,0
I feel sad,0
I'm great.,2
I don't know how I am going to manage everything this month,3
Not good at all. I'm really doubting myself lately.,0
I am particular pleased today with my stock market portfolio performance.,2
All good,2
I have just had a panic attack and I feel awful,3
"I am feeling nervous today, I am going for a job interview.",3
"Not good, my dog died.",0
"My mother just died, and I can't stop crying.",0
I'm quite down. I had a disagreement with my sister.,0
I feel bad,1
I have been better.,0
I'm feeling great at the moment.,2
I'm concerned about walking into town,3
I am feeling worried because I didn't do my homework,3
A friend died and I feel lost,0
I wish I felt like this every day,2
I've never been happier,2
I am totally irritated about the actions of my friend,1
Today have been a long day and how the meeting went have put me on my heels as to what my future in this company holds,3
"I am feeling over the moon today, nothing can bring me down.",2
It's a very bad moment,1
I'm great.,2
Anxious because there are some family issues I need to resolve.,3
"The day has a been a good one, my son got got a championship",2
"I am feeling really sad, to a point where I feel like crying all day",0
