,gender,age,emotion,base,rewriting
0,Male,18-39,Sad,Was this caused by a specific event/s?,I'm sorry to hear you aren't feeling well. Did anything specific happen to cause you to feel this way?
1,Female,40-69,Sad,Was this caused by a specific event/s?,Did something in particular happen that made you feel sad? Feel free to tell me openly.
2,Male,18-39,Sad,Was this caused by a specific event/s?,I'm sorry to hear that. Is there one particular thing that caused this feeling?
3,Female,18-39,Sad,Was this caused by a specific event/s?,Thank you. Did something specific happen to make you sad?
4,Male,18-39,Sad,Was this caused by a specific event/s?,Did something happen to bring about this feeling?
5,Female,40-69,Sad,Was this caused by a specific event/s?,I'm so sorry to hear that. Can you identify a specific event that caused you to feel that way?
6,Male,40-69,Sad,Was this caused by a specific event/s?,Is your mood caused by anything specific?
7,Female,18-39,Sad,Was this caused by a specific event/s?,I do understand. Did a specific event occur to make this happen?
8,Male,18-39,Sad,Was this caused by a specific event/s?,"I'm sorry to hear that. Could it be because of a certain event? If so, I hope it wasn't too difficult for you."
9,Male,18-39,Sad,Was this caused by a specific event/s?,"I'm sorry to hear that you are feeling sad. Do you know what led to such a sad feeling, was it a specific event?"
10,Male,18-39,Sad,Was this caused by a specific event/s?,"If you don't mind sharing, do you feel this way because of a particular incident?"
11,Female,18-39,Sad,Was this caused by a specific event/s?,I'm very sorry to hear that you are sad. Did anything happen to cause your sadness?
12,Female,40-69,Sad,Was this caused by a specific event/s?,Did something specific bring on this feeling?
13,Male,18-39,Sad,Was this caused by a specific event/s?,Would you be able to tell me if there are specific situations that are making you feel this way?
14,Male,18-39,Sad,Was this caused by a specific event/s?,Was there something in particular that happened to cause you to feel this way?
15,Male,40-69,Sad,Was this caused by a specific event/s?,I am sorry to hear you are feeling this way. Can you tell me if a specific event may have caused that?
16,Female,40-69,Sad,Was this caused by a specific event/s?,Did something in particular happen that led to this?
17,Female,18-39,Sad,Was this caused by a specific event/s?,Did anything happen in your personal life to cause these feelings?
18,Female,40-69,Sad,Was this caused by a specific event/s?,"Please tell me, was this caused by a specific event/s?"
19,Male,40-69,Sad,Was this caused by a specific event/s?,Did something happen prior to this feeling?
20,Male,40-69,Sad,Was this caused by a specific event/s?,"In order to try to make you feel better, I need to understand if anything happened to cause this. Did  a specific event cause your sadness?"
21,Female,18-39,Sad,Was this caused by a specific event/s?,"Oh, I am so sorry to hear this. Did a specific situation cause this?"
22,Female,18-39,Sad,Was this caused by a specific event/s?,Did something happen to make you feel this way?
23,Male,40-69,Sad,Was this caused by a specific event/s?,Was there something specific that you think caused you to feel this way? You can be open with me.
24,Male,18-39,Sad,Was this caused by a specific event/s?,Can you remember if something made you feel this way?
25,Female,40-69,Sad,Was this caused by a specific event/s?,Can you think of a specific event that caused you to begin to feel this way?
26,Male,40-69,Sad,Was this caused by a specific event/s?,"Sorry to hear that, I can relate. Are there events that led up to this?"
27,Female,18-39,Sad,Was this caused by a specific event/s?,Was there something in particular that made you feel sad?
28,Female,18-39,Sad,Was this caused by a specific event/s?,Did something specific happen to make you feel this way?
29,Female,18-39,Sad,Was this caused by a specific event/s?,Is this feeling caused by a specific event?
30,Female,18-39,Sad,Was this caused by a specific event/s?,Is this due to anything in particular?
31,Male,40-69,Sad,Was this caused by a specific event/s?,Can you think of anything specific that happened to cause this?
32,Male,40-69,Sad,Was this caused by a specific event/s?,I am sorry to hear that. Can you tell me if it was caused by a specific event or events that you could share?
33,Female,40-69,Sad,Was this caused by a specific event/s?,Did something happen that caused this?
