,gender,age,emotion,base,rewriting
0,男性,18-39,悲伤,这是由特别事件引起的吗？,我很遗憾听到你感觉不舒服。有什么特别的事情让你有这种感觉吗？
1,女性,40-69,悲伤,这是由特别事件引起的吗？,有没有发生什么特别让你感到难过的事情？不介意的话请告诉我。
2,男性,18-39,悲伤,这是由特别事件引起的吗？,我很抱歉听到这个。是不是有什么特别的事情导致了这种感觉？
3,女性,18-39,悲伤,这是由特别事件引起的吗？,谢谢你。有没有发生什么让你难过的事情？
4,男性,18-39,悲伤,这是由特别事件引起的吗？,是不是发生了什么事情导致了这种感觉？
5,女性,40-69,悲伤,这是由特别事件引起的吗？,我很抱歉听到这个。你能找出让你有这种感觉的具体事件吗？
6,男性,40-69,悲伤,这是由特别事件引起的吗？,你的情绪是由什么特定的事情引起的吗？
7,女性,18-39,悲伤,这是由特别事件引起的吗？,我明白。是否发生了特定事件使这发生？
8,男性,18-39,悲伤,这是由特别事件引起的吗？,我很抱歉听到这个。会不会是因为某个事件？如果是这样，我希望这对你来说不是太难。
9,男性,18-39,悲伤,这是由特别事件引起的吗？,我很遗憾听到你感到难过。你知道是什么导致了这种悲伤的感觉，这是一个特定的事件吗？
10,男性,18-39,悲伤,这是由特别事件引起的吗？,如果您不介意分享，您是否因为某个特定事件而有这种感觉？
11,女性,18-39,悲伤,这是由特别事件引起的吗？,听到你很难过，我很抱歉。有什么事情让你难过吗？
12,女性,40-69,悲伤,这是由特别事件引起的吗？,是不是有什么特别的事情带来了这种感觉？
13,男性,18-39,悲伤,这是由特别事件引起的吗？,你能告诉我是否有特定的情况让你有这种感觉吗？
14,男性,18-39,悲伤,这是由特别事件引起的吗？,有没有什么特别的事情让你有这种感觉？
15,男性,40-69,悲伤,这是由特别事件引起的吗？,我很遗憾听到你有这种感觉。你能告诉我是否有特定的事件导致了这种情况？
16,女性,40-69,悲伤,这是由特别事件引起的吗？,是不是发生了什么特别的事情导致了这种情况？
17,女性,18-39,悲伤,这是由特别事件引起的吗？,在您的个人生活中是否发生过任何事情导致这些感觉？
18,女性,40-69,悲伤,这是由特别事件引起的吗？,请告诉我，这是由特定事件引起的吗？
19,男性,40-69,悲伤,这是由特别事件引起的吗？,在这种感觉之前发生了什么吗？
20,男性,40-69,悲伤,这是由特别事件引起的吗？,为了让您感觉更好，我需要了解是否发生了什么事情导致了这种情况。是否有特定事件让您感到悲伤？
21,女性,18-39,悲伤,这是由特别事件引起的吗？,哦，听到这个我很抱歉。是特定情况导致的吗？
22,女性,18-39,悲伤,这是由特别事件引起的吗？,有没有发生什么事情让你有这种感觉？
23,男性,40-69,悲伤,这是由特别事件引起的吗？,你认为有什么特别的事情让你有这种感觉吗？你可以对我敞开心扉。
