,text,labels
0,我很担心我们的未来,3
1,我今天做的没那么好。他们正在推出我最喜欢的童年电视节目。,0
2,由于和朋友吵架，我很沮丧。,0
3,我很好谢谢你，我刚刚收到一个好消息,2
4,我今天感到害怕和不安。,3
5,可怕，我真的很着急,3
6,我一点都不正常，我的头在旋转，我感到有压力,3
7,害怕的,3
8,我现在感觉很紧张。,3
9,她就是不和我说话了，我不知道该怎么办。,0
10,到目前为止，我讨厌我的一天。,1
11,我感觉很好，谢谢你。,2
12,糟糕的！我的室友偷了我的项链！,1
13,什么都不好,0
14,我当然不是处于最佳状态。,0
15,我感觉自己站在世界之巅。,2
16,我害怕。我找不到我的儿子。,3
17,我没有心情和别人说话。,1
18,我害怕在会议上出丑，我讨厌公开演讲。,3
19,我今天感觉好极了，没有什么可以让我失望。,2
20,非常不安。本周早些时候我失去了一个亲人。,0
21,一点都不好。我最近真的很怀疑自己。,0
22,不是很好。我担心我的安全。,3
23,万分谢意。你？,2
24,我真的很生气。,1
25,空是轻描淡写,0
26,我感觉很神奇！,2
27,你知道这有什么用吗,1
28,我心情这么好。我觉得今天很幸运,2
29,我心情不好，我最好的朋友不会跟我说话。,0
30,我觉得很烦躁。,1
31,心情低落，男朋友跟我分手了,0
32,老实说，我今天感到压力很大，我担心我在面试中表现不佳，然后我又回到了原点。,3
33,我之前哭过,0
34,我只是觉得最近很生气。,1
35,我对某人生气。,1
36,很糟糕,1
37,我现在真的很生气。我刚刚和一个指责我没有做的事情的人发生了争执。,1
38,我很心烦,1
39,你有其他问题吗？,1
40,我感到非常生气，因为一个陌生人袭击了我。,1
41,今天真的有点沉重。,0
42,我今天欣喜若狂。,2
43,今天真的对我造成了伤害，我已经筋疲力尽了。,1
44,我完全疯了。,1
45,感觉不好。我妈妈昨晚住院了。,0
46,我感觉很好。,2
47,我的室友因为她的草率而让我发疯！,1
48,我最好的朋友找到了一个可以一直出去玩的人。,1
49,好的！今天设法将我所有的任务从我的清单中核对出来。,2
50,不是很好。,0
51,非常难过，我今天没有精力。,0
52,我不好，因为我很生气，以至于我丈夫买了一辆昂贵的汽车，而且从来没有和我说过这件事。他让我如此沮丧。,1
53,我希望我每天都有这样的感觉,2
54,我很生气我的老板在我的同事面前让我难堪。,1
55,我在孤立中感到焦虑。,3
56,我其实很担心这个结果，我不敢再问了,3
57,我对这里的政治局势感到压力和焦虑。,3
58,我感觉不像往常快乐的自己。,0
59,非常难过，我正在一个悲伤日子的纪念日想起它。,0
60,不好，我今天过得很糟糕。,1
61,最近几天我的心情一直很低落。,0
62,我很好。,2
63,我感到有点害怕,3
64,我现在无法忍受我生命中的任何人。,1
65,我今天很焦虑。,3
66,我今天感觉不太好。我的脑子在飞速运转，我无法停止对所有事情的过度思考。,3
67,我真的很伤心很沮丧。,0
68,我有更好的日子,1
69,老实说，不是很好。我的猫刚刚去世。,0
70,真的很伤心。我不能让自己做任何事,0
71,我觉得很棒！,2
72,不太好。我丈夫刚失业。,0
73,一切都很糟糕，我讨厌我的生活,1
74,太可怕了，昨晚有人闯入我家。,0
75,我做得不太好。,0
76,我对我的朋友很生气，因为他不服从我。,1
77,我现在感觉不太好我很伤心,0
78,我感觉不太好，我担心面试。,3
79,我很震惊。,2
80,今天会很精彩,2
81,我真的很难过，以至于我想哭一整天,0
82,我感觉很好，谢谢你的提问！我昨晚睡得很好。,2
