,text,labels
646,"If I may ask, do you consider yourself the kind of person who always wants to be in charge?",0
42,Are you always willing to hear other people's advice?,0
8,I think it might help if we talk about what caused you to feel like this. Was it a specific event that distressed you?,1
614,"When looking at your situation, are you always blaming and accusing yourself for what is going on?",0
501,Do you always unfairly hold yourself accountable for what happens to you?,0
647,Have you experienced any of these strong feelings or emotions towards anybody recently:,0
330,"I'm sorry to hear that you are feeling sad. Do you know what led to such a sad feeling, was it a specific event?",1
484,Would you say you feel like the blame always belongs with you when something goes wrong?,0
710,"Thank you so much for taking part in this session, I really appreciate your time and the thoughtful input you provided, and hope the session was of some use to you. I'm looking forward to seeing you again soon, take care.",1
210,"Please find my recommendations below. Of the protocols below, is there one you would like to try now? If so please select it.",1
393,Let me know which protocol you would prefer to try.,0
283,"Thank you. There's no right or wrong answer here, it's good to just explore things. Do you think that you are always responsible when things don't work out the way you want them to?",1
635,May I ask if you feel able to consider other people's points of view?,0
387,Did anything happen?,0
997,"In the past, when conversing with others, did you put yourself in their shoes?",0
1010,"Now, I would just like to clarify you are feeling {}, is that correct?",0
13,Was this caused by a certain event?,0
430,"If I may, do you think that perhaps you are trying to be someone else's saviour?",0
82,Do you always feel like things that go wrong are your fault?,0
222,"Have you recently revisited the trauma of this event through Protocol 6, and is this why you are now feeling anxious?",0
981,Did this event happen recently or a while back?,0
775,How do you feel?,0
225,"Thank you for sharing your thoughts with me. I have the feeling that you are {}, is that the case?",1
568,"Feeling strong emotions towards others is quite normal, I'm not here to judge you for it. Have you felt or expressed any of the following emotions towards others:",1
642,"First of all, let me tell you that I totally understand where you're coming from and what it's like to have these feelings. I wonder, in your heart of hearts, do you think it's reasonable or healthy to always put others first?",1
886,Welcome back! How are you feeling after having taken the protocol?,1
987,Do you feel a weight on your shoulders to save others?,0
396,Have you strongly felt or expressed any of the following emotions towards someone else that you are aware of:,0
890,Thanks for your time today! Hope to hear from you soon!,0
172,"Ok, thank you, let's see if we can get to the bottom of this. How about we go through a few questions and look into some approaches that might help you feel better.",0
637,Here are my thoughts on which protocols would be best suited for you. Which of the following would you like to explore?,1
71,"Is this something you've been worried about for a while, or is it something new thats on your mind?",0
284,Do you feel that someone is partly to blame for your negative feelings?,0
924,"Do you, even if unfairly, tend to always blame yourself for everything bad that happens in your life?",0
428,Do you feel that you could be trying to affect or change somebody else's behaviour?,0
310,Are you feeling the need to be the savior of someone else in your life?,0
875,"Would it be fair to say that other people are often responsible for your negative feelings and thoughts, that you are somewhat helpless to this?",1
954,Please find my recommendations below. You can select the protocol you prefer.,0
773,Do you always believe that you are to blame for things going wrong or failing?,0
243,"Are you in the middle of some trauma of a personal nature, like difficulties with family members or friends?",0
600,Do you think this helped you feel better or made you feel worse?,0
208,"Ah, I see. Would you say this was a recent or distant event?",0
845,"Do you feel responsible for saving another person, a loved one perhaps?",0
196,The following protocols I feel would be of benefit to you. You can select the one you think suits you best at this moment.,0
390,"I'm sorry to hear that, I hope you don't mind sharing with me when it happened? Was it recent or distant?",1
482,Did this event happen recently or a while ago?,0
60,Have you recently tried Protocol 11 and perhaps found that this did not help in the way you had hoped?,1
608,I'm very sorry to hear that. Would you be up to attempting another protocol?,1
578,Is there something in particular that is causing you to feel this way?,0
318,Do you believe saving someone's life or alleviating their problems would make you feel better about yourself?,0
770,"Are you taking ownership for the things that happen, or do you feel like others are to blame for the negative feelings you have?",0
258,Do you find it difficult to be in a position where you cannot help someone else?,0
643,"I would like to know if there is anything happening right now that feels bigger than normal. Are you going through a rough patch, or a personal crisis? if so, you can tell me.",1
596,"Thank you. I'd like to know if you may be undergoing a particularly difficult moment, due to problems with friends or family.",1
649,Was the event that caused your sadness a recent event or something that happened a while ago?,0
654,Do you feel there is something you can do that will make someone else better?,0
791,Do you feel like you want or need to control the behaviour of someone else in your life?,0
539,May I ask if you have felt or expressed any of these emotions towards someone:,0
313,Do you find that others are often to blame for things that go wrong around you?,0
502,Do you see yourself as a saviour?,0
410,So sorry. Kindly select how you're feeling from the emotions below:,1
381,"I would like to know a bit about how you view your role within your social circle. Do you often feel that it is your job to save others, or that other people expect you to be that way?",1
857,"I'm looking forward to seeing you again soon, take care.",0
289,Do you think that perhaps you have felt any of these emotions recently:,0
183,You must be hurting right now. Could you share whether this event was recent or longer ago?,1
509,Are you trying to take charge of someone?,0
419,I would like to know if there is anything happening right now in that feels bigger than normal. Do you feel like you are facing a personal crisis?,1
416,Do you feel that someone else is trying to hurt you?,0
180,"I am wondering, have you tried to listen carefully and consider other viewpoints put forward by those that you love?",0
190,"Do you think you may need to control someone, make them do or say what you want, in order to be less angry?",0
819,Do you think you have a need for control in your relationships lately?,0
760,"Deep down, do you have the feeling that you are attempting to control another person?",0
990,Please select the protocol that you would like to attempt now.,0
288,"May I ask you are having troubles at home, at work or with friends?",0
57,"When things go wrong, do you always think that you are to blame?",0
363,"I know it can be hard to talk about these things, so thank you for opening up to me. Do you want to tell me a little more about when this incident happened, was it a recent incident or something in the past?",1
829,"Do you feel, or would like to be, in control of others?",0
131,"Oh no, that must have been difficult. Was this recent or distant?",1
386,Did something recent or distant trigger these feelings?,0
721,I would like to know if you think that you always blame yourself when something goes wrong.,0
511,"With that feeling, are you having any thoughts that you should be saving another person?",0
763,"Thank you, you've been great and it's been a pleasure to work through this together. I hope you will be back soon.",1
782,"I see, thank you. Do you ever see yourself as the victim for the negative feelings you have?",0
249,"Oh no, sorry to hear it. Is it something that has happened that triggered these feelings?",1
321,"Thank you, I am sorry you're struggling right now and want to help. Let's move on to the next questions and try to resolve this situation.",1
687,How do you feel now? I hope that it will have been of benefit to you.,1
62,Do you find it easier or natural to place the blame for your problems and feelings on others?,0
787,"Have a go at this protocol, when you finish press ""continue"".",0
752,"Do you feel that your actions are attempting to fix things, help or make things right for someone?",0
755,Have you got the feeling that someone else is responsible of how you feel now?,0
451,Have you noticed that you always blame or accuse yourself for any negative situations lately?,0
768,"May I ask if you feel like a victim right now, and blame your feelings on others?",0
778,I would now like to delve more into understanding your dilemma by asking you some additional questions.,0
485,Did that happen recently or a while ago?,0
592,"Thank you so much for your honesty and efforts today, much appreciated. See you again soon!",1
869,Have you had any recent major issues with friends or family that may have caused these negative feelings?,1
468,"I would really like to help you feel better, and may need to know a little more about this event. For example, was it very recent or did it happen in the more distant past?",1
795,"Now, it's perfectly normal to feel either better or worse immediately after doing this. How would you say you feel after completing the protocol?",1
936,"We've come to the end of the session, I'd like to thank you for taking the time to work through this with me. See you soon.",1
303,Thank you very much. I've got some questions now to help understand your situation.,0
458,"It's normal to blame ourselves for our problems on occasion, but we should be careful not to make this into a destructive habit. Please tell me, are you always putting the blame on yourself when things go wrong? ",1
1005,Is there anything in particular which has made you feel that way?,0
683,"Now that you have selected the one you wish to try, go through it thoroughly. Select 'continue' when you are ready.",0
664,Did the protocol have any positive or negative effects?,0
717,"I understand that you may be feeling anxious, I would like to help you if you could could give me some more details. Do think this could be linked with any particular event?",1
611,"Thank you for your trust, please help me understand better. Would you say that, in previous conversations, you have always been willing to listen to other people's views and opinions?",1
348,Do you feel you might always unintentionally be hurting yourself when you think things are not going your way?,0
607,"Now you have tried this protocol and reached the end, do you feel better or worse about your situation?",0
831,"Oh, I am very sorry to hear it, sometimes going through a protocol can bring back uncomfortable memories and I understand it can be tough. Would you like to try again with a different protocol?",1
63,I look forward to more fruitful engagements with you in the future.,0
127,"If you think about it, would you like the power to control someone in your life right now?",0
619,Do you feel the burden of responsibility for the outcome of someone else's fate?,0
384,Is someone else at fault for making you feel like a victim?,0
148,Would you say that you generally listen to others' input?,0
966,Did you try to complete Protocol 6 and it resulted in reawakening some bad feelings due to things that happened in the past?,0
1002,Would you honestly say that you are open to other people's viewpoints?,0
612,Do you consider yourself to be a victim of someone else's actions?,0
366,"Ok I see, please tell me more about it. When did this happen, recently or a while ago?",1
949,Select 'continue' when you are ready.,0
454,Are there any major personal problems in your life right now?,0
37,Did something happen to bring about this feeling?,0
751,Did something happen that made you feel this way?,0
537,I'm sorry you feel that way. Was this caused by something specific?,0
123,"I really would like to see you again soon, so please drop by when you can.",0
590,"I hope you don't mind me asking, but are you facing a difficult time?",0
562,"The exercises in Protocol 11 can be difficult for some, so I would like to know if they would be the right choice for you. Did you attempt the exercises in Protocol 11 and find them difficult or traumatic?",1
696,That's alright. Would you like to try another protocol maybe?,0
347,"I wonder, do you think trying Protocol 6 to revisit the event, if you have done so, may have contributed to this feeling?",1
338,"If I may ask, do you ever find yourself blaming other people for the way you feel?",1
880,"Fantastic, I am so glad to hear it. I have a protocol that might enhance this positive feeling, would you like to try it?",1
280,Do you think there might be something going on somewhere in your mind making you feel that you should be acting as a saviour figure for some other person in your life?,0
602,Do you think going through another protocol could help?,0
343,"If I may ask, do you blame others for how you're feeling today?",0
736,"How are you feeling right now, did that help to make you fell better, or not really?",0
707,Do you feel the need to control someone?,0
153,Have you intensely felt or expressed any of the following emotions towards anyone in your life:,0
599,How are you feeling after having taken the protocol?,0
929,Is there anything difficult or traumatic that you are going through right now in your personal life?,0
358,I'm very sorry for that. Would you be able to highlight the emotion that you are actually feeling right now from the ones below?,1
651,I am sorry to hear you feel that way. Would you like to try another protocol?,1
197,This thing that is making you feel anxious - did it happen recently or was it some time ago?,0
605,May I recommend a therapeutic protocol to enhance your positive feelings?,0
314,"Thank you for being brave and sharing your feelings today, I appreciate that. I look forward to our next session.",1
369,Is it possible that your sadness could be caused by not being able to save someone in your life who you feel needs saving?,1
228,"I believe you are feeling {}, would you say that is correct?",0
436,"Protocol 11 can bring up emotions you may not have felt in a long time, so I wonder if it would be the right choice for you. Is it possible that you have recently attempted Protocol 11 and this has reignited negative emotions?",1
476,Would you like to try again with a different one?,0
1008,"Try this protocol, and when you have worked through it, press 'continue'.",0
242,Did this happen because of a recent or distant situation?,0
72,"Do you mind telling me when this happened, was it recent or distant?",0
639,"Are you experiencing a tough time right now, have you fallen out with friends or loved ones?",0
466,"I'm sorry you are feeling sad and in order to help you I would like to dig a bit deeper. If you don't mind me asking, are you going through a rough personal crisis?",1
365,I'm so sorry to hear that. Can you identify a specific event that caused you to feel that way?,1
859,How are you feeling now?,0
920,"Thank you for being open and sharing with me. You seem like you're {} today, would you say that too?",1
51,Have you felt something like the following toward someone else:,0
640,Have you recently tried thinking about this event but found it too painful?,0
332,"I know this may be difficult, but could you tell me a bit more about your emotions. I'd like to know whether you have felt any of these emotions toward another person:",1
192,Would you say that you were able to really consider other viewpoints when they arose in previous conversations?,0
978,Many thanks for your cooperation. See you later!,0
851,"Please tell me, do you feel that it is someone else's fault that you are feeling this way?",0
771,Do you feel that you need to always be there for someone?,0
785,I can see you're feeling anxious. Has something happened that has you feeling this way?,0
1004,"Do you think this is someone else's fault, is there someone that's causing you to feel bad?",0
557,Are you able to listen to other people's perspectives?,0
372,"It's a great feeling. May I suggest a protocol to help enhance and maintain good feelings, it may really help?",0
531,"That's ok, not everyone feels better after the first one. How about we try another one and see how we get on with that one?",1
488,"In all honesty, do you think that controlling someone is okay, or would you ever do it?",0
601,Please let me know which one you would like to attempt.,0
922,"Is it a controlling feeling that you're experiencing perhaps, like wanting to control a situation or person?",1
902,Does your current worry revolve around someone you are trying to help?,0
230,"I know you said you've been feeling anxious today, so I'd just like to know if you have been feeling other negative emotions. Are any of these emotions things you have felt in the past, or the present:",1
998,"Do you think that you always have to save people from trouble, even if they're creating it themselves?",0
848,Great! Now could you please try to go through this protocol and press 'continue' when you're finished.,1
460,I'll see you soon!,0
122,Have you been able to consider other people's perspectives in your previous conversations?,0
992,"Have you already tried thinking over that again by doing Protocol 6, and if so how was that, did it reignite uncomfortable emotions?",0
187,"I see, I am sorry to hear that. Do you feel like a different protocol might help?",1
826,"I have a few recommendations that we could try, but I think it is best that we try the one that you think is the most suitable. Which protocol would you like to try?",1
823,"Generally speaking, do you feel that others are to blame for your problems?",0
206,"Would you say, deep down, that you find comfort lately in keeping others in control?",0
97,Would you say you feel better or worse after taking it?,0
59,"Does it feel like right now anything really big is happening, like a personal crisis?",0
247,"In light of what you've told me, here are some protocols that we can try. Please select any that you feel like going through now.",0
793,Can you let me know if you have recently attempted Protocol 11 and found this reignited unmanageable emotions as a result of recent events?,0
75,Do you feel that you should be the saviour of someone else?,0
926,"I wonder if you always feel like you caused a problem, even when it is not really your fault?",0
803,I think sometimes anxiety may bring on other strong emotions. Could you tell me whether you have been feeling or have expressed any of these emotions towards someone:,1
701,Do you feel or believe that other people may have harmed you?,0
633,"Please try this protocol. When you are done, press 'continue'.",0
518,Is there something personal you are currently going through?,0
1019,Do you feel like you have let someone down?,0
1006,"Are you working through something painful, such as a falling out with someone who is or was dear to you?",0
955,I am sorry to hear you're not feeling great today. Is it something specific that has caused you to feel this way?,1
287,Do you want to try any of them?,0
702,"Thanks, I appreciate your cooperation. See you again soon!",1
678,Here are some protocol suggestions that you could try today. I'd like you to choose the protocol you would like to attempt.,1
429,Do you feel like you are trying to be responsible for someone else's actions?,0
162,"Thank you, I appreciate you sharing with me, I know this can be difficult. I'd like to ask a few more questions to get to know your situation better.",1
397,Do you feel that you have been harmed and that it is the fault of someone else?,0
846,Am I correct in assuming that you are feeling {}?,0
50,"I'm sorry to hear it. When did this happen, recently or a while back?",0
554,"I can see you may be feeling {}, is this accurate?",0
738,Do you find yourself trying to control how someone else behaves?,0
538,Do you feel that someone else is to blame for your sadness?,0
395,Are you experiencing difficulty in your personal relationships (debacle with a friend for example)?,0
703,"Can you identify how you are feeling now, after doing the protocol?",0
54,"If I may ask, do you have any trouble in your personal matters at the moment?",0
368,"If I may ask, do you think it is someone else's fault for you feeling this anger?",1
559,"I can identify with that. Now, are these feelings the result of an event that happened recently or a long time ago?",1
913,"Could your current mood depend on the fact that you were unable to help a loved one, and you feel guilty because of this?",0
943,Do you feel obligated to control other people's attitudes?,0
493,Did something specific bring on this feeling?,0
860,May I ask if it was something recent or in the past that made this feeling come up?,0
712,"In order to help you, could you please indicate if you have felt any of the following emotions towards someone else:",0
133,"Did it happen recently, or is this a past event that's still affecting you?",0
378,"Could it be, perhaps, that you trying to rescue someone?",0
847,"Thank you, let's reflect on this feeling of yours a bit longer. Would you say you are a victim and are you blaming someone for how negative you feel?",1
861,Are you going through any personal trauma in your life?,0
66,Do you believe you're a victim?,0
102,I hope it was a positive experience for you. May I ask if you are now feeling better or worse than before you started the protocol?,1
394,Did using Protocol 6 after this happened make your feelings more uncontrollable based on this past situation?,0
842,Shall we try a different protocol and see how you feel after that?,0
350,Sometimes people can be adversely affected when trying Protocol 6. Have you tried using Protocol 6 recently and found the experience distressing?,0
824,"Deep down, would you say that you feel good when you can control or manipulate someone else into doing what you want?",1
977,"I think if we can get to the root of these feelings, we could get you feeling much better. Do you think you would like to try any of the following protocols? Have a look through and let me know if there is something you would like to try.",1
195,Could you tell me if you have ever felt or shown strongly these emotions towards anyone else:,0
3,I am grateful for your participation. I hope to work with you again soon.,1
542,"Thank you for your answer, I am always here to understand and help you, never to judge. Is it possible that you are trying to take charge of someone else's life?",1
442,"Are you fully aware of the other side of your current situation, do you know or have ever considered the impact on others?",0
246,Do you always feel than your negative feelings or experiences are your own fault?,0
424,Thank you for answering that. Have you been able to consider alternate views and opinions presented to you in previous conversations?,0
564,"Did this happen recently, or is it something that's been preying on your mind for a while?",0
259,"Sometimes others cause us to suffer, but other times it may be that we are avoiding taking responsibility for our actions and choices. Do you feel you have been suffering because of other people?",1
85,Do you feel better or worse?,0
505,Im sorry that this happened to you. Did this happen recently or a while ago?,1
684,Would you say that you are having problems relating to difficulties with your friends or family?,0
866,Do you think it is your responsibility to save someone else?,0
634,"From what you've told me, it sounds like you're feeling {}, is this right?",0
379,Do you ever feel like you're attempting to control someone?,0
807,"Oh, I see. Did this happen recently or before?",0
669,Thank you ever so much. I hope to see you soon.,0
923,"When attempting to revisit your trauma, as is requested in Protocol 6, did you find you were emotionally uncomfortable and have difficulty proceeding?",1
223,Are you having any personal issues or difficulties currently in your life?,0
176,"I think you picked a good one, please give it your best shot. Just hit 'continue' when you finish and we can pick up from where we left off.",0
344,Does your situation make you feel as though someone else was at fault?,0
70,Could you tell me if you started feeling this way after attempting Protocol 11 to revisit a traumatic event from the past?,0
598,Has this feeling arisen because of a recent or distant event?,0
830,Choose whichever protocol you feel is best.,0
140,Do you believe that you should always be hard on yourself when things don't go to plan?,0
670,Do you always blame and accuse yourself when things don't go to plan?,0
691,Do you like being in control?,0
161,I'm so sorry. Please tell me how you're actually feeling.,0
747,Do you feel that you need to be in charge of someone else's behaviour lately?,0
788,Do you think there may be other viewpoints that could be taken into account in your current situation?,0
252,That's great to hear. Would you be interested in looking at a protocol you can try?,1
29,Do you feel you are the victim here?,0
166,"Everyone deals with so many emotions throughout the day, and not all of them are positive. I want to ask you if you have recently felt any of these emotions in particular:",1
47,"Considering your situation, I would like to recommend these protocols for you. Please let me know which protocol you would prefer to start with.",0
985,"Without being intrusive, may I ask if there is someone in your life who you feel is not behaving in a way that you wish they would?",1
445,"Im really pleased that you could participate. I hope that we will be in touch very soon, thanks again.",1
552,Would you like to try another protocol and see if it also makes you feel better?,0
547,"OK, thank you. Can you let me know is this something that has happened recently, or was it a while ago?",0
938,"Are you having any thoughts that you could be controlling someone else, or trying to control them?",0
939,Do you feel that everything and everyone is against you right now?,0
144,I'm very sorry that you are going through this. Have you recently attempted Protocol 6 and found this reignited unmanageable emotions as a result of old events?,1
593,"I'm terribly sorry you are dealing with difficult emotions. Do you feel, perhaps, that you should be saving someone else in your life?",1
126,Is there anything in particular that you can recall that may be contributing to you feeling that way?,0
570,"I see. So you are feeling {}, is that correct?",0
383,"Was this because of something that happened recently, or are you remembering something from the more distant past?",0
734,Have you tried using Protocol 11 and did it bring back uncomfortable emotions?,0
380,Now I will ask some questions to understand your situation.,0
202,"Thank you for letting me know, I am terribly sorry you are feeling that way. Did something specific bring on this feeling?",1
260,"Thank you, I understand. Do you believe it is someone else's fault that you are feeling so low? ",0
