,text,labels
0,你有没有觉得别人要为你现在的感受负责？,0
1,"I understand, thank you. Could it be perhaps that you see yourself as the victim in this circumstance?",0
2,我很遗憾听到这个消息。你想试试另一个协议吗？,0
3,"I would like to ask how you feel about the protocol, and whether it has helped you. Do you feel better, or has it actually made you feel worse?",1
4,Do you feel that someone is partly to blame for your negative feelings?,0
5,Do you always feel that you are to blame when things go wrong?,0
6,Would you say that the way you're feeling can be attributed to someone else?,0
7,我有一些建议给你。请查看并选择您想尝试的任何协议。,0
8,Do you feel a weight on your shoulders to save others?,0
9,"I see, thank you for clarifying that. I would like to know, was this event quite recent, or more distant in the past?",1
10,你认为现在回想这件事会对你造成伤害吗？,0
11,Have you thought about the various viewpoints and perspectives that could change your view of your current situation?,0
12,"I'm sorry, sometimes it's hard to know how someone is feeling behind a keyboard. Instead, do you mind choosing an emotion from this list which is more suitable for your current state?",1
13,您是否认为您可能需要控制某人，让他们做或说您想要的，以减少愤怒？,0
14,您现在是否正经历一段艰难的时期，您是否与朋友或爱人闹翻了？,0
15,您想换一个不同的再试一次吗？,0
16,你有没有可能只是想控制另一个人的所有想法和行为？,0
17,谢谢你的开放。从您的回答来看，我认为您感觉{}，我这样说对吗？,1
18,"Oh, that's not good. Do you think we could try again, perhaps with a completely different protocol?",1
19,Is there someone else causing your sadness?,0
20,"Do you think that you always have to save people from trouble, even if they're creating it themselves?",0
21,Brilliant! Can we have a look at some protocol that may be good to try right now?,0
22,谢谢你。这里没有正确或错误的答案，只是探索事物是好的。当事情没有按照你想要的方式发展时，你是否认为你总是要负责？,1
23,如果您愿意分享，您能告诉我这种感觉是否来自发生的特定事情吗？,1
24,我相信这些协议可能对您有益。看看它们，告诉我你想尝试哪一个。,0
25,你认为别人的问题应该是你要解决的问题吗？,0
26,"What event in your life do think has sparked this feeling, was it a recent one or more distant in the past?",0
27,I understand that feelings of anxiety can be terrible. Is there something in particular that is making you feel this way?,1
28,有没有什么特别让你有这种感觉？,0
29,Would you like to try something different that might be a better fit?,0
30,谢谢，我希望你现在感觉好多了，但如果你觉得你感觉更糟了也没关系。服用此方案后您感觉如何？,1
31,I think sometimes anxiety may bring on other strong emotions. Could you tell me whether you have been feeling or have expressed any of these emotions towards someone:,1
32,我可以认同这一点。现在，这些感觉是最近发生的事件还是很久以前发生的事件的结果？,1
33,Thank you for answering that. Do you blame someone else for the negative emotion that you are feeling right now?,1
34,"I'm really pleased we managed to have this time together, I hope it helped you. You can come back whenever you feel like talking some more.",1
35,我认为协议 11 可能会有所帮助，但在我提出建议之前，我想进一步调查一下。如果你最近尝试过第 11 号议定书，你能告诉我它是否会因为旧事件带来无法控制的情绪吗？,1
36,"Would you like to tell me what event triggered these feelings, was it a recent one or a distant one in the past?",0
37,Do you feel that your current emotion may have been caused by a specific event or events?,0
38,"Thank you for that, perhaps Protocol 11 could help you deal with this event, however before I can recommend it i'd like to make sure that you haven't had a bad experience with it in the past. Have you already attempted Protocol 11 and if so, did it stir up difficult or traumatic emotions?",1
39,It's your choice which one you want to follow.,0
40,"I am so sorry that it has not worked out for you, however there are other choices that I could recommend. Would you like to try another? ",1
41,非常抱歉。请从以下情绪中选择您的感受：,1
42,你认为你可能拥有或渴望影响他人的力量吗？,0
43,"I would appreciate if you could attempt the selected protocol now. Once you feel ready, come back and press 'continue'.",0
44,Is someone else at fault for making you feel like a victim?,0
45,"It's normal to blame ourselves for our problems on occasion, but we should be careful not to make this into a destructive habit. Do you think it's always your fault when something goes wrong in your life?",1
46,你总是觉得比你的负面感受或经历是你自己的错吗？,0
47,"Thank you for trusting in me and sharing how you feel. If I understand correctly, you are feeling {} right now, would you say that's true?",1
48,"I have some recommendations I think could help you out if you wish. Of the protocols below, is there one you would like to try now?",1
49,Do you always feel that problems are your own fault?,0
50,Did something recent or distant trigger these feelings?,0
51,Have you experienced any of the following emotions or wanted to express them towards another person:,0
52,"Do you think that somebody else is making you do something, or is hurting you in some way?",0
53,我看得出来你很焦虑，我想帮忙。是不是有什么特别的东西导致了这种感觉？,1
54,Have you felt something like the following toward someone else:,0
55,"Your participation has been invaluable and really appreciated, thank you for your time. I hope to see you soon.",1
56,"When looking at your situation, are you always blaming and accusing yourself for what is going on?",0
57,您是否尝试过执行协议 11，如果是，是否会引发不舒服的感觉？,0
58,"It's great to herar that you feel this way. I have a protocol that might enhance this positive feeling, would you like to try it?",1
59,"Generally speaking, do you feel that others are to blame for your problems?",0
60,我明白，我很遗憾听到这个消息。请问这感觉像是最近发生的事情，还是对过去更遥远的事情的记忆？,1
