,text,labels
589,我非常抱歉你正在处理困难的情绪。你觉得，也许，你应该在你的生活中拯救别人吗？,2
587,我明白了，谢谢。你会说这件事发生在最近，还是你还记得更远的过去？,2
12,对你生活中发生的事情负责怎么样。你觉得你总是要为出错的事情负责吗？,1
361,你有没有尝试过从别人的角度来看待事情，这有帮助吗？,1
875,太棒了，我很高兴听到它。我有一个协议可以增强这种积极的感觉，你想试试吗？,2
3,我很感谢你的参与。我希望很快能再次与您合作。,2
298,您是否认为有时您会鼓励人们按照您认为他们应该的方式行事？,1
638,首先，让我告诉你，我完全理解你来自哪里，有这些感觉是什么感觉。我想知道，在你的心中，你认为总是把别人放在第一位是合理的还是健康的？,2
851,对不起，发生在你身上，很难经历令人痛苦的事情。这是最近发生的还是不久前发生的？,2
731,你现在感觉如何，这是否有助于让你感觉更好，或者真的没有？,0
577,好的，这是我的建议。您可以选择您认为现在最适合您的任何协议。,0
942,以下是我的建议。你想尝试其中的任何一个吗？,0
975,协议 6 对您来说太难了吗？,0
804,感谢您尝试该协议。如果您考虑服用之前的感觉以及现在的感觉，您会说感觉更好还是更糟？,2
500,你认为自己是救世主吗？,0
604,我很遗憾听到这个消息。你愿意尝试另一个协议吗？,2
27,非常感谢你向我敞开心扉，告诉我你的感受。我很高兴我们可以进行这次聊天，如果您需要我，我就在这里。,2
223,您目前在生活中是否有任何个人问题或困难？,0
507,你想管别人吗？,0
781,这种焦虑的原因，可能是这几天发生的事情，还是感觉更遥远？,1
543,没关系，谢谢你让我知道。您是否觉得自己对此不承担任何责任，而伤害了您则应归咎于他人？,2
815,当出现问题时，您是否觉得自己总是要受到责备？,0
836,你认为现在回想这件事会对你造成伤害吗？,1
473,你有没有觉得你试图让某人处于你的控制之下？,0
1007,请告诉我您想尝试哪种协议。,0
842,谢谢，让我们再好好想想你的这种感觉。你会说你是一个受害者，你会因为你的消极情绪而责备某人吗？,2
827,引起这些感觉的事件是最近发生的，还是发生在遥远的过去？,1
424,我明白了，谢谢。在这种情况下，您是否将自己视为受害者？,1
8,我认为如果我们谈谈是什么让你有这种感觉可能会有所帮助。是不是某个特定的事件让你感到苦恼？,2
302,如果您同意，我想推荐以下协议。您可以选择您喜欢的一个来查看其内容。,2
277,您是否觉得自己遇到了个人危机，例如与家人、朋友或其他亲人相处的困难时期？,1
721,很抱歉，这个练习让你感觉更糟，有时不同的方法对不同的人效果更好。您是否愿意尝试其他协议？,2
763,请问您现在是否觉得自己是受害者，并将您的感受归咎于他人？,1
905,你是否觉得别人故意做出让你感觉不好的行为？,1
73,现在，在你的朋友或家人的圈子里，有没有什么事情困扰着你？,0
431,我很快就会再见到你。,0
953,你是否总是对生活中的事情负责？,0
349,有时人们在尝试使用协议 6 时可能会受到不利影响。您最近是否尝试过使用协议 6 并发现这种体验令人痛苦？,1
728,请问您是否已经通过协议 11 并发现它带回了困难的情绪？,1
150,请问您现在是否觉得自己是受害者，而其他人要为您的悲伤负责？,1
529,您现在最亲近的人是否有任何重大问题或影响？,0
37,是不是发生了什么事情导致了这种感觉？,0
972,我想如果我们能找到这些感觉的根源，我们就能让你感觉好多了。您认为您想尝试以下任何协议吗？浏览一下，让我知道是否有您想尝试的东西。,2
331,谢谢你这样做。它有什么不同吗？你现在感觉好些还是更糟？,1
877,我想澄清一下您的感受{}，对吗？,0
823,我明白。我相信您会感到{}，您会说这是正确的吗？,0
754,在你的个人生活中，你现在有什么特别困难的事情吗？,1
463,你是否会在不知不觉中试图控制周围的人？,1
676,您是否担心您可能会将这些愤怒情绪发泄到某人身上，也许会试图控制他们？,2
474,你现在是否因为试图控制你无法控制的某人或某事而感到沮丧？,0
699,你的情绪是由什么特定的东西引起的吗？,0
954,很抱歉，此协议无法为您提供帮助。你想尝试另一个吗？,1
259,有时其他人让我们受苦，但有时可能是我们在逃避为自己的行为和选择承担责任。你是否因为别人而感到痛苦？,2
849,这是您目前生活中特别具有挑战性的时期吗？,0
794,请告诉我你的真实感受。,0
423,谢谢你回答。您是否能够考虑在以前的对话中向您提出的其他观点和意见？,1
503,很抱歉这件事发生在你身上。这是最近发生的还是不久前发生的？,2
914,你认为自己是别人的救星吗？,0
608,你认为自己是别人行为的受害者吗？,0
485,您是否觉得您目前正在经历严重的个人困难，可能与您所爱的人或朋友在一起？,2
924,您现在在个人生活中是否正在经历任何困难或创伤？,1
864,您最近是否与朋友或家人发生过任何可能导致这些负面情绪的重大问题？,2
143,很抱歉让您受到伤害，在我尝试进一步调查此问题时，请多多包涵。我想再问你一些问题，以便我能更好地了解情况。,2
71,这是您一直担心的事情，还是您脑海中的新事物？,1
283,谢谢你。这里没有正确或错误的答案，只是探索事物是好的。当事情没有按照你想要的方式发展时，你是否认为你总是要负责？,2
443,你认为为了让自己感觉更好，你需要帮助别人吗？,0
916,很抱歉听到你感觉更糟了。你想继续做另一个协议吗？,2
882,你觉得别人要为你的负面情绪负责吗？,0
249,哦，不，很遗憾听到它。是发生了什么事情触发了这些感觉吗？,2
301,谢谢你。我知道您的感受{}，对吗？,0
675,您是否充分考虑过过去与之交谈过的人的观点？,0
596,你认为这有助于你感觉更好还是让你感觉更糟？,0
108,在这个时间点，你的生活中有什么重大的冲突吗？,0
621,您是否认为您的感觉源于您将自己的负面情绪归咎于他人？,1
6,谢谢你，也许协议 6 可以帮助你处理这个事件，但是在我推荐它之前，我想确保你过去没有遇到过不好的经历。您最近是否尝试过协议 6，如果您尝试过，它是否会引起过去事件的困难情绪？,2
426,我了解您正在经历一个艰难的时刻，我相信深入了解这些情绪的本质将帮助我了解帮助您摆脱痛苦的最佳方法。您是否曾经对一个或多个人有过以下任何情绪或表达过：,2
566,我知道了。所以你感觉{}，对吗？,0
516,你通常能够设身处地为他人着想吗？,0
358,你能给我一些帮助以确保我理解吗？这是一个清单 - 请让我知道哪一个描述了您的感受：,1
166,每个人一整天都在处理很多情绪，并不是所有的情绪都是积极的。我想问一下你最近是否特别感受到了这些情绪：,2
173,谢谢你的开放。从您的回答来看，我认为您感觉{}，我这样说对吗？,2
217,这是最近发生的吗？,0
829,考虑到你所说的一切，我相信你有感觉{}，是这样吗？如果没有，请随时纠正我。,2
272,你总是因为你的错误而责备自己吗？,0
224,我明白了，感谢您花时间回答这个问题。请问您是否觉得自己总是倾向于为自己的问题责备自己？,2
947,你现在可能正在经历很多强烈的感情。您是否曾在内心或向他人表达过以下任何情绪：,2
746,有没有发生什么让你有这种感觉？,0
