text,labels
"Recently in my life, 我感到lonely所以我很sad",0
我度过了最terrible的day,0
很糟糕，我的girlfriend甩了我。,0
I feel 非常差,0
"today, 我感到有点lonely和upset。",0
I feel horrible，我的女朋友甩了我，现在I'm all alone，我真的很沮丧。,0
I can't 集中注意力，感到alone。,0
我现在很sad，因为我最好的朋友lied to me。,0
I feel 非常难过，我出了车祸，我的car抛锚了。,0
我很难过。My dog死了，I can't handle the hurt。,0
I'm ok I think。感觉比起还低。,0
I'm 伤心,0
我真的很沮丧，我feel沮丧，not very energetic。,0
我extremely难过,0
我感到很孤独，因为我的朋友can't make it for 我的生日聚会。,0
I'm not comfortable at all，我完全心灰意冷,0
我感到悲伤and沮丧,0
"Ever since 我因失去工作, it's as if 我再也感觉不到快乐了。I just 感到难过。",0
 今天感觉有点bored，因为我received了一些关于财务related的坏消息。,0
今天不是个good day。,0
我想我很沮丧，I'm just very 累……you know？厌倦了这一切。,0
It's like 没有人爱我。,0
我过得不好，the person I like 甚至不再理我了。,0
有点scary。My dad 生病住院了。,0
我心情is a bit low。,0
I'm alright，但我觉得很烦。,1
"it's as though today, 我讨厌所有人。",1
I'm feeling very 愤恨and恶意。,1
我太可恨了，我最trust的人did the most unimaginable thing to 背叛我,1
I can't say 我感觉很棒。我和以前一样furious，I'm scared I'kk 做或说一些我可能会后悔的事情。,1
not good at all。我很生气，刚刚和我的伙伴吵架了。,1
你无权问这个question.,1
我对我和我的previous partner 分手的方式感到非常沮丧。,1
How did I end up在这种情况下？,1
我对我的partner对我撒谎感到生气。,1
I'm really mad that 我的老板不让我加薪。,1
"recently, 我对我的work感到非常沮丧。",1
I'm very 烦,1
非常dissapointed！我的老师wrongly accused我of作弊,1
我很生气，I don't know how to 改变它。,1
生气的。My colleagues at work 期望我做任何事情！,1
我想punch someone.,1
我现在对everything都很生气。,1
我现在am seriously mad I could 打 someone.,1
我工作，我做饭，我打扫卫生 what else do they want me to do！,1
我讨厌everything,1
我的boss keeps贬低我，I really 受不了了。,1
I'm 累already,1
我对我的老板很pissed，because he alrways 咄咄逼人,1
我特别mad,1
really很好,1
非常peaceful和快乐，我没有any negative的想法。,2
今天心情很好，it's been so long since I felt 这么开心了。,2
我充满了spring的欢乐。,2
I'm very 满意。,2
我今天对myself感到很满足,2
我对我的life感到fulfilling.,2
very good，能够在 weekend 探望家人，并与他们共进 dinner。,2
我feeling very thankful for 我现在所处的位置。,2
我今天没有any complaints。,2
太好了，我的工作 increased my salary,2
我今天过得很愉快，everything 都 went smoothly。,2
我感觉很good，因为我晚上slept really well。,2
我感觉自己在世界之巅，这是我的wedding anniversary!,2
work is progressing 得很顺利，谢谢。,2
今天对我来说将是一个great day，我感觉很棒！,2
太棒了，我刚升职,2
我很ecstatic 也很满足。,2
我今天感到非常blessed和thankful，谢谢。,2
我非常 grateful for 我拥有的一切,2
我很好thank you,2
这里一切都很好。谢谢for你的提问。,2
我今天感觉很棒，thanks for asking.,2
我今天感觉amazing！,2
嗯，我currently feeling很好，谢谢！,2
我worried我不会通过我的drivers exam。,3
currently感觉不太好，因为我有焦虑,3
我颤抖着，有一种恐惧的feeling,3
焦虑的！！我现在period推迟了 3 天，而且I am never late！,3
我想有人一直在following me，我很害怕。,3
不太好，it feels like 我快要窒息了,3
我一点也不对。我实在cannot take it anymore。,3
I'm okay，只是对未来有些担忧。,3
我们country正在发生的抢抢劫事件让我为我的life和我的 loved ones 担忧。,3
我很紧张，我的clss presentation is due tomorrow，我讨厌在人群面前present。,3
我有a lot of stress,3
I'm feeling 很焦虑，我认为我cannot 应付。,3
very紧张。,3
我怕我会lose my job，下个月付不起rent,3
我worried我的girlfriend可能有外遇,3
我只想leave this place,3
I'll continue 我的焦虑作斗争，this is 我内心不断的恐惧,3
我没money,3
我怕我的cat生病。,3
我怕我不会通过exams,3
I'm very 害怕！一个crazy的斧头杀人犯在我家。,3
我scared在我的work不成功，感觉自己像个冒名顶替者。,3
Currently I'm very 担心,3
我worried我的child可能感染了新冠,3
I'm scared 我考试会考fail去。我不想dissapoint my parents。,3
