,text,labels
0,I am not sure that I have studied enough for the exam.,3
1,"I am feeling pretty anxious, I'm waiting to hear back about that work project",3
2,I am overwhelmed by grief,0
3,I am worried that I will run out of money before payday.,3
4,"I'm good, ready for the day.",2
5,I am not as happy as I want to be.,0
6,I am so mad at my boss for writing me up.,1
7,I'm definitely content because I slept really well last night.,2
8,"I'm very angry, people in my work group exclude me for nothing",1
9,I'm feeling anxious today.,3
10,"I am feeling happy today, I just got a promotion and increase at work.",2
11,I'm feeling great!,2
12,Life is great!,2
13,I am terrified that something bad might happen to my loved ones,3
14,I'm furious. Nothing is going right!,1
15,"I'm really angry at my neighbor, who picked another fight with me this morning for no reason at all.",1
16,"Yeah, I'm sweet",2
17,Terrible. My mother in law won't stop overstepping boundaries.,1
18,I have had better days,1
19,Never better,2
20,Not good,0
21,I failed another class and I'm so mad at myself for it.,1
22,I am pissed off because my best friend did not show up at my birthday party.,1
23,I am annoyed with my son as he did not eat his lunch today,1
24,Excellent thanks for asking,2
25,"My heart feels like it is pounding out of my chest, I feel so anxious today",3
26,So awful. I had a really scary dream and it's made me feel so anxious.,3
27,I am feeling uncertain and fearful.,3
28,I am very afraid I might not pass my exams well,3
29,I'm scared. I don't know what will happen if I fail this exam.,3
30,"I'm actually not feeling to good, my mind is fuzzy, I feel anxious and my gut tells me something is wrong.",3
31,I hate everyone today.,1
32,My mental health is not at all good today,3
33,"Horrible, my deadbeat dad beat me as usual",1
34,I don't think anyone loves me.,0
35,I'm feeling very short tempered,1
36,"I'm not ok, im afraid of the opposition",3
37,I feel really upset about how I have been treated.,1
38,Anxious!! I am 3 days late on my period now and I am NEVER late!,3
39,Down in the dumps. My husband has gone back to the office to work and I'm alone.,0
40,I feel great.,2
41,I'm very  irritated,1
42,Not feeling well. My mom was in hospital last night.,0
43,"i am really angry, i saw my husband cheating on me",1
44,Not so good. My sisters have places to go and things to do. I feel left behind.,0
45,I am so pissed off at my boyfriend for not telling me the truth.,1
46,I didn't feel like eating breakfast because I was so sad.,0
47,I'm good thanks,2
48,Feeling awesome,2
49,I'm mad. I'm sick and tired of my wife.,1
50,Today I just happen to be the happiest person alive. You know why? Simply because I have made it to see yet another day.,2
51,The sun is out and I have a feeling this is going to be a great day!,2
52,I am totally irritated about the actions of my friend,1
53,"I'm feeling anxious today, I have my driving test.",3
54,I am way pissed off today.,1
55,Pretty good,2
56,I am angry at myself because I can't lose weight and have no self control,1
57,"Everyone is against me - my boss, my husband and my kids.",1
58,I am worried about my current work situation,3
59,I am worried that my work will not be to a sufficiently high standard,3
60,I am feeling angry. I lost my money,1
61,I feel worried today because I might lose my job.,3
62,I'm anxious about the questions that'll be set for exams,3
63,I am happy today because am on holiday tomorrow.,2
64,"Fantastic, really fantastic",2
65,I wish I could be happy.,0
66,I feel a bit stressed as I have to give a speech in front of the whole school.,3
67,"Not good, I'm feeling lonely",0
68,I'm in such a good mood.,2
69,I am feeling very nauseous today,0
70,"I am not feeling great, I have been working too hard lately with little time for self care.",3
71,Not bad. Feeling happy today.,2
72,"I'm so sad every day, I've just been miserable since the accident.",0
73,"I really don't feel great, I have a feeling of dread in the pit of my stomach.",3
74,I am fine.,2
75,I am so upset.,0
76,I'm feeling great at the moment.,2
77,I'm rather anxious about what will happen,3
78,I feel quite uneasy,3
79,I feel kind of empty. I have nothing going on in my life.,0
80,"I'm feeling really down, depressed, I can't find a job anywhere.",0
81,"I'm miserable, I haven't been able to bring myself to do anything in weeks.",0
82,I am feeling great because I had a great nights sleep.,2
83,I am angry and I don't know how to change it.,1
84,I am not feeling too well. There is just too much happening in my life.,3
85,I feel really nervous today.,3
86,"Not good, I got in a fight with my mom.",0
87,amazeballs,2
88,right now extremely tensed for my life after the robbery attack,3
89,Not great. I am worried for my safety.,3
90,I suffered a loss due to the pandemic,0
91,I am fantastic.,2
92,I think I am coming down with something.,0
93,Not good. My dog had to be put to sleep today.,0
94,I am not feeling good today.,0
95,"To be honest, I'm feeling really worried about things.",3
96,Today I am feeling a little afraid that I will not have good grades in the exam results expected later today.,3
97,I'm feeling excited to see my family today.,2
98,I am feeling a bit down,0
99,Very disappointed! my teacher wrongfully accused me of cheating,1
100,Great! Managed to get all of my tasks checked off my list today.,2
101,Feeling really down today. Got into an argument with my brother.,0
102,Great,2
103,I just feel like smashing something. My boss has been very difficult lately.,1
104,Today is a good day,2
105,"very calm and happy, i do not hold any negative thoughts.",2
106,"I am really down, I feel depressed and devoid of motivation.",0
107,"Honestly, I feel quite anxious today.",3
108,Anxious about what my test result will be,3
109,"I'm feeling crap, I just got some really irritating news",1
110,"I'm very sad today. I've been thinking about my mother, who recently passed away. It's been difficult.",0
111,"Not great, honestly. I just can't seem to have any positive feelings lately.",0
112,I'm feeling great thanks,2
113,Kind of terrible. My dad is sick and in hospital.,0
114,I am feeling apprehensive.,3
115,I feel disappointed. I got betrayed by a friend.,0
116,I would like to bring back to life my friend who killed himself to kill him,1
117,I'm feeling really down.,0
118,I am feeling content as my football team won the world cup,2
119,Annoyed and angry. Nobody around me is listening to me.,1
120,I'm very angry,1
121,I am not feeling so great.,0
122,Today my mood is really low,0
123,"Frustrated, IÃm angry and I donÃt know why.",1
124,I am so pissed off because my dog tore my favourite couch apart while I was out working.,1
125,I'm not feeling my best today. I'm quite anxious and not sure why.,3
126,"Can't complain, things are going pretty good.",2
127,I've been better.,0
128,"I thought that I was getting better, but I have been really mad about things again",1
129,I'm livid that I've been totally dumped by my ex and ghosted.,1
130,I feel like I want to hit someone.,1
131,"Not so good, because the bank messed up my checking account.",1
132,"Not good, I had a stressful day at work.",0
133,I am afraid my girlfriend is going to leave me,3
134,"I am fine thanks, God is good and life is great",2
135,I'm afraid that I won't remember anything I've studied,3
136,I'm not feeling too good. My boyfriend broke up with me yesterday.,0
137,Much better. There is a lot to be grateful for right now.,2
138,Kind of nervous; I feel like my boss is unhappy with me.,3
139,I do feel a little anxious as I am about to do something I have never done before.,3
140,I am hurt right now because my best friend lied to me.,0
141,I'm angry and feel like nobody respects me.,1
142,My parents fought with me so i am angry,1
143,"Excited to be honest, it'll be the first time in 15 months I've seen my dad.",2
144,"Not good, I had a very bad day today.",1
145,I can't take it anymore.,1
146,Why are you asking me that?,3
147,I am not feeling very confident about today and have a feeling that something bad will happen.,3
148,I'm doing well,2
149,"Actually, I am mad about how much it will cost to buy heating oil this winter.",1
150,"I am feeling over the moon today, nothing can bring me down.",2
151,"Things are going really well, thanks.",2
152,nervous,3
153,"I wish I was feeling happier, but it's been a rough few days.",0
154,I am feeling on edge today and not comfortable in my skin.,3
155,I couldn't be happier,2
156,"I have been better, I am worried because I heard a loud ""pop"" when I got up this morning and now my back is sore.",3
157,"i am not ok, i got really angry when a stranger hit my car",1
158,I am mad at my boss for embarassing me in front of my coworkers.,1
159,I am delighted.,2
160,I feel satisfied with my life,2
161,Pretty depressed. I was fired recently,0
162,I feel very angry because my sister hurt me a lot.,1
163,I am really sad because me and my brother got into a fight.,0
164,I don't feel too good,0
165,"I am so mad, I have just discovered that my husband is cheating on me with a coworker.",1
166,"So sick of being treated badly, I've never been so angry!",1
167,"I am feeling somewhat afraid, as all the rioting in the city makes me anxious that something will happen to me, or I won't be able to get food and essential items.",3
168,"Pretty good thanks, how about yourself?",2
169,Terrible! my roommate stole my necklace!,1
170,Like there's a black cloud hanging over me.,0
171,I feel a little sad. I am worried about losing my job.,0
172,How could I be in such a situation?,1
173,I think my girlfriend has been lying to me and it's making me anxious,3
174,Things could be better. I have been feeling sad and lethargic lately due to stress I think.,0
175,I have just had a panic attack and I feel awful,3
176,"I am angry at my boss, she's always so demanding and does not think about people's mental health at all",1
177,"I'm feeling good, happy in my skin",2
178,Feeling a little blue.,0
179,I am ecstatic today.,2
180,I'm not feeling so great. I lost my favorite toy and I can't find it,0
181,"Great, I have just gotten a pay-rise at my job",2
182,"i am not good, i feel really sad",0
183,I'm devastated. I can't stop crying. My dog was hit by a car today and died.,0
184,"Tremendous, I've just been promoted at work",2
185,I've got a bad case of the blues.,0
186,I am totally feeling very bad,0
187,I'm scared of going back home,3
188,Im sooo mad right now I'd punch someone,1
189,I'm feeling super!,2
190,I'm so pissed off right now and I don't know why.,1
191,"So so, nothing really seems to make me happy at the moment.",0
192,I am really happy today.,2
193,"I can't believe she cheated on me, I'm so hurt and mad right now.",1
194,I am angry with my  brother.,1
195,"I am feeling bummed, I was supposed to see my dad today but he had to reschedule, I miss him a lot.",0
196,Im supposed to be going out with friends but I feel too nervous. I dont like being in big groups of people,3
197,Today is going to be awesome,2
198,"I'm feeling good, only 30 minutes left and then I log off work for two whole weeks.",2
199,"I feel very sad, I had an accident and my car broke down.",0
200,Today's a good day for me.,2
201,I am feeling lonely,0
202,I'm mad because I can't find my debit card.,1
203,I'm feeling great.,2
204,I feel amazing today,2
205,"Bummed out I guess, I'm just tired...you know?  Tired of it all.",0
206,"i am not ok, thinking about my children i got very angry",1
207,I am scared. I cannot find my son.,3
208,I'm down. I failed my test.,0
209,"Good, life is going well lately and I'm feeling quiet content",2
210,"I am doing great, just got my long awaited promotion",2
211,I hate my day so far.,1
212,I'm feeling really upset and kind of hopeless. I think I'm depressed.,0
213,I feel overjoyed,2
214,I feel happy right now,2
215,I'm feeling good today.,2
216,"I'm really anxious, I think I failed a test",0
217,Amazing thank you for asking!,2
218,I am furious right now because I failed my test,1
219,I'm feeling so happy today.,2
220,I am feeling nervous.,3
221,I am feeling stressed.,3
222,I am feeling low and sad,0
223,I'm not coping so well today,3
224,I feel like crap,0
225,"Having just read the news this morning, I'm devastated.",0
226,I'm really scared as I have a dental appointment later.,3
227,I don't have much energy to do anything.,0
228,"I'm really pissed, they made fun of me at school but I couldn't do anything about it",1
229,"I am feeling rubbish today, my anxiety is trough the roof.",3
230,I've been feeling down lately and can't get out of this funk.,0
231,I'm furious.,1
232,I am really angry,1
233,Excited,2
234,"I am feeling very content today, thank you!",2
235,I'm feeling very sad.  I lost a loved one last night.,0
236,I'm really wound-up today.,3
237,"Yep, doing ok thank you.",2
238,"I'm livid, my landlord just gave me some terrible news.",1
239,Awful. My Mom scolded me about being messy when I have been trying to clean up after myself.,0
240,"Ok, but I feel irritated.",1
241,joyful,2
242,I have been feeling quite low the last few days.,0
243,I have a bad feeling about today.,3
244,I fell out with my friend yesterday,0
245,I feel angry right now.,1
246,"Not great, feeling a bit on edge honestly",3
247,"I'm not doing to well, my anxiety is kicking my butt.",3
248,I am feeling great.,2
249,I'm feeling rather sad at the moment,0
250,"I'm fine, everything is good for the most part.",2
251,I feel good,2
252,Terrible! I am furious because my neighbor called my child a bad name because she was mad at him for going into her yard. I think she is a ridiculous person!,1
253,"Terrible. I'm angry at my brother, who I believe is trying to turn the rest of my family against me.",1
254,I'm feeling on top of the world.,2
255,A classmate took my project suggestion as her own.,1
256,"I'm scared, my abusive ex has tried contacting me again.",3
257,"I'm really unhappy, my puppy ran away yesterday and I can't find him anywhere.",0
258,That is not your business,1
259,I am feeling alive and blessed.,2
260,I am not okay. I just don't feel like getting up today.,0
261, Feeling kind of blah today as I got some bad news about some financial issues.,0
262,"i feel very irritated, i got in a bar fight and got banned from there",1
263,Hopeful,2
264,I'm feeling jittery.,3
265,I lost a close friend today and feel really sad and lonely.,0
266,Woke up today not feeling myself and it scares me. Whenever I feel this way something bad always happens.,3
267,I am feeeling very anxious today.,3
268,I am not feeling great at this time I am so sad,0
269,"Obviously I'm not good, I really hurt myself earlier",1
270,"I don't know, why are you asking me? Who asked you to ask me?",3
271,"I'm okay, just a bit anxious. I just want this day to end.",3
272,"I'm very mad. My boss chewed me out, and my friend keeps asking me for favors I can't help him with.",1
273,"I feel awful, I think I lost a friend today.",0
274,Sad,0
275,I'm down in the dumps. Everything that could go wrong has gone wrong. Kill me now.,0
276,"Not so great, down, bummed out.",0
277,Doing well thank you,2
278,I'm really pissed at my ex.,1
279,I feel uneasy today,3
280,I've been better. Feeling kind of miserable.,0
281,I have lost a loved one and I haven't really felt happy since.,0
282,I am depressed,0
283,"Okay, I guess.",0
284,I'm really pissed off today.,1
285,My heart is racing and I feel jittery.,3
286,I am feeling relaxed and at ease today,2
287,Today is one of those days where I would love to be a nail hammered into a wall. And just stand there,0
288,"Great, I'm having a terrific day!",2
289,Not so good; I am missing a birthday party because I am ill.,0
290,I wish I felt like this every day,2
291,"Excellent, it's my birthday",2
292,"Not great, things are really disturbing me at the moment.",3
293,I'm feeling very angry today,1
294,"Not great to be honest, I've just had a panic attack",3
295,"not great today, anxious",3
296,"Absolutely, I feel energised after that work out",2
297,I'm a bit mad,1
298,I feel I might have a serious illness but don't want to see the doctor,3
299,Everything is wonderful thank you,2
300,I have had a few crying spells today.,0
301,My father is always calling me stupid and lazy.,1
302,I'm pissed,1
303,I feel depressed and not like myself.,0
304,I am quite angry at the moment.,1
305,I'm feeling nervous about my job interview,3
306,Been a bit down in the dumps since I lost my job last year,0
307,I am pretty pissed off to be honest.,1
308,I am worried as my boyfriend is ignoring my messages,3
309,I just feel angry all the time. I think I deserve better than this to be honest.,1
310,"Today, I'm anxious and afraid.",3
311,"I am feeling stressed out today to be honest, I am worried I won't do well on the interview and then I'm back at square one.",3
312,"I'm mad as a hornet, I want to punch someone.",1
313,"If someone else tries to cut me off in traffic, I'm going to explode!",1
314,Not good at all. I'm really doubting myself lately.,0
315,I'm feeling a bit stresse out.,3
316,"Not feeling good, I am really struggling.",0
317,I am mad at my partner for lying to me.,1
318,"I'm feeling awful, my best friend has been given some worrying health news!",3
319,Today is just one of those days that I am not looking forward to.,3
320,I have missed my assignment deadline so I am feeling very anxious.,3
321,I have been feeling anxious and scared about leaving my house lately. This prolonged isolation has not been good for me,3
322,I feel like shit.,0
323,I am content in my life,2
324,I'm worried about my career,3
325,I started thinking about when my partner left me and I got very angry,1
326,I am worried about my job,3
327,"Not good, my dog died.",0
328,I feel sad. My heart is broken.,0
329,I'm not feeling like my usual happy self.,0
330,I'm not at all fine.,1
331,On top of the world!,2
332,"I'm always getting kicked down, I'm really mad!",1
333,All is good. I have had a lovely day walking in the mountains.,2
334,I am not good because I am so angry that my husband purchased an expensive vehicle and never talked to me about it first. He has made me so upset.,1
335,Not very well,0
336,"I have never felt so angry before, I just got falsely accused of stealing.",1
337,"I'm not having a good day, can you help me? Please, help me, will you help me?",3
338,I'm really sad because my dog ran away,0
339,I'm not feeling good. I'm stressing out about my upcoming exams.,3
340,I am pretty angry,1
341,I'm angry,1
342,I am fucking pissed.,1
343,I'm feeling happy horses have won,2
344,"I'm feeling great, thanks.",2
345,My friend's behaviour makes me angry.,1
346,I am pissed,1
347,I am so angry for something that happened today.,1
348,I am annoyed by the way my partner behaves.,1
349,"Awful, I lost someone close to me yesterday.",0
350,I feel lonely in my life so I am very sad,0
351,"I am not doing great, I just can't face the day.",3
352,Feeling positive today,2
353,Not too good. I feel like quitting my job.,1
354,"Actually, I am mad about having to work overtime all this week.",1
355,I'm feeling good today because I managed to finish all my work,2
356,I'm feeling very bad,1
357,"I am not feeling relaxed today, quite jittery.",3
358,I'm feeling pretty tense right now.,3
359,Like I need to chill,1
360,"I've had better days, I'm not feeling good and am anxious about things at the moment.",3
361,Absolutely brilliant!,2
362,"I feel awful, my girlfriend dumped me, now I have no one, I am truly feeling down.",0
363,I'm feeling depressed,0
364,I hate my girl,1
365,I'm afraid that my child may be sick,3
366,I don't know what I'm feeling,0
367,I'm really mad at my husband for arguing with me.,1
368,I'm feeling really content in myself today,2
369,"I just don't want to go on anymore, everything seems so hopeless.",0
370,"I am scared of death, sometimes I just lie awake at night thinking of the absurdity of life",3
371,Things are going my way these days.,2
372,"I'm feeling really on edge today, i just can't seem to shake this feeling of dread",3
373,"Feeling great today, slept well!",2
374,I am so happy right now.,2
375,"I'm pretty ok, just a bit anxious.",3
376,I am feeling amazing!,2
377,"Im ready to go, I can't wait to start the day!",2
378,Just miserable today.,0
379,Fantastic. It's a good day so far!,2
380,"I'm so happy today, everything is going well",2
381,"Not good, I think nothing is going to change.",0
382,I feel very worried about our future,3
383,It's a very bad day.,1
384,I am feeling contented and pleased today,2
385,"I feel super down today, nothing seems to make sense anymore",0
386,I'm kind of pissed off because James did not do his part of the assignment.,1
387,I'm feeling very anxious.,3
388,I'm very disappointed.,1
389,Not feeling great at the moment as I have anxiety,3
390,All good,2
391,Very well thank you,2
392,I am feeling down,0
393,Terrible. Car wouldnt start and it is really putting me down.,0
394,I feel so angry about the situation in my hometown.,1
395,Something good has happened,2
396,"I'm actually feeling pretty worried about that result, I'm afraid to ask any more questions",3
397,I am feeling blue today as I have had an unpleasant review from one of my customers today,0
398,"I'm pissed at my parents, they're always trying to control me.",1
399,I'm afraid that something bad is going to happen to me.,3
400,I am feeling anxious about an upcoming doctor's appointment.,3
401,My anxiety is high today.,3
402,I feel fantastic,2
403,I'm not feeling so well.,0
404,I'm good!,2
405,I am feeling frightened today because I have to go to court.,3
406,Really happy with the way things are going at the moment,2
407,I feel great.,2
408,I can't stop crying.,0
409,Life is good.,2
410,Things are weighing me down.,3
411,I am angry because life is just so unfair,1
412,I am angry with my boss as he always shouts at me,1
413,I am flat out mad.,1
414,I am on top of the world!,2
415,I am feeling very blue today for some reason.,0
416,It's a very tense moment,1
417,"A lot of good things have happened today, so I'm particularly happy.",2
418,I feel very irritable.,1
419,I'm fed up. I don't think I can manage all my bills this month and I'm working non stop.,0
420,I am mad because I broke a plate and the pieces went all over the floor.,1
421,All good here. Thanks for asking.,2
