,text,labels
597,不是很好。我担心我的安全。,3
45,我很好，但我有一种奇怪的感觉，好像有什么可怕的事情要发生在我身上,3
418,我不好，我恐惧对手,3
247,我感觉不好，我分手了,0
1058,我今天过得很糟糕 我很担心我的考试,3
610,积极的,2
249,感觉从来没有这么好的,2
436,我感觉很好，我在我快乐的地方。,2
1109,我很高兴也很满足。,2
687,被惹毛了！交通是一场噩梦，有人把我拦住了，我差点撞上他们！,1
97,我感谢我拥有的一切,2
911,我一直看中东的新闻报道让我更加焦虑。,0
940,如果我尝试过，感觉不会更好,2
729,我怕我的狗做不了手术。,3
1027,很放松,2
196,我今天心情不好，就像有什么东西紧紧抓住我的心，挤压着它,3
893,我感到很生气，就像生活是不公平的，我对此很无助。,1
183,不能抱怨，事情进展得很顺利。,2
1124,今天，我欣喜若狂。我的结果是阴性的。,2
1145,我真的很生气。我不公平地失去了工作中的大晋升。,1
511,我最近情绪低落，无法摆脱这种恐惧。,0
764,我今天感到温暖和模糊。,2
783,我今天感到非常紧张和焦虑,3
1049,非常好,2
1087,这是非常糟糕的一天。,1
175,我想我会惊恐发作。,3
1136,我感觉很好,2
81,我心情不好，我最好的朋友不会跟我说话。,0
77,真的很好谢谢,2
311,我一点都不好。其实挺烦的。,1
1026,天哪，我今天不知为何感到很害怕。,3
677,我在世界之巅！,2
787,我感觉不太好。我妈妈昨天进了医院，我在等一个电话告诉我发生了什么。,3
717,我很不高兴,1
960,我感到非常焦虑。,3
1040,不是很好，只是整个星期都感到沮丧。,0
853,我很好！,2
303,很好，谢谢，你呢？,2
568,我还好，但我起晚了，不得不赶去上班。我希望我不会遇到麻烦。,3
863,我只想哭，因为我的狗死了很难受。,0
117,今天将是美好的一天，我能感觉到,2
349,太好了，我的工作刚刚加薪,2
402,我无法停止哭泣，因为我非常想念我的妈妈。,0
792,我想我很沮丧，我只是累了……你知道吗？厌倦了这一切。,0
920,我今天好难过。,0
2,我准备好了，我等不及要开始新的一天了！,2
500,我对接下来去看医生感到焦虑。,3
1180,我期待着和我的朋友出去吃饭。,2
182,我担心我们国家的疫情的发展方向以及政府最近做出的决定，并担心我会感染该病毒。,3
1073,我有点沮丧,0
661,有待改善。我的妻子和家人最近似乎很疏远,0
1088,我好像生病了，不太舒服。,0
695,我很难过,0
625,今天，我的心仿佛在狂奔。我感觉不太好，我想我只需要一个人待着。,3
985,我累了;一切都感觉像是一种努力。,0
363,我很生气。,1
239,生活很好。,2
110,我感到沮丧，因为我找不到放松的方法。,0
995,我今天感到害怕和不安。,3
342,很糟糕。我发现我父母要离婚了。,0
308,我今天不怎么好。,0
731,不太好。由于压力，我最近一直感到悲伤和昏昏欲睡。,0
1000,我感觉很糟糕，我想我今天失去了一个朋友。,0
549,我一点都不舒服，我完全心灰意冷,0
1113,我现在很生气，我不知道为什么。,1
200,不是很好。,0
366,又是美好的一天。,2
65,我很担心我男朋友不理我的消息,3
1133,我现在很生气。我的搭档欺骗了我，这让我很沮丧。,1
520,我今天很难过。,0
272,到目前为止，我讨厌我的一天。,1
1024,我很好。,2
165,好吧，但我觉得很烦。,1
614,我觉得有点难过。我担心失去工作。,0
815,我今天应付得不太好,3
478,我有点沮丧。我今天考试不及格。,0
772,我似乎今天讨厌所有人。,1
420,我今天过得很糟糕。,0
1059,我感到欣喜若狂,2
545,你问我这个干嘛？,3
744,还不错，事情进展顺利,2
188,我确实感到有点焦虑，因为我即将做一些我以前从未做过的事情。,3
855,我真的很沮丧，有点绝望。我想我很沮丧。,0
641,我需要休息一下社交媒体,1
773,我的焦虑感都无法衡量了。,3
601,不太好，我希望今天早点过去。,0
466,真的很好,2
316,我对这里的政治局势感到压力和焦虑。,3
214,老实说，我今天感到很焦虑。,3
646,今天，我既焦虑又害怕。,3
887,我的母亲刚刚去世，我无法停止哭泣。,0
762,我不知道我的感受,0
260,不太好，因为银行搞砸了我的支票账户。,1
19,我真的很沮丧。,0
642,我今天很生气。,1
30,我感觉棒极了，我刚刚减掉了一件衣服尺码,2
1142,我之前哭过,0
974,此刻焦虑和恐惧加剧了，谢谢你想我。,3
453,糟糕的！我很生气，因为我的邻居说我的孩子是坏名声，因为她因为他进入她的院子而生他的气。我觉得她是个可笑的人！,1
