,text,labels
0,I'm so worried about my exam that I had a bad day.,3
1,I am stressed out about my exams.,3
2,I am delighted to say that all is going well.,2
3,I just passed my exam and I am feeling great.,2
4,I am upset and depressed.,0
5,My mood is low.,0
7,I was supposed to see my dad today but he had to change his mind.,0
8,I don't feel like I have anything going on.,0
9,"I lost $100 on a bet with my friend, my team was disqualified, and I'm really angry.",1
10,I don't know why I'm scared.,3
11,I'm very nervous about going to the dentist.,3
12,My mom scolded me for being messy when I was trying to clean up.,0
13,It's a great day so far.,2
14,"Thank you, and you?",2
15,I think my girlfriend has been lying to me.,3
16,"I'm really sad, my puppy ran away yesterday and I can't find him.",0
17,"Thank you, great thanks.",2
18,I did something that made me cringe yesterday.,3
19,I am frustrated.,1
20,I'm angry.,1
21,I am being discriminated against.,1
22,I am angry with my co-workers.,1
23,I am nervous about my exam.,3
24,I am not sure.,3
25,I am at ease today.,2
26,My heart is racing and I am jittery.,3
27,I'm afraid of getting Covid-19 because I'm not in great health.,3
28,I'm really depressed.,0
29,"I am fine, God is good and life is great.",2
30,I'm worried at the moment.,3
31,I am not sure if I will get my work done on time.,3
32,"I'm annoyed, I think I'm on top of things.",1
33,I am not happy with my partner's behavior.,1
34,I am angry and annoyed.,1
35,I feel like I have been treated badly.,1
36,I saw my husband cheat on me.,1
37,I don't feel good.,0
38,I'm angry today.,1
39,"Good, got a good night's rest.",2
40,My best friend won't talk to me because I'm feeling unwell.,0
42,I am sad today.,0
43,I was rained on this morning.,0
44,I failed my test and I am angry.,1
45,I don't feel great and I'm worried because I don't know why.,3
46,I had a bad day today.,1
47,I lost a friend last night and I am sad today.,0
48,I'm afraid that my child may be sick.,3
49,I don't know what to do because she just won't talk to me anymore.,0
50,I am very worried about our future.,3
52,I am worried that my work will not be high quality.,3
53,I just had a panic attack and I feel terrible.,3
54,I am feeling great today.,2
55,It was just miserable today.,0
56,Everything is going wrong today.,1
57,I lost money and I am angry.,1
59,I feel frightened all the time.,3
60,I was just angry about everything.,1
61,I had a great day walking in the mountains.,2
62,I don't like my girl.,1
64,I want to punch someone.,1
65,I'm afraid of what will come.,3
66,I can't sleep or eat.,0
67,I am sad.,0
68,"I've had a good day, thanks a lot.",2
69,I'm not feeling well.,0
70,I think I need to be alone because my heart is racing.,3
71,"I'm afraid I messed up, if I'm honest.",3
72,I'm doing well and I'm in a good mood.,2
73,I feel like nothing is going right in my life.,0
74,I was put on my heels as to what my future holds in this company because of the meeting that I had today.,3
75,I got into a fight with my mom.,0
77,My dog was put to sleep.,0
78,I am not sure if I am feeling good.,3
79,I am not sure what I want to do in the future.,3
80,Thank you for your kind words.,2
81,I am feeling a bit down.,0
82,I found out that my parents are divorcing.,0
83,I'm worried about the questions that will be used for exams.,3
84,I had a disagreement with my sister.,0
86,It's sunny.,2
87,I got into an argument with my brother.,0
88,I have to go for Covid testing as I am experiencing symptoms and I am afraid I might be positive.,3
89,I found out that my grandmother is not going to live long.,0
90,I was unfairly denied a promotion at work.,1
91,I'm not good at anything.,1
92,"I'm angry, I was fired from my job.",1
93,"I left the house angry after a fight with my parents, I feel like they're to blame.",1
94,My child is sick.,3
95,I'm a little worried and stressed out.,3
96,I feel the way I do because they are to blame.,1
97,I am happy.,2
98,I'm not able to stay focused and lonely.,0
99,I punched my ex's car window.,1
100,I can't face the day because I am not doing well.,3
101,I don't have a boyfriend or friends.,0
102,My husband lost his job.,0
103,I don't know why I am not okay.,1
104,I am doing great.,2
105,I feel sad and alone today.,0
106,I feel prepared to fight.,1
109,I was fired recently.,0
110,It was pretty good.,2
111,I am not happy with my day so far.,1
112,I lost a friend last night.,0
113,"My boss, my husband and my kids are against me.",1
114,I am very discouraged.,0
115,"I've been through a rough few days, but I wish I was feeling better.",0
116,I need to resolve some family issues.,3
117,I lost my job last year and have been down in the dumps ever since.,0
118,I am very happy today.,2
119,I have lost my grandpa recently.,0
120,I'm very nervous and I'm beside myself.,3
121,I'm not sure if I've been better or worse.,3
122,It is a wonderful day to be alive.,2
123,I am sad because I am not feeling great.,0
124,I'm angry at everything.,1
125,"The traffic was terrible, I almost crashed into them.",1
126,I can't stand my life and my partner can't either.,1
128,"I feel like there is no light at the end of the tunnel, I'm in arrears with my mortgage, I am stressed today, I feel like there is no light at the end of the tunnel.",3
129,I am not doing well.,1
130,I'm sad because my dog ran away.,0
131,I am so sad that my dog died after being hit by a car.,0
132,I'm so angry and hurt that she cheated on me.,1
133,I feel like I'm on top of the world.,2
134,I fell out with my friend yesterday.,0
135,I'm feeling down.,0
136,I'm not sure if I'm feeling good or bad.,3
137,My mother in law is not going to stop.,1
138,I am so angry that my friend was flirting with my boyfriend and I don't know how to handle it.,1
139,I'm angry because people in my work group exclude me.,1
140,I'm worried about my career.,3
141,I am worried that my child may have contracted a disease.,3
142,I feel great today.,2
143,I can't find a job and I'm feeling depressed.,0
144,I can't control myself.,1
145,I just got some really bad news.,1
146,I hurt myself earlier and I'm not good.,1
147,I'm really happy.,2
148,"I found my lost hat, good!",2
149,Everything is good for me.,2
150,I am angry with my coworkers.,1
151,I hate everyone.,1
152,I'm not going to change my mind as the school year is coming to an end.,0
153,I might lose my job.,3
154,I'm feeling lonely.,0
155,I am not doing well and the person I love talking to won't even acknowledge me anymore.,0
156,I feel very afraid of the world.,3
157,Why do you ask that?,3
158,I dropped a dress size and am feeling great.,2
159,"I feel terrible, nothing seems to have meaning since my dad died.",0
160,Thank you for everything.,2
161,I feel good.,2
162,I feel bad because of my health condition.,0
163,I'm very nervous.,3
164,I can feel that today will be a good day.,2
165,I am afraid that my child is sick.,3
166,I'm worried because my business has declined.,3
167,My friend is being annoying.,1
168,The new house looks great.,2
169,I am not sure what to think.,3
170,Really bad.,0
171,"Thank you, I'm feeling great.",2
172,I'm all caught up at work.,2
173,My football team won today and that makes me happy.,2
174,"Everything is going well today, I'm so happy.",2
175,I'm afraid of losing my job.,3
176,I'm not sure if it's because I'm not sure if something bad is going to happen or if I'm just thinking about it.,3
178,I think I failed a test.,0
180,I'm angry because my partner cheated on me.,1
181,I feel like everything is not possible.,0
182,"Today has been difficult with a little anxiousness creeping in, it grows into fear.",3
183,"I'm so mean, the person I trusted the most betrayed me in a way I couldn't even imagine.",1
184,I feel stressed and my head is spinning.,3
185,I am angry at my friend.,1
186,My health has deteriorated due to covid-19.,3
187,I am happy that my boss chose me for that promotion.,2
188,I want to cry.,0
189,I feel angry all the time.,1
190,Great.,2
191,I feel angry.,1
192,I feel positive today.,2
193,I think I have something.,0
194,Thank you for making me feel very blessed and grateful.,2
195,"I'm ok, but I feel like we might lose the game.",3
196,I was angry because my wife left me.,1
197,I am afraid today.,3
198,Sad.,0
199,I went out with my friends.,2
200,My grandpa is in the hospital.,0
201,I'm really angry today.,1
203,I feel like I'm working.,0
204,I have too much work to do.,1
205,Things are going well.,2
206,My girlfriend dumped me.,0
208,I would like to bring my friend back to life.,1
209,I am not ready to talk to someone.,1
210,"I am feeling great, thanks for asking!",2
211,I'm sad at the moment.,0
212,I'm not happy with my job.,1
213,I am angry because my parents fought with me.,1
214,I have a bad case of the blues.,0
215,I hate career politicians and am mad at the situation here.,1
216,I got angry thinking about my children.,1
217,Not good.,0
219,I am worried I wont pass the test.,3
220,I am angry with my brother.,1
221,I am angry because my neighbor called my child a bad name because she was angry that he went into her yard.,1
222,Not bad.,2
224,It was kind of heavy today.,0
226,I slept well last night and am feeling good.,2
227,Do you know anything about this?,1
228,I walked out on my job.,1
229,My boss doesn't respect my time at all.,1
230,I am feeling good.,2
231,I was fired for no reason.,1
232,I've got a lot on my mind and it's making me anxious.,3
233,I feel sad.,0
235,I'm feeling a bit stressed out.,3
236,I'm amazing.,2
237,I don't have energy today.,0
238,Things are going in my direction.,2
239,I am feeling anxious and have a hard time keeping up with my to-do list.,3
240,I forgot to pay my credit card and I am stressed.,3
242,I am tired.,1
243,I am not feeling well today and I am waiting for my results to freak me out.,3
244,I'm sad about my mother's death.,0
245,I feel like I could hurt someone.,1
246,I am really down.,0
247,I want to shout.,1
248,I am hurt because my friend lied to me.,0
249,I am happy today.,2
250,A volcano is about to erupt.,1
251,I'm happy that horses have won.,2
252,I'm upset that my friend said something to me.,1
253,I just got accused of stealing and I felt angry.,1
254,Anxious.,3
255,I have a deadline to meet and I am stressed.,3
256,"I'm nervous, I don't like speaking in front of crowds, and my class presentation is tomorrow.",3
257,I'm afraid to ask any more questions because I'm worried about that result.,3
258,I'm really angry all the time.,1
259,I feel angry because my sister hurt me.,1
260,I feel like I could cry all the time.,0
261,I'm happy and content today.,2
262,I am not good and I am missing a birthday party.,0
263,I'm angry because someone scratched up my car in the grocery store parking lot.,1
264,I don't like people I come in contact with.,1
265,I am happy that my football team won the world cup.,2
266,I broke up with my girlfriend today and I am not feeling well.,0
267,Theballs are amazing.,2
268,I am very happy that I got a promotion.,2
269,I am afraid.,3
270,Don't even start!,1
271,I just passed my exam and I am happy.,2
272,I don't want to see the doctor because I might have a serious illness.,3
273,"I'm happy, life is good.",2
274,I feel depressed and without motivation.,0
275,I failed another class and I'm angry at myself.,1
276,"I'm angry at my neighbor, who picked another fight with me this morning.",1
277,I have been feeling down lately.,0
278,I'm happy about spring.,2
280,I'm upset about the way my partner and I split.,1
281,People at work expect me to do everything.,1
282,I'm reading a good book.,2
283,I'm very grateful!,2
284,I just got promoted and am happy.,2
285,I am not sure and scared.,3
286,Hopeful.,2
287,I am angry at my boss for making me look bad.,1
288,I got angry when my partner left.,1
289,It's a beautiful day!,2
290,I am ready to start the day.,2
291,I am very worried that I am not prepared for the exam because I am a very good student.,3
