text,labels
到目前为止，我讨厌我的一天。,1
到目前，我喜欢我的一天。,1
我感觉很紧张。,3
我沮丧不怎么确定和怨恨。,3
请别打扰我,1
我担心我的女孩在该校,3
我担心我的孩子在学校,3
我觉得自己很糟糕。,0
我觉得自己很郁闷。,0
我对上周在工作中发生的事情感到很生气。,1
对在工作中的事情,1
我今天感到温暖和模糊。,2
我今天大感清爽和模糊。,2
今天竟然大相径庭。,0
今天简直惨不忍睹。,0
说实话有点和。焦虑我，心急,3
我焦虑和心急。,3
我几次有。今天哭泣,0
我今天有许多次喊叫。,0
失望，我太郁闷，我不怎么知道为什么。,1
沮丧很我，，。我不生气为什么知道,1
我很郁闷我考试不及格。,0
不及格我郁闷很考试我。,0
很着急。我仍在等待我昨天参加的那次面试的回音。我知道我做得很好，但我上次也这么认为，并没有得到这份工作。,3
很着急我等待我参加的那次面试回音。我知道我做得但我上次认为,3
感觉自己刚坑底：在工作了丢,0
担心我进城,3
我担心进城,3
现在无法回答，需要离开。,3
我感到因为我,3
我害怕失败,3
我害怕我会失败,3
是美好,2
生活是美好的！,2
我我会发薪日完钱。,3
我不好,1
我今天财务压力很大，我在等一些测试方法结果,3
我真的很沮丧，很沮丧，我在任何地方都找不到工作。,0
我任何很，我，找沮丧很在真的地方都沮丧不到工作。,0
感到有点害怕,3
我心存有点害怕,3
今天我家人，我兴奋。,2
"我感到很兴奋,今天能见到家人",2
我很担心我们的未来,3
我担心未来,3
很好,2
我很好,2
我太郁闷，因为我找寻不下持卡。,1
生气，因为借记卡。,1
非常好,2
非常听话,2
站感觉自己！在世界之巅我,2
我感觉自己站在世界之巅！,2
我怕我考试不及格。,3
我很紧张，的皮肤不舒服。,3
我今天味道太低落，对我的乳房绝不疼。,3
任务今天！的从我清单所有好核对设法的的我中将出来。,2
差劲的！今天设法将我所有的任务从我的条码中会比对出来。,2
的的人都是混蛋,1
我想用砸人因的脸庞。现在的人因甚至是傻瓜。,1
的团队了，我和朋友打赌了100，很生气这种是的错,1
我好，我的经验丰富被喊停了职业资格，我和同事赌平了100黄金价格，我呢极为不耐烦。我有这种感觉是上赛季的说谎。,1
我今天一直感到害怕。,3
我今天感到非常紧张和焦虑,3
我今天心存非常亢奋和恐惧,3
我很好，非常感谢，我度过了愉快的一天,2
的度过愉快，非常感谢我很好一天，我了,2
沮丧不合,0
我很沮丧。我和姐姐意见不合。,0
我大感焦虑,3
感到我焦虑,3
觉得成就,2
我说实话，觉得我今天取得了很多才智。,2
参加很我我我老板选择了的高兴升职,2
我相当高兴我的经纪人舍去了我参与破格,2
我真的很着急，我的肚子在打结，我怕我的驾驶考试不及格。,3
我或许没事，我的肚皮在细细的，我怕我的开车中考缺考。,3
一切虽然这么可怕，我惧怕我的婚姻生活,1
我感到很高兴，因为我进入了我梦想中的大学,2
我心存太高兴，因为我进入了我梦中其的学院,2
都。感觉焦虑今天一切，很很压倒性我,3
我今天很焦虑，一切都感觉很压倒性。,3
我真的很担心我的外表，有些日子我宁愿根本不出门,3
很的有些日子我根本出门,3
有点觉得。绝望我,0
我很焦虑，因为我需要解决一些家庭问题。,3
我极为迷茫，因为我需要逐步解决一些家庭问题。,3
我不好,1
我心情不好,1
我今天过得很糟糕我很担心我的考试,3
