text,labels
I am feeling a bit down,0
I don't feel that great today. My dog is unwell.,0
"Not very well, my dog died yesterday.",0
I'm feeling kind of down,0
Not so good as I have been watching the news coverage from the Middle East.,0
I'm feeling pretty blue about my breakup.,0
I'm feeling pretty down today.,0
Not that good. I'm feeling kind of lonely,0
I've been feeling down lately and can't get out of this funk.,0
Very upset. I lost a loved one earlier this week.,0
"I'm very sad today. I've been thinking about my mother, who recently passed away. It's been difficult.",0
"I'm really anxious, I think I failed a test",0
"Not feeling good, I am really struggling.",0
Things could be better. I have been feeling sad and lethargic lately due to stress I think.,0
I'm pretty down in the dumps today.,0
Not so great today,0
I feel down because it's rained for a week straight.,0
I'm just feeling really down.,0
I'm quite depressed. I can't find the motivation to get out of bed.,0
I'm feeling very sad.  I lost a loved one last night.,0
I am not doing too well.,0
I am not feeling so great.,0
Really bad,0
I feel bad.,0
Feeling very bad because of my health condition.,0
I feel terrible.,0
Feeling hum drum things did not go well at work today.,0
"Not good, I had a stressful day at work.",0
I feel really lost and sad. My partner and broke up.,0
"I'm really unhappy, my puppy ran away yesterday and I can't find him anywhere.",0
"Not so good, I was rained on this morning.",0
I have been better.,0
I feel terrible. I lost my dog.,0
I fee depressed and I didn't want to get out of bed this morning.,0
I am feeling a bit down today.,0
Not so good. My sisters have places to go and things to do. I feel left behind.,0
Pretty bad. I found out that my parents are getting a divorce.,0
Feeling really down today. Got into an argument with my brother.,0
Not very well,0
I'm not great.,0
"I feel awful, I think I lost a friend today.",0
I feel so down because my boyfriend broke up with me.,0
"Awful, I lost someone close to me yesterday.",0
I'm not feeling too good. My boyfriend broke up with me yesterday.,0
Really sad. I can't bring myself to do anything,0
I feel empty and hopeless. This pandemic has really taken a toll on me.,0
"Please leave me alone, I am miserable.",0
So sad today because of lockdown,0
I'm fed up. I don't think I can manage all my bills this month and I'm working non stop.,0
"I feel super down today, nothing seems to make sense anymore",0
I'm really sad and depressed.,0
Not that great. I found out that my grandmother doesn't have long to live.,0
I am feeling very nauseous today,0
"Not good, my dog died.",0
I am not so great today.,0
I cried before,0
I feel sad,0
I have had a few crying spells today.,0
"I'm fine, I guess.",0
I heard my grandpa has COVID and is in hospital.,0
"I am not feeling well, me and my girlfriend broke up today.",0
I feel like everything is hopeless.,0
Not good. My dog had to be put to sleep today.,0
Really kind of heavy today.,0
I am not feeling good today.,0
"I'm down, feeling there's no future for me",0
I am so upset.,0
I'm feeling bad,0
I am depressed,0
I've been better. I've definitely been in a bit of a funk lately.,0
Not so well. My dog died last night.,0
I've been better.,0
"i am not good, i feel really sad",0
I feel kind of empty. I have nothing going on in my life.,0
Not very well,0
Not good,0
"Not great, it's the same shit different day.",0
I'm a little upset today.,0
"I am feeling bummed, I was supposed to see my dad today but he had to reschedule, I miss him a lot.",0
"Not great at all, I just lost my job.",0
"I don't feel very well, I was diagnosed with a terrible disease.",0
I am not feeling so good I fell out with my friend yesterday,0
I am feeling a little down.,0
Not too good. I just feel empty.,0
"	
I am not feeling good. I was suffering from fever.",0
"I'm feeling really down, depressed, I can't find a job anywhere.",0
I'm really depressed. Nothing I do is worthwhile.,0
"I am so sad today, nothing seems to be going right.",0
I am so sad today.,0
"Not good, I'm feeling lonely",0
I am feeling sad,0
empty is an understatement,0
I am feeling low and sad,0
Today my mood is really low,0
"Just getting by, not much energy to do anything lately",0
"I feel empty, I can't eat or sleep",0
"Not good, I think nothing is going to change.",0
I am feeling sad today as I have fought with my partner,0
"I'm miserable, I haven't been able to bring myself to do anything in weeks.",0
"I feel really low, my boyfriend broke up with me",0
I'm in a pretty low mood,0
I feel a little sad. I am worried about losing my job.,0
"Not great, just been feeling depressed all week.",0
I'm really sad because my dog ran away,0
I'm kind of firm as the school year is coming to an end and I'll miss my students.,0
"I just don't want to go on anymore, everything seems so hopeless.",0
"I wish I was feeling happier, but it's been a rough few days.",0
Not well. I messed up at work today.,0
I feel depressed and not like myself.,0
Pretty depressed. I was fired recently,0
I'm not doing so well. I've been having relationship troubles.,0
A friend died and I feel lost,0
"Actually, I have been feeling a little down lately.",0
Things could be better. I've been down in the dumps lately due to my school grades.,0
I'm not feeling too great. I'm pretty depressed.,0
"I am feeling really sad, to a point where I feel like crying all day",0
Not so good; I am missing a birthday party because I am ill.,0
I'm not feeling like my usual happy self.,0
Terrible. My boyfriend dumped me.,0
I'm down. I failed my test.,0
I am feeling sad today.,0
I fell out with my friend yesterday,0
I want to cry,0
I feel like shit.,0
Not feeling good due to my inability to attend a family function.,0
I don't think I can go on any longer.,0
"Just feeling really at a low point in my life, nothing seems to be going right.",0
"Okay, I guess.",0
Today I'm feeling pretty down. I just didn't have a good morning.,0
"I feel awful, I didn't pass my classes and I will not graduate.",0
"Honestly, I'm not doing well. I failed my exam.",0
"Not so good, unfortunately.",0
I am feeling down. I think I am sick.,0
I am so sad that I cried in the shower earlier.,0
"Well, I just feel that nothing is going my way.",0
Awful. My Mom scolded me about being messy when I have been trying to clean up after myself.,0
Not very good. My husband just lost his job.,0
Not so well. I can't seem to get interested in doing very much.,0
I don't feel too good,0
I'm feeling really down.,0
"I'm feeling under the weather, my best friend won't talk to me.",0
I just want to cry because I feel so bad that my dog died.,0
"Really down, I just can't seem to get started on anything.",0
I'm not feeling very well. My grandmother passed away last week.,0
"I feel awful, nothing seems to have any meaning since my dad died.",0
I've had a fight with my partner and I feel really sad. I feel that it was my fault.,0
Just miserable today.,0
I'm not fleeling so great.,0
Been a bit down in the dumps since I lost my job last year,0
"Quite frankly, I don't see any point in life anymore",0
Horrible. I'm just so sad.,0
I'm not doing that great today. They are taking off my favorite childhood television show.,0
I feel like I want to throw up,0
"Not good, I got in a fight with my mom.",0
Feeling a little blue.,0
I need to get support,0
I wish I could change,0
The weather is bad and it has me down in the dumps.,0
