text,labels
I am feeling frustrated because I can't find a way to relax.,0
I am feeling afraid,3
杰出的！我度过了最美好的一天！！,2
糟糕的！我的室友偷了我的项链！,1
一切都很美好谢谢,2
超棒！我的考试成绩出炉了，我考得很好！,2
我很生气。,1
I am feeling angry for my co-workers actions.,1
这是一个如此美好的晴天,2
I am afraid my girlfriend is going to leave me,3
I don't feel great. I'm feeling stressed and I'm worried because I don't know why I feel like this.,3
Great,2
I am so sad that I cried in the shower earlier.,0
Worse than yesterday,1
"Pretty good thanks, how about yourself?",2
感觉真棒,2
我生气了。我厌倦了我的妻子。,1
I feel like shit.,0
我不想吃早餐，因为我太难过了。,0
Kind of feeling a dark cloud over me today.,0
"Not great, feeling a bit on edge honestly",3
我很生气，想要感觉好点。,1
I feel I might have a serious illness but don't want to see the doctor,3
I have just had a panic attack and I feel awful,3
"I am really down, I feel depressed and devoid of motivation.",0
此刻我感到相当难过,0
今天，我感到快乐和满足。,2
I feel really upset about how I have been treated.,1
I've got a bad case of the blues.,0
我不舒服，我和我女朋友今天分手了。,0
Not so great. I failed my final exam.,0
我今天其实很着急,3
我今天感觉不太好。我的脑子在飞速运转，我无法停止对所有事情的过度思考。,3
I just feel really angry lately.,1
我很好。,2
我很生气，因为我找不到借记卡。,1
就像一座即将喷发的火山。,1
Not that great. I found out that my grandmother doesn't have long to live.,0
不好。我的狗今天被安乐死了。,0
我并不像我想的那样快乐。,0
I am a little upset and depressed this afternoon.,0
我今天过得很愉快，这里没有抱怨。,2
不太好。我丈夫刚失业。,0
非常好,2
My manager scolded me so i am angry,1
I am feeling well.,2
老实说，我今天感到有点焦虑。我昨天见了一个朋友，现在他们被告知需要自我隔离。,3
你问来干什么,3
我很好谢谢你，我刚刚收到一个好消息,2
Not feeling good due to my inability to attend a family function.,0
我感到孤独,0
"Not good, I had a very bad day today.",1
再好不过了！昨晚我的彩票号码出来了，我要辞职了。,2
"I'm scared, my abusive ex has tried contacting me again.",3
I feel very happy for getting a promotion,2
我很生气。,1
一个白痴差点造成车祸，让我很生气。,1
I hate everyone today.,1
Feeling hum drum things did not go well at work today.,0
"I am not doing great, I just can't face the day.",3
感觉一切都没有希望了。,0
I'm feeling really down.,0
我很无聊，我一个人在家,0
I am totally irritated about my friend's actions.,1
我只是一直很生气,1
今天我心情非常低落。我只是没有一个美好的早晨。,0
"I feel anxious about my career, not sure what I'll do when the pandemic is over",3
"I am not feeling great, I have been working too hard lately with little time for self care.",3
不太好，因为银行搞砸了我的支票账户。,1
我今天很伤心，昨晚我失去了一位亲爱的朋友。,0
I'm great,2
I am feeling sad today as I have fought with my partner,0
不是很好。我想辞掉我的工作。,1
我今天真的很沮丧,0
"I feel so anxious, I don't think I can cope.",3
I've been better. I'm waiting for my test results and I'm nervous about the result.,3
I'm fine,2
I'm really annoyed right now. I just had an argument with someone who accused me of something I didn't do.,1
我感到活着和幸福。,2
我今天真的很开心。,2
I've got a lot on my mind.,3
我从未如此快乐,2
我感到害怕，因为我不确定我将来想要什么职业,3
I am feeling stressed.,3
"Pissed, completely over all this. I just walked out on my job.",1
I am stressed that I will not get my work completed on time,3
我对我的搭档很生气，我发现他们出轨了,1
"I feel terribly lonely, I don't have any friends, or a boyfriend",0
I'm feeling great at the moment.,2
我无法停止哭泣。,0
"Not feeling good, I am really struggling.",0
不太好。由于压力，我最近一直感到悲伤和昏昏欲睡。,0
我只是想打人，真的。我现在对一切都感到厌烦了。,1
I can't stand my life and apparently neither can my partner because she's gone.,1
"I'm infuriated with my partner, I found out they cheated",1
I feel like something bad could happen and I'm afraid that it will.,3
我很失落,0
真的很糟糕 - 真的很担心，真的觉得可怕的事情总会发生,3
我不断发现自己不由自主地握紧拳头。我感觉我的神经被击中了，我快要爆炸了。,1
Things are weighing me down.,3
我觉得我可能得了重病但不想看医生,3
I'm pissed off,1
"I'm not doing to well, my anxiety is kicking my butt.",3
哦，甚至不要让我开始！,1
"I don't know, why are you asking me? Who asked you to ask me?",3
我今天很放松，是我的休息日,2
我今天感到非常紧张和焦虑,3
I am feeling kinda weak and depressed.,0
I'm feeling a bit blegh like something bad is going to happen and I can't stop thinking about it,3
积极的,2
我感觉很好，因为我刚刚发现我通过了考试,2
到目前为止，我讨厌我的一天。,1
Really great,2
Anxious!! I am 3 days late on my period now and I am NEVER late!,3
非常感谢您的提问！,2
"I'm ok, but i have this weird feeling like something scary is about to happen to me",3
I am not feeling good today.,1
今天，我真的很满足。,2
我想我不能再继续下去了。,0
一点都不好，我丢了工作。,0
刚过，最近没太多精力做事,0
Horrible. I'm just so sad.,0
I don't feel like doing anything.,0
我很难过,0
Things could be better. I have been feeling sad and lethargic lately due to stress I think.,0
Today my heart feels like it is racing. Im not feeling good and I think I just need to be alone.,3
"My family is driving me nuts, I can't stand them",1
我对我朋友的不当行为感到愤怒。,1
I feel ready to fight.,1
不好，我和妈妈吵架了。,0
我今天感觉很棒！谢谢你。,2
great,2
I am feeling stressed today as I have a deadline to meet.,3
完成了本周的工作，我感到很满足，现在可以放松了,2
I am afraid that my child is suffering. They have a fever,3
I am glad that my boss chose me for that promotion,2
I feel very worried about our future,3
我害怕我所爱的人可能会发生不好的事情,3
我今天很焦虑，一切都感觉很压倒性。,3
我今天有点不高兴。,0
I'm a little worried and stressed to be honest.,3
"Thanks for asking, I'm in a good place",2
I am mad because my cats have ruined my favourite rug,1
"I'm fine, everything is good for the most part.",2
我做得不好，我的焦虑正在踢我的屁股。,3
非常好,2
我生气了，你怎么看。不要再问这些问题了。,1
"I'm ok, but i feel like we might loose the soccer game tonigt",3
我太生气了，我可以杀了人。,1
I am worried that I will run out of money before payday.,3
Not so good; I am missing a birthday party because I am ill.,0
情绪真的很低，我发现大多数日子都很难起床。,0
Sad,0
我对我儿子很生气，因为他今天没有吃午饭,1
"I'm feeling really on edge today, i just can't seem to shake this feeling of dread",3
If I'm being honest I could probably break something at the moment. I have failed one of my classes.,1
I'm afraid that something bad is going to happen to me.,3
"very happy, my heart is full.",2
"I feel furious, like I can't even think straight.",1
Not great.  Everything seems to be frustrating me lately and it's taking a lot of effort for me to remain calm.,1
I keep finding myself involuntarily clenching my fists.  I feel like my nerves are shot and I'm about to explode.,1
"I am not feeling well, me and my girlfriend broke up today.",0
我感觉不太好。我男朋友昨天和我分手了。,0
I just dont want to deal with this right now.,1
"I'm good, ready for the day.",2
"So very sad, I am reliving a sad day on its anniversary.",0
我想砸人的脸。现在的人都是混蛋。,1
我今天应付得不太好,3
Nothing is well,0
"Not great, things are really disturbing me at the moment.",3
"It is a wonderful day, and I am feeling great.",2
谢谢你的提问，今天很困难，有点焦虑，它变成了恐惧,3
真的很好，睡了一个好觉。,2
I am angry at the whole world!,1
我对我的工作很生气。我感到被困在其中，这让我感到沮丧。,1
I think my girlfriend has been lying to me and it's making me anxious,3
最近几天我的心情一直很低落。,0
我做得很好，我的心情很好。,2
今天一切都糟透了。,1
一点都不好。我最近真的很怀疑自己。,0
I'm angry,1
I feel fantastic,2
我怕我的孩子生病了,3
超级好,2
I don't know what I'm feeling,0
"I'm very angry, people in my work group exclude me for nothing",1
"Please leave me alone, I am miserable.",0
我害怕我会失败,3
"Ok, but I feel irritated.",1
I'm feeling very angry today,1
"Actually, I am mad about how much it will cost to buy heating oil this winter.",1
I am really unhappy,1
我今天很高兴，因为我明天放假。,2
"Not good at all. Im furious, just got into a fight with my partner.",1
I'm afraid that my girlfriend may be cheating on me,3
我的母亲刚刚去世，我无法停止哭泣。,0
I am incredibly frustrated.,1
Been a bit down in the dumps since I lost my job last year,0
我觉得我今天已经实现了我想要的一切,2
我今天很沮丧。,0
我感觉准备随时斗争的紧张。,1
I am feeling sad,0
I'm not doing so well. I've been having relationship troubles.,0
我生自己的气。,1
I'm angry with my spouse,1
I am mad at my boss for embarassing me in front of my coworkers.,1
I am very on edge today,3
I'm feeling rather sad at the moment,0
这一天过得很好，我儿子拿到了冠军,2
我对上周在工作中发生的事情感到很生气。,1
我生自己的气，因为我不能减肥，也没有自制力,1
"Just okay, I guess. Feeling more down than up.",0
我现在很生气，因为我没有通过考试,1
我感觉不太好，我很焦虑,3
我被悲伤淹没,0
I am concerned that my girlfriend may have an affair,3
我很好。,2
我感到很沮丧，因为连续一周都在下雨。,0
我感觉很棒，工作很棒！,2
I feel brilliant!,2
I am so happy right now.,2
我真的很着急，我的肚子在打结，我怕我的驾驶考试不及格。,3
"I'm not feeling great, I'm quite anxious",3
心情低落，男朋友跟我分手了,0
一切都感觉很顺利，很开心，谢谢！,2
I am not ok,1
Great! My lottery numbers came up last night and I'm quitting my job.,2
"I am worried about a project that I have done, as I am anxious that I might have made a mistake.",3
I am feeling great thank you.,2
I'm feeling super!,2
"I am feeling over the moon today, nothing can bring me down.",2
在垂头丧气。我丈夫已经回办公室工作了，我一个人挺孤独。,0
I am feeling a bit anxious today to be honest. I met up with a friend yesterday and they have now been told they need to self isolate.,3
不好，我今天过得很糟糕。,1
I am feeling so good today!,2
"I'm feeling really down, depressed, I can't find a job anywhere.",0
Awful. My Mom scolded me about being messy when I have been trying to clean up after myself.,0
I'm feeling good today because I managed to finish all my work,2
今天心情好,2
I am feeling so happy and content with my new partner.,2
我一直看中东的新闻报道让我更加焦虑。,0
I'm not at all fine.,1
我觉得有点难过。我担心失去工作。,0
感觉真好,2
The looting that is going on in our country has me fearing for my life and those whom I love.,3
"I am feeling wonderful thank you, I have just been told that I am being nominated for an award.",2
I lost a close friend today and feel really sad and lonely.,0
I am not coping. I just feel like I could cry all the time.,0
Not good at all. I just want to hide in my room and sleep from all of the turmoil in the world.,0
"I'm fine, I guess.",0
"I'm feeling great thank you, perfectly content",2
I am afraid of not succeeding in my job and feeling like an impostor.,3
I am angry at my friend's misconduct.,1
我感觉不太好，我担心面试。,3
I just can't face the day. I'm sorry. I need to be alone right now.,3
不太好，我希望今天早点过去。,0
我做得很好，谢谢你的提问！,2
我感觉好极了。,2
Much better. There is a lot to be grateful for right now.,2
太棒了，真的太棒了,2
I'm quite down. I had a disagreement with my sister.,0
I am elated I just passed my exam.,2
"I'm so frustrated! My parents just don't understand me, no matter what I say.",1
It's their fault that I feel the way I do.,1
我今天很伤心，因为我和我的伴侣吵架了,0
I can't seem to ever feel happy anymore because I have been saddened from losing my job.,0
Why do you ask me that?,3
我感觉自己站在世界之巅！,2
A bit worried.,3
我没有心情和别人说话。,1
I'm feeling very short tempered,1
I am very upset right now,0
"Awful, feeling scared and jumpy",3
我很生气，因为我的狗在我外出工作时撕毁了我最喜欢的沙发。,1
My child is ill,3
我过的不太好，我真的无法面对这一天。,3
我现在感觉很紧张。,3
我很高兴因为我和我的朋友出去了,2
I've had a fight with my partner and I feel really sad. I feel that it was my fault.,0
"Really good, got a good night's rest.",2
I am afraid of my cats getting ill.,3
I am feeling very afraid today.,3
Like there's a black cloud hanging over me.,0
I am being persecuted.,1
"I'm feeling under the weather today like there is something clenching my heart, and squeezing it",3
我感觉很棒,2
还不错，事情进展顺利,2
Hopeful,2
Just pissed off about everything,1
Nothing seems to be going right and I can't get anybody to listen to me.,1
Doing well thank you,2
I am not well at all... I am totally disheartened,0
"I'm doing great, thanks for asking!",2
我感到有压力,1
我今天感觉很棒,2
"I'm great, how are you?",2
我不能更快乐,2
uncomfortable,3
太好了，今天是我的生日,2
I'm great.,2
I feel angry right now.,1
我今天感到不安,3
"I'm not having a good day, can you help me? Please, help me, will you help me?",3
超棒！,2
我需要休息一下社交媒体,1
糟糕，昨天我失去了一个亲近的人。,0
I feel anxious because of covid-19,3
"Nothing is going my way, I never have enough money for everything.",0
"Pretty shit today, everything is going wrong.",1
我真的很害怕，因为我一会要去看牙医。,3
Im thankful for where I am at right now.,2
I'm certainly not at my best.,0
今天醒来感觉不到自己，这让我感到害怕。每当我有这种感觉时，总会发生一些不好的事情。,3
Today is just one of those days that I am not looking forward to.,3
我在想我最近和妈妈吵架，这让我很生气。,1
我度过了美好的一天。,2
今天不太好，着急,3
"I'm doing well, I'm in a pretty good mood.",2
"I'm annoyed. Evey time I think I'm on top of things, something else comes along.",1
我不敢相信她欺骗了我，我现在非常受伤和生气。,1
Pretty good,2
今天不太好,0
我有点沮丧。我今天考试不及格。,0
我完全感觉很糟糕,0
