text,labels
很难受我让父母失望了,0
不太好我就是个废物,0
我今天失去了个朋友很伤心,0
我把一个东西弄丢了感觉很自责,0
朋友都没记得今天是我的生日感觉没有人在意我,0
我考试结果没有达到我想要的,0
我的家人生病了但我没有时间去看他,0
在学校里面不太快乐,0
我没有考上我理想的学校,0
我支持的球队输了好惨,0
我又个好朋友去世了我不知道该如何面对,0
难受,0
伤心,0
不舒服,0
我好想哭,0
找工作落空了心里很不是滋味,0
我想爸妈了,0
想到家里老人孤独的过年我心里非常难过,0
今年又是我一个人,0
我好想有个人能够支持我我好孤独,0
我今天看了个电影把我感动哭了,0
最近心情不太好,0
有点失落,0
心里难受,0
让今天早点过去,0
难过,0
有个朋友走了我想哭哭不出来,0
这些日子过的不好,0
每年到了这时候我都想念一个人,0
有点想哭,0
我最好的朋友竟然背叛了我,1
我的车被个不看路的人追尾了气死我了,1
有个讨厌的人把我的午餐吃了害得我空着肚子,1
很恼火,1
有点急躁,1
感觉被情绪所支配,1
我的血在沸腾,1
气的脑子都快炸开了,1
很生气,1
气急败坏,1
邻居总是半夜放音乐烦死我了,1
邻居总是半夜放音乐吵得我睡不着觉,1
有人把我家的垃圾桶偷了,1
我现在情绪非常差,1
不要惹我,1
恼羞成怒,1
竟然有人考试作弊,1
到现在都没有告诉我接下来怎么办急死我了,1
要气死了,1
气死我了,1
非常生气,1
不就是一点事为啥要麻烦我,1
别烦我快点滚蛋,1
少多嘴我不想听,1
赶紧滚蛋,1
这事真的烦死人了,1
最近发生的事情让我非常生气,1
真的让我失望至极让我消消气,1
很生气我的作平没有被别人接受,1
我再也不想看到这帮人了,1
我不知道明天究竟会怎么样,2
我为未来的形式感到焦虑,2
我很恐惧未来即将发生的事,2
有点焦虑,2
有些不安,2
我怕父母会对我感觉失望,2
我怕成绩不会特别理想,2
明天要出结果了好恐怖,2
我简直都不敢看,2
晚上外面有动静我好怕,2
下周就要考试了我不知道我会考的怎么样,2
我在担心考试结果,2
不知道会不会爆发战争,2
电费要涨我都快付不起了,2
不知这个月钱够不够,2
我不知道我能不能及格,2
明天要面试了好恐怖,2
如果我的孩子考不上怎么办,2
我不知道我做的够不够好担心,2
不知道她会怎么回答我甚至不敢听,2
焦虑,2
有种莫名其妙的恐惧感,2
恐惧,2
好可怕,2
我不敢面对,2
我怕领导会对我不满,2
我怕父母对我失望,2
我担心我能不能达到我想要的成绩,2
我不知道我的努力究竟会不会有成果,2
好恐怖啊,2
再好不过了,3
挺好的,3
好朋友们都来参加了我的生日派对太好了,3
我收到了一个我最想要的礼物,3
我为我的足球队赢得比赛而感到高兴,3
简直不要太好,3
感觉心满意足了,3
我对我的成绩感到挺满意的,3
我竟然达到了我想要的分数,3
挺高兴的我的老师今天在课上夸了我,3
今天发工资了很棒,3
挺放松的,3
无忧无虑,3
能跟家人们在一起我很欣慰,3
一切都很顺利,3
心情挺不错的,3
我对现在的处境挺满意的,3
挺舒服的,3
不错,3
我的考试成绩超过了我的想象,3
太棒了,3
很高兴我收到了工作的邀请,3
我应聘成功了,3
家里人都挺好,3
现在感觉挺好,3
好多了,3
领导批准了我的项目方案太棒了,3
今天是我的生日过的挺开心的,3
哈哈,3
今天感觉挺好的,3
