,text,labels
0,i was just feeling pressured to order something,3
1,i had hidden in my room all day feeling intimidated alison came into my room and started accusing me of racism,3
2,i wasnt feeling so irritated by my craft supply organisation etc,1
3,i know some of you feel that it s not dignified to be emotional in church,2
4,i have the lead and also overdid my target for each day i feel much more relaxed and it might just turn out to be a wondeful tournament for me if i keep up the momentum said ilhee,2
5,i won t feel regretful,0
6,i know how u feel i hated how people say to just stop thinking about it but try to get help and distract yourself also try to get ur anxiety out in a healthy or helpful way,0
7,i am not anti to spirituality but at that time i feel a bit afraid and did not get any word,3
8,i knew the arc of my grandparents lives and was using that to frame the story behind unravelled i don t recall feeling intimidated but i do recall feeling like giving up on a few occasions,3
9,i do feel exertion but i cant recall that ive ever felt a violent physical attack like that,1
10,i feel a bit hesitant posting this rather snapshot ish picture after the technically brilliant and artistic portraits which have been posted here lately but here you go an oldie,3
11,i pray that tomorrow i may feel less alone,0
12,ill torture him so that he feels how ive been tortured by the shit he did to me,3
13,i have time to be just here and i am feeling quite blessed and graced by the divines permission to be silly if i want to be,2
14,i feel truly blessed from this thanksgiving visit and will take this warm fuzzy feeling with me into the christmas season,2
15,i requested some feedback on the old look and feel i was delighted by the amount of feedback that came back,2
16,i feel pretty lucky that i know him and that he sees some potential in this,2
17,i feel more hateful every day i think,1
18,i look at the feelings which i think have in some ways inhibited me from stepping forwards,3
19,i feel the delicious pain aching in my breasts the clamps pinching on my willing nipples,2
20,the loss of a close relative who was ill with cancer,0
21,i feel like doing something obnoxious but i dont want to go out of my way to do it,1
22,id be lying if i didnt just feel defeated and beat down after that,0
23,i feel like posting for you wonderful people,2
24,i feel inadequate so we go on to the weather and how bad business is,0
25,i had gone for a medical checkup at the uth and failed to make it back on time for the c practical sessions at hours last academic year,3
26,i could feel everyone s disappointment in me and i hated it,1
27,i was feeling restless but not to bad,3
28,i often feel violent toward people who dont think before they speak,1
29,i feel much better and think by dec i will be strong and ready to get back to the work routine,2
30,i was up just after this morning and instead of feeling exhausted as i did yesterday im excited to head out to the library this morning,0
31,i was on the verge of tears a fair amount of the time and obviously yesterday i was very upset but by last night and definately today i feel kind of resigned,0
32,i feel like to just be stubborn and say we re not going to release stuff digitally or whatever is really stupid,1
33,i am before the blessed sacra ment i feel such a lively faith that i can t describe it,2
34,i just can t get anything done i feel so frustrated,1
35,i was taught to do and when i was feeling sad it s what i always did,0
36,i pray that in the time shes left behind shell continue to see and feel him in a way that only a precious child can do,2
37,i hear of idf attacks and deaths of palestinian moslems i feel nothing because i remember innocent people on jumping storys because moslems in the name of allah flew planes into the buildings to kill them,2
38,i feel neurotic despair at my bank balance hovering apparently forever at the bottom of a deep hole invisible credit card balances precariously running down their interest period,3
39,i feel so unhappy this year dont know why,0
