text,labels
i notice myself start to feel stressed or sad or angry or in love,1
i hate the idea that he d ever feel isolated by his allergies,0
i have a tiny rant i didn t like the feeling that nothing will make her happy unless she can marry as if marriage equals happiness,2
i was very scared when i went to the examination hall for my msc examination as i had studied a limited partion of the course thoroughly and i was in great doubt whether that would be asked,3
i walked away from that blessing feeling very peaceful but a little bit skeptical,2
i feel altogether comfortable with,2
i should be feeling the most invigorated and loved and content,2
i was feeling really distressed about qualifying,3
i don t know about you but when i feel wronged i can t breathe,1
i would feel insulted and disrespected,1
i feel so worthless in his eyes,0
i feel guilty and all but i just cant stop myself,0
people who discriminate other people disgust me,1
i feel it is really important for students to engage with people from different walks of life,2
i feel paranoid i feel paranoid posted by a href http www,3
i have to admit i feel resentful of being blame for imagined wrong done by this individual,1
i feel homesick for kansas and my friends family back there,0
i am planning to apply as a model after working at the caf but because of my breasts i feel like i would not be accepted there,2
i was feeling pretty shaky so i did a blood sugar check and called to see what to do,3
i am sharing today features the feeling sentimental stamp set and the sycamore street designer series paper,0
ive been able to figure out how she is positioned due to her hiccups feeling like they are very low and some sharp jabs that i get mainly in my right ribs that i think are from some very strong little legs,0
i know its silly but i still feel pissed off,1
i did manage two short runs and a walk but today im back to feeling just shy of awful,3
i feel like i wont be terribly heartbroken if we arent pregnant this cycle,0
i want to reach out to others who are also suffering but maybe i wont feel like im guarding a dangerous secret anymore,1
i wish i had some cloud patterned paper or pks cloud stamp i feel like it would have been the perfect background on the middle layer hmm,2
i feel simultaneously envious and angry when i read partisan squabbles on twitter,1
i finally got up to the counter i was as nice as i could be feeling extremely sorry for the agent who had just been berated,0
i feel hopeless and alone,0
i get of oz is the occassional viewings of home and away and even a bit of neighbours if im feeling really tragic,0
i am also feeling nervous,3
im feeling pretty mellow today,2
i remember walking aimlessly around the mall and various shops just to kill time but feeling bitter and empty,1
i kind of did that to myself today reading some old post and feeling weepy about my unknowing circumstances,0
i cant seem to shake off this weird feeling that i am hated and ignored by many people,1
i know more than one person whos been the victim of unintended contamination but lots of restaurants and even takeaways are getting it right and being a coeliac is feeling less and less like a weird form of first world boo hoo food martyrdom,3
i really dont know if ill ever learn it completely but i hope i at least always remind myself of it when im feeling impatient,1
i put an end to that and hold people accountable when i end up hurt or angry or when i feel wronged,1
i cant even talk to you about what i am feeling because all you do is get mad at me,1
i know how she d feel any hint of a comment especially one as unkind as that would be met with fury,1
i feel the cold stony surface underneath me,1
i have been feeling very weepy today i seem to burst into tears at everything even just thinking of how much i will miss my husband this year makes me break down today,0
i was feeling pretty lethargic perhaps it wouldve done me some good to soak in a hot tub with a bunch of strangers,0
i have this feeling like im really over caffeine this time but i dont want to get too complacent,2
im going to feel helpless and go pour some gatoraide and warm some chicken soup,3
i feel really idiotic im wishing i had a boyfriend i dont like to want that because it makes me feel desperate and needy just like every other single out there,0
i see others enjoy the freedom and i feel envious,1
i feel insulted and manipulated and though i have said no i feel like somehow this class will go on the other girls,1
i start to feel uncomfortable unsettled,3
i made in photoshop i feel a little less uptight,3
i got in it so im feeling too smug,2
i sometimes feel guilty giving bad reviews but we re not all going to like each other s body of work,0
i like i just feel really really shy every so often i d want to go up to her and compliment her but when i try i wind up blushing,3
i feel that if i am ever feeling ashamed or uncomfortable with dressing differently that i am just denying my calling from god,0
i dont agree with him i do feel hes sincere and acting in good faith and with great personal honesty,2
i am feeling but have not really dealt with or resolved,2
i do not want to leave anyone feeling judged or pressured into over extending themselves,3
i found myself out in nature feeling at peace and content with my life,2
i feel like i have to touch on things because i never want those who are about to have their tp ait to read things and get so scared that they decide not to follow through with surgery,3
i feel to insecure to go out to a restaurant,3
i feel really dull from years of suppression and repression and sometimes i catch myself tearing up at moments when im not supposed to and im not pregnant,0
i feel is tortured by the present hateful towards the future and rage for the past which i hold in regret,3
i can t sleep and i m feeling restless,3
i feel very selfish and immature in a lot of areas except with adam actually,1
i wanted to do was slide my window open and feel the cool night air on my face but i couldnt,2
im feeling a bit cranky today,1
i am feeling stubborn about using it because i had to give up the few names that i was in love with because he didnt like them,1
i not feel shy any more now is the end of my off day what i did today were cooked some food to feed myself eat and online and watch series all the time,3
i havent sleep properly in two days but im feeling romantically frustrated tonight,1
i feel so angry and lost as i have no idea where our relationship is headed,1
i didnt think this thought i would feel trusting in the flow open hearted,2
i feel more confident about investing in the obesity trend exposure to insulin makers hip and knee replacement equipment food trends fitness and so on or investing in european equity markets,2
i wonder how the angels feel about these examples of tragic bad luck,0
i wait for my hair to dry i feel even more like a princess for a day as my hubby prepares me my fav breakfast only for special occassions i think beauty day warrants this he makes me french toast and i love it,2
i also know that if i forget for a period of time it would cause tension or a feeling of unease that maybe i am mad at him,1
