Sex,Age,Sad - Patient response 1,Sad - Patient response 2,Sad - Patient response 3,Sad - Was this caused by a specific event/s?,Sad - Was this caused by a recent or distant event (or events)?,Sad - Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,Sad - Have you recently attempted protocol 11 and found this reignited unmanageable emotions as a result of old events?,Sad - Thank you. Now I will ask some questions to understand your situation.,Sad - Have you strongly felt or expressed any of the following emotions towards someone:,Sad - Do you believe that you should be the saviour of someone else?,"Sad - Do you see yourself as the victim, blaming someone else for how negative you feel?",Sad - Do you feel that you are trying to control someone?,Sad - Are you always blaming and accusing yourself for when something goes wrong?,"Sad - In previous conversations, have you considered other viewpoints presented?",Sad - Are you undergoing a personal crisis (experiencing difficulties with loved ones e.g. falling out with friends)?,Angry - Patient response 1,Angry - Patient response 2,Angry - Patient response 3,Angry - Was this caused by a specific event/s?,Angry - Was this caused by a recent or distant event (or events)?,Angry - Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,Angry - Have you recently attempted protocol 11 and found this reignited unmanageable emotions as a result of old events?,Angry - Thank you. Now I will ask some questions to understand your situation.,Angry - Have you strongly felt or expressed any of the following emotions towards someone:,Angry - Do you believe that you should be the saviour of someone else?,"Angry - Do you see yourself as the victim, blaming someone else for how negative you feel?",Angry - Do you feel that you are trying to control someone?,Angry - Are you always blaming and accusing yourself for when something goes wrong?,"Angry - In previous conversations, have you considered other viewpoints presented?",Angry - Are you undergoing a personal crisis (experiencing difficulties with loved ones e.g. falling out with friends)?,Anxious - Patient response 1,Anxious - Patient response 2,Anxious - Patient response 3,Anxious - Was this caused by a specific event/s?,Anxious - Was this caused by a recent or distant event (or events)?,Anxious - Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,Anxious - Have you recently attempted protocol 11 and found this reignited unmanageable emotions as a result of old events?,Anxious - Thank you. Now I will ask some questions to understand your situation.,Anxious - Have you strongly felt or expressed any of the following emotions towards someone:,Anxious - Do you believe that you should be the saviour of someone else?,"Anxious - Do you see yourself as the victim, blaming someone else for how negative you feel?",Anxious - Do you feel that you are trying to control someone?,Anxious - Are you always blaming and accusing yourself for when something goes wrong?,"Anxious - In previous conversations, have you considered other viewpoints presented?",Anxious - Are you undergoing a personal crisis (experiencing difficulties with loved ones e.g. falling out with friends)?,Happy - Patient response 1,Happy - Patient response 2,Happy - Patient response 3,Happy - That's Good! Let me recommend a protocol you can attempt.,All emotions - From what you have said I believe you are feeling {}. Is this correct?,All emotions - I am sorry. Please select from the emotions below the one that best reflects what you are feeling:,All emotions - Thank you for taking part. See you soon,"All emotions - Here are my recommendations, please select the protocol that you would like to attempt","All emotions - Please try to go through this protocol now. When you finish, press 'continue'",All emotions - Do you feel better or worse after having taken this protocol?,All emotions - Would you like to attempt another protocol? (Patient feels better),All emotions - Would you like to attempt another protocol? (Patient feels worse)
Male,30-39,I am feeling a bit down,I'm in a pretty low mood,I'm feeling rather sad at the moment,I'm sorry to hear you aren't feeling well. Did anything specific happen to cause you to feel this way?,"I can identify with that. Now, are these feelings the result of an event that happened recently or a long time ago?","Knowing that your feelings are important to me, I need to ask you about your previous interactions with the protocols. Have you attempted protocol 6 anytime recently, and if so did it spark difficult emotions for you remembering this event?","Knowing that your feelings are important to me, I need to ask you about your previous interactions with the protocols. Have you attempted protocol 11 anytime recently, and if so did it spark difficult emotions for you remembering this event?",Thank you for being so helpful and patient thus far. If you don't mind I have a few more questions that will further help me understand the situation.,"I understand it may be difficult, but I would greatly appreciate if you could share this with me. May I ask if you have expressed or felt any of these strong emotions toward someone:",,,,,,,I am totally irritated about the actions of my friend,I started thinking about when my partner left me and I got very angry,It's their fault that I feel the way I do.,I can help you better if you are able to tell me a bit more. Did a specific event cause you to feel this way?,Would you be able to tell me whether these particular feelings were caused by an event that happened recently or a longer time ago?,"It would help me greatly if you could share this with me. Have you tried out protocol 6 recently, and if so did it cause you to feel any hard to manage emotions?","It would help me greatly if you could share this with me. Have you tried out protocol 11 recently, and if so did it cause you to feel any hard to manage emotions?","Thank you so much for your cooperation, I greatly appreciate it. I have just a few more questions to help me better understand what you're experiencing.",I would appreciate if you could tell me more about your feelings. One question I have is whether you've had or outwardly expressed any of these emotions toward another person:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,50-59,I don't feel that great today. My dog is unwell.,I feel a little sad. I am worried about losing my job.,I'm quite down. I had a disagreement with my sister.,Did something in particular happen that made you feel sad? Feel free to tell me openly.,,"Some people have found that protocol 6 doesn't necessarily help them, so I am trying to evaluate whether it could be right for your current situation. Have you tried protocol 6, and did it cause you to feel any negative emotions?","Some people have found that protocol 11 doesn't necessarily help them, so I am trying to evaluate whether it could be right for your current situation. Have you tried protocol 11, and did it cause you to feel any negative emotions?",Thank you for sharing that with me. I am going to ask you some questions so we can get to the bottom of what is troubling you.,Have you had or expressed any of the following strong emotions toward someone else:,,,,,,,I am really angry,I feel bad,My mood is off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,30-39,"Not very well, my dog died yesterday.","Not great, just been feeling depressed all week.","Could be better, I'd rather the day was over already.",I'm sorry to hear that. Is there one particular thing that caused this feeling?,"Ah, I see. Would you say this was a recent or distant event?","Thank you, I understand. Would you say that this negative emotion was triggered by a recent attempt at protocol 6?","Thank you, I understand. Would you say that this negative emotion was triggered by a recent attempt at protocol 11?",Thank you for your patience. I will now ask you a few questions to help understand your situation.,"Thanks, I appreciate your patience. Would you say you've strongly felt or expressed any of the following emotions towards someone:",,,,,,,I am disgusted with the customer service executive as she refused to see reason as I narrated my problem,I am annoyed with my son as he did not eat his lunch today,I am angry with my neigbor as he is making a ruckus,,,,,I'm glad you are open and sharing your emotions. I'd like to ask you a few more questions to better understand the situation.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,25-29,I'm feeling kind of down,I'm really sad because my dog ran away,"My boyfriend broke up with me, so I'm pretty sad today",Thank you. Did something specific happen to make you sad?,"Thank you, I understand. Could you tell me if this was something that happened recently or a while ago?  I hope you did not suffer too much from this event.",Can you let me know if you were recently working on protocol 6 and it brought back some bad feelings from this past event?,Can you let me know if you were recently working on protocol 11 and it brought back some bad feelings from this recent event?,Thanks for telling me that. I will now ask you some questions to learn a little more about your situation.,Could you tell me if you've been having any of the following emotions lately or if you've shown these emotions to someone else:,,,,,,,I am feeling angry. I lost my money,I'm very  irritated,I'm feeling very short tempered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,25-29,Not so good as I have been watching the news coverage from the Middle East.,I'm kind of firm as the school year is coming to an end and I'll miss my students.,I'm sad as it's a long weekend but I have to work.,Did something happen to bring about this feeling?,Could you tell me if this event or events happened recently or in the past?,"Did you attempt protocol 6 and, if so, did looking back at this traumatic event reopen old wounds that caused an outburst of emotions?","Did you attempt protocol 11 and, if so, did looking back at this recent event reopen wounds that caused an outburst of emotions?","Thank you, I appreciate that. I'm going to try and get to the bottom of this by asking you some more questions.",Can you think of a time where you strongly felt or showed these emotions to someone else:,,,,,,,I'm mad because I can't find my debit card.,I'm very upset because I dropped my phone and now it's cracked.,I'm kind of pissed off because James did not do his part of the assignment.,Did a particular situation cause this?,Do you think this was brought about by something that just happened or perhaps something more distant in your past?,"Have you attempted protocol 6 recently and, if so, have you been thinking of some traumatic situation from your past that could've opened back up these wounds and brought out these emotions?","Have you attempted protocol 11 recently and, if so, have you been thinking of some traumatic situation from your past that could've opened back up these wounds and brought out these emotions?",Thanks. I'm going to dig deeper by asking you some questions so we can fix this.,Have you been feeling or expressing any of these emotions to other people:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,50-59,I'm feeling pretty blue about my breakup.,"I just don't want to go on anymore, everything seems so hopeless.",I can't stop crying because I miss my mom so much.,I'm so sorry to hear that. Can you identify a specific event that caused you to feel that way?,You must be hurting right now. Could you share whether this event was recent or longer ago?,"I wonder, did trying protocol 6 recently trigger any bad feeling? If this happened, I hope you didn't suffer too much from that exercise.","I wonder, did trying protocol 6 recently trigger any bad feeling? If this happened, I hope you didn't suffer too much from that exercise.","I appreciate your efforts, even though it must be hard for you. I've got some questions now to help understand your situation.","If it's okay with you, can you let me know whether you've had any of these strong feelings towards anyone:",,,,,,,I'm so pissed off at my co-worker for taking credit for my work.,My roommate is driving me mad with her sloppiness!,"If someone else tries to cut me off in traffic, I'm going to explode!","Thank you, I understand you're upset right now, but I would appreciate it if you could tell me a but more. Did a specific event cause your anger?",Was the trigger something recent or longer ago?,"I wonder, did you feel your anger triggered by protocol 6, if you had a chance to try it?","I wonder, did you feel your anger triggered by protocol 11, if you had a chance to try it?",I appreciate that you're trying to work out your anger. Let's get answers to some questions so we can understand your situation better.,"I understand you've been angry. Could you tell me whether, in addition to this anger, you have also experienced any of these strong emotions towards anyone:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,40-49,I'm feeling pretty down today.,"I wish I was feeling happier, but it's been a rough few days.",I have been feeling quite low the last few days.,Is your mood caused by anything specific?,Was the event that caused your sadness a recent event or something that happened a while ago?,"Were you able to attempt protocol 6, and if so, did you feel like the protocol brought up the same difficult emotions that you experienced in the past?","Were you able to attempt protocol 11, and if so, did you feel like the protocol brought up the same difficult emotions that you experienced during the event?",Thank you for sharing your feelings. I have a couple of questions to help me understand your situation.,Have you found yourself feeling and/or expressing any of the following emotions towards another person:,,,,,,,"Not very good, I have had a very frustrating day.",I'm pretty pissed right now.,Nothing seems to be going right and I can't get anybody to listen to me.,Could you tell me if your anger was caused by a specific event?,"The event that caused your anger, would you consider it to be recent or did it happen a while back?","Have you been able to work on protocol 6 recently and, if you have, did you notice that you felt similar negative feelings as you did during this event?","Have you been able to work on protocol 11 recently and, if you have, did you notice that you felt similar negative feelings as you did during this event?",I appreciate you sharing this with me. I'd like to ask a few more questions to help me understand your situation.,"Have you found yourself feeling any of these emotions, or have you expressed them towards another person:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,30-39,Not that good. I'm feeling kind of lonely,Not well. I messed up at work today.,I'm feeling a bit down. I failed a test today.,I do understand. Did a specific event occur to make this happen?,"I see, thank you for sharing that. Was it a recent or distant event?",,,I'm in tune with your emotion and we will understand how to overcome it. I want to ask you some more questions to better understand why you feel that way.,May I ask if you have felt or shown any of these emotions recently:,,,,,,,Not great. I'm pissed at a coworker of mine.,I'm really mad at my husband for arguing with me.,I feel crappy. I've been fighting with my friend.,"I understand, thank you for opening up to me. Did something happen to cause this?",I can understand that. Did a recent or distant event cause this?,,,"I'm sorry to hear that you're going through all this. Now I will ask you some more questions to understand what is going on, I hope that will be fine.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,25-29,I've been feeling down lately and can't get out of this funk.,I feel depressed and not like myself.,I've been better. Feeling kind of miserable.,"I'm sorry to hear that. Could it be because of a certain event? If so, I hope it wasn't too difficult for you.",May I ask if it was something recent or in the past that made this feeling come up?,Did you by any chance try protocol 6 and if so did this trigger any negative emotions from the past?,Did you by any chance try protocol 11 and if so did this trigger any negative emotions from the recent past?,"Thanks for sharing that. If it's ok with you, I have some more questions.","If I may, have you had any strong feelings or expressions of the following emotions when in the company of someone:",,,,,,,I've been pushed to the point of aggravation and lost my cool.,To be honest I feel mad and like I could hurt someone.,My emotions are boiling over and I'm about to explode.,Do you feel like this may have been the result of a single incident?,"Is it possible there was a recent cause of this anger, or is it due to something that happened in the distant past?",Have you made an attempt at protocol 6 and is it possible that this might've brought up some tense emotions from something in the past?,Have you made an attempt at protocol 11 and is it possible that this might've brought up some tense emotions from something in the past?,I appreciate you sharing that with me. I have just a few more questions.,I'm going to list some emotions now. Could you tell me if you've felt any of these emotions towards someone:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,30-39,Very upset. I lost a loved one earlier this week.,Pretty depressed. I was fired recently,Not good at all. I'm really doubting myself lately.,"I'm sorry to hear that you are feeling sad. Do you know what led to such a sad feeling, was it a specific event?",Does the event that caused your sadness feel recent or distant?,"I understand it can be difficult. May I ask if you have tried protocol 6 to better understand the emotions you felt, but it was just too painful to get through?","I understand it can be difficult. May I ask if you have tried protocol 11 to better understand the emotions you felt, but it was just too painful to get through?","Thank you for sharing all this with me, I imagine it must be difficult. I'd like to better understand what you are going through with a few more questions.",During this difficult time have you been feeling any of the following strong emotions:,,,,,,,I'm furious. Nothing is going right!,I can't stand anyone in my life right now.,I hate everyone I come in contact with.,"I am sorry to hear it, this is something we all experience at times. Can you tell me if these feelings come from a specific event?","I see, thank you for that. Does this stem from something that happened recently, or was it a distant event that has been brewing for a while?","I understand thinking about the past can be uncomfortable at times. Have you tried working through protocol 6? If so, have you felt unable to deal with the emotions that arise?","I understand thinking about the past can be uncomfortable at times. Have you tried working through protocol 11? If so, have you felt unable to deal with the emotions that arise?",I want to help. Please help me better understand your situation by answering a few more questions.,Sometimes we feel very strongly in certain scenarios. Have you felt any of these emotions toward someone in your life:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
