response,annotator1_score,annotator2_score,annotator3_score,empathy_score
﻿当您选择了要尝试的协议后，请开始该协议。完成后，您可以按“继续”继续。,1,2,2,2
你有什么事吗？,0,0,1,0
感谢您的参与，我真的很感激，您的努力非常宝贵。祝你有美好的一天！,2,1,2,2
我很感谢你的参与。我希望很快能再次与您合作。,1,2,2,2
感谢您如此开放，我正在尝试确定提供帮助的最佳方式，并了解重新审视创伤是多么困难。我想知道协议 6 是否对你来说太痛苦了？,2,2,2,2
很抱歉，这并没有让您感觉更好，有时可能需要尝试不同的协议才能感觉更好。您想尝试另一种希望对您更有帮助的方法吗？,2,2,2,2
谢谢你，也许协议 6 可以帮助你处理这个事件，但是在我推荐它之前，我想确保你过去没有遇到过不好的经历。您最近是否尝试过协议 6，如果您尝试过，它是否会引起过去事件的困难情绪？,2,1,2,2
谢谢你。由于您当前的情绪，您是否觉得需要控制他人？,1,2,2,2
我认为如果我们谈谈是什么让你有这种感觉可能会有所帮助。是不是某个特定的事件让你感到苦恼？,2,2,2,2
请现在试一试。完成后，只需点击“继续”。,0,0,1,0
非常感谢您的回答。我现在想问您，您是否认为自己是这种情况的受害者，而其他人应该为您的痛苦感受负责？,2,1,2,2
这是最近发生的还是过去发生的？,0,0,1,0
对你生活中发生的事情负责怎么样。你觉得你总是要为出错的事情负责吗？,1,0,2,1
这是由某个事件引起的吗？,0,0,1,0
有时我们生气是因为我们想帮助别人，但我们觉得自己做不到，或者他们不让。你觉得你的生活中有一个人是你想要拯救或拯救的吗？,2,1,2,2
请尝试在您自己的时间完成协议。完成后，请返回并点击“继续”，以便我们评估进展情况。,2,2,2,2
这是很久以前发生的，还是最近发生的？,0,1,1,1
谢谢你回答。在谈话中，你通常会考虑其他人的观点吗？,1,1,2,1
当出现问题时，你总是把责任归咎于自己吗？,0,0,1,0
你能告诉我是否有特定的情况让你有这种感觉吗？,1,2,2,2
谢谢你。您是否担心与您亲近的人之间的任何私人问题？,1,1,2,1
这是完全正常的，虽然我当然希望这对你来说是一次更积极的经历。我们再试一次怎么样？,2,2,2,2
