,gender,age,emotion,base,rewriting,semantic
0,男性,18-39,悲伤,这是由特别事件引起的吗？,,0
1,女性,40-69,悲伤,这是由特别事件引起的吗？,,0
3,女性,18-39,悲伤,这是由特别事件引起的吗？,,0
6,男性,40-69,悲伤,这是由特别事件引起的吗？,,0
50,男性,18-39,悲伤,这是由最近或遥远的事件（或多个事件）引起的吗？,,1
52,女性,18-39,悲伤,这是由最近或遥远的事件（或多个事件）引起的吗？,,1
54,女性,40-69,悲伤,这是由最近或遥远的事件（或多个事件）引起的吗？,,1
55,男性,40-69,悲伤,这是由最近或遥远的事件（或多个事件）引起的吗？,,1
97,男性,18-39,悲伤,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,,2
98,女性,40-69,悲伤,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,,2
100,女性,18-39,悲伤,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,,2
103,男性,40-69,悲伤,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,,2
145,男性,18-39,悲伤,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,,3
146,女性,40-69,悲伤,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,,3
148,女性,18-39,悲伤,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,,3
151,男性,40-69,悲伤,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,,3
193,男性,18-39,悲伤,谢谢。现在我会问一些问题以了解您的情况。,,4
194,女性,40-69,悲伤,谢谢。现在我会问一些问题以了解您的情况。,,4
196,女性,18-39,悲伤,谢谢。现在我会问一些问题以了解您的情况。,,4
199,男性,40-69,悲伤,谢谢。现在我会问一些问题以了解您的情况。,,4
243,男性,18-39,悲伤,您是否对某人有强烈的感受或表达以下任何情绪：,,5
244,女性,40-69,悲伤,您是否对某人有强烈的感受或表达以下任何情绪：,,5
246,女性,18-39,悲伤,您是否对某人有强烈的感受或表达以下任何情绪：,,5
249,男性,40-69,悲伤,您是否对某人有强烈的感受或表达以下任何情绪：,,5
293,女性,18-39,悲伤,您认为您应该成为别人的救星吗？,,6
294,女性,40-69,悲伤,您认为您应该成为别人的救星吗？,,6
295,男性,18-39,悲伤,您认为您应该成为别人的救星吗？,,6
297,男性,40-69,悲伤,您认为您应该成为别人的救星吗？,,6
341,女性,18-39,悲伤,您是否将自己视为受害者，将自己的负面情绪归咎于他人？,,7
342,女性,40-69,悲伤,您是否将自己视为受害者，将自己的负面情绪归咎于他人？,,7
343,男性,18-39,悲伤,您是否将自己视为受害者，将自己的负面情绪归咎于他人？,,7
345,男性,40-69,悲伤,您是否将自己视为受害者，将自己的负面情绪归咎于他人？,,7
389,女性,18-39,悲伤,您觉得您在试图控制某人吗？,,8
390,女性,40-69,悲伤,您觉得您在试图控制某人吗？,,8
391,男性,18-39,悲伤,您觉得您在试图控制某人吗？,,8
393,男性,40-69,悲伤,您觉得您在试图控制某人吗？,,8
436,女性,18-39,悲伤,当出现问题时，您是否总是责怪和指责自己？,,9
437,女性,40-69,悲伤,当出现问题时，您是否总是责怪和指责自己？,,9
438,男性,18-39,悲伤,当出现问题时，您是否总是责怪和指责自己？,,9
440,男性,40-69,悲伤,当出现问题时，您是否总是责怪和指责自己？,,9
485,女性,18-39,悲伤,在之前的对话中，您是否考虑过其他提出的观点？,,10
486,女性,40-69,悲伤,在之前的对话中，您是否考虑过其他提出的观点？,,10
487,男性,18-39,悲伤,在之前的对话中，您是否考虑过其他提出的观点？,,10
488,男性,40-69,悲伤,在之前的对话中，您是否考虑过其他提出的观点？,,10
532,女性,18-39,悲伤,您是否正在经历个人危机（与亲人相处有困难，例如与朋友闹翻）？,,11
533,女性,40-69,悲伤,您是否正在经历个人危机（与亲人相处有困难，例如与朋友闹翻）？,,11
534,男性,18-39,悲伤,您是否正在经历个人危机（与亲人相处有困难，例如与朋友闹翻）？,,11
536,男性,40-69,悲伤,您是否正在经历个人危机（与亲人相处有困难，例如与朋友闹翻）？,,11
581,男性,18-39,愤怒,这是由特别事件引起的吗？,,0
583,女性,40-69,愤怒,这是由特别事件引起的吗？,,0
584,男性,40-69,愤怒,这是由特别事件引起的吗？,,0
585,女性,18-39,愤怒,这是由特别事件引起的吗？,,0
625,男性,18-39,愤怒,这是由最近或遥远的事件（或多个事件）引起的吗？,,1
627,女性,40-69,愤怒,这是由最近或遥远的事件（或多个事件）引起的吗？,,1
628,男性,40-69,愤怒,这是由最近或遥远的事件（或多个事件）引起的吗？,,1
629,女性,18-39,愤怒,这是由最近或遥远的事件（或多个事件）引起的吗？,,1
669,男性,18-39,愤怒,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,,2
671,女性,40-69,愤怒,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,,2
672,男性,40-69,愤怒,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,,2
676,女性,18-39,愤怒,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,,2
711,男性,18-39,愤怒,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,,3
713,女性,40-69,愤怒,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,,3
714,男性,40-69,愤怒,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,,3
718,女性,18-39,愤怒,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,,3
753,男性,18-39,愤怒,谢谢。现在我会问一些问题以了解您的情况。,,4
756,女性,40-69,愤怒,谢谢。现在我会问一些问题以了解您的情况。,,4
757,男性,40-69,愤怒,谢谢。现在我会问一些问题以了解您的情况。,,4
758,女性,18-39,愤怒,谢谢。现在我会问一些问题以了解您的情况。,,4
798,男性,18-39,愤怒,您是否对某人有强烈的感受或表达以下任何情绪：,,5
800,女性,40-69,愤怒,您是否对某人有强烈的感受或表达以下任何情绪：,,5
801,男性,40-69,愤怒,您是否对某人有强烈的感受或表达以下任何情绪：,,5
805,女性,18-39,愤怒,您是否对某人有强烈的感受或表达以下任何情绪：,,5
840,女性,18-39,愤怒,您认为您应该成为别人的救星吗？,,6
841,女性,40-69,愤怒,您认为您应该成为别人的救星吗？,,6
842,男性,18-39,愤怒,您认为您应该成为别人的救星吗？,,6
844,男性,40-69,愤怒,您认为您应该成为别人的救星吗？,,6
884,女性,18-39,愤怒,您是否将自己视为受害者，将自己的负面情绪归咎于他人？,,7
885,女性,40-69,愤怒,您是否将自己视为受害者，将自己的负面情绪归咎于他人？,,7
