,gender,age,emotion,base,rewriting,semantic
0,男性,18-39,悲伤,特别事,,0
1,女性,40-69,悲伤,特别事,,0
3,女性,18-39,悲伤,特别事,,0
6,男性,40-69,悲伤,特别事,,0
50,男性,18-39,悲伤,最近或遥远,,1
52,女性,18-39,悲伤,最近或遥远,,1
54,女性,40-69,悲伤,最近或遥远,,1
55,男性,40-69,悲伤,最近或遥远,,1
97,男性,18-39,悲伤,协议6,,2
98,女性,40-69,悲伤,协议6,,2
100,女性,18-39,悲伤,协议6,,2
103,男性,40-69,悲伤,协议6,,2
145,男性,18-39,悲伤,协议11,,3
146,女性,40-69,悲伤,协议11,,3
148,女性,18-39,悲伤,协议11,,3
151,男性,40-69,悲伤,协议11,,3
193,男性,18-39,悲伤,问一些问题,,4
194,女性,40-69,悲伤,问一些问题,,4
196,女性,18-39,悲伤,问一些问题,,4
199,男性,40-69,悲伤,问一些问题,,4
243,男性,18-39,悲伤,以下情绪,,5
244,女性,40-69,悲伤,以下情绪,,5
246,女性,18-39,悲伤,以下情绪,,5
249,男性,40-69,悲伤,以下情绪,,5
293,女性,18-39,悲伤,救星,,6
294,女性,40-69,悲伤,救星,,6
295,男性,18-39,悲伤,救星,,6
297,男性,40-69,悲伤,救星,,6
341,女性,18-39,悲伤,受害者,,7
342,女性,40-69,悲伤,受害者,,7
343,男性,18-39,悲伤,受害者,,7
345,男性,40-69,悲伤,受害者,,7
389,女性,18-39,悲伤,控制某人,,8
390,女性,40-69,悲伤,控制某人,,8
391,男性,18-39,悲伤,控制某人,,8
393,男性,40-69,悲伤,控制某人,,8
436,女性,18-39,悲伤,责怪自己,,9
437,女性,40-69,悲伤,责怪自己,,9
438,男性,18-39,悲伤,责怪自己,,9
440,男性,40-69,悲伤,责怪自己,,9
485,女性,18-39,悲伤,考虑其他,,10
486,女性,40-69,悲伤,考虑其他,,10
487,男性,18-39,悲伤,考虑其他,,10
488,男性,40-69,悲伤,考虑其他,,10
532,女性,18-39,悲伤,个人危机,,11
533,女性,40-69,悲伤,个人危机,,11
534,男性,18-39,悲伤,个人危机,,11
536,男性,40-69,悲伤,个人危机,,11
581,男性,18-39,愤怒,特别事,,0
583,女性,40-69,愤怒,特别事,,0
584,男性,40-69,愤怒,特别事,,0
585,女性,18-39,愤怒,特别事,,0
625,男性,18-39,愤怒,最近或遥远,,1
627,女性,40-69,愤怒,最近或遥远,,1
628,男性,40-69,愤怒,最近或遥远,,1
629,女性,18-39,愤怒,最近或遥远,,1
669,男性,18-39,愤怒,协议6,,2
671,女性,40-69,愤怒,协议6,,2
672,男性,40-69,愤怒,协议6,,2
676,女性,18-39,愤怒,协议6,,2
711,男性,18-39,愤怒,协议11,,3
713,女性,40-69,愤怒,协议11,,3
714,男性,40-69,愤怒,协议11,,3
718,女性,18-39,愤怒,协议11,,3
753,男性,18-39,愤怒,问一些问题,,4
756,女性,40-69,愤怒,问一些问题,,4
757,男性,40-69,愤怒,问一些问题,,4
758,女性,18-39,愤怒,问一些问题,,4
798,男性,18-39,愤怒,以下情绪,,5
800,女性,40-69,愤怒,以下情绪,,5
801,男性,40-69,愤怒,以下情绪,,5
805,女性,18-39,愤怒,以下情绪,,5
840,女性,18-39,愤怒,救星,,6
841,女性,40-69,愤怒,救星,,6
842,男性,18-39,愤怒,救星,,6
844,男性,40-69,愤怒,救星,,6
884,女性,18-39,愤怒,受害者,,7
885,女性,40-69,愤怒,受害者,,7
886,男性,18-39,愤怒,受害者,,7
888,男性,40-69,愤怒,受害者,,7
927,女性,18-39,愤怒,控制某人,,8
928,女性,40-69,愤怒,控制某人,,8
929,男性,18-39,愤怒,控制某人,,8
931,男性,40-69,愤怒,控制某人,,8
970,女性,18-39,愤怒,责怪自己,,9
971,女性,40-69,愤怒,责怪自己,,9
972,男性,18-39,愤怒,责怪自己,,9
974,男性,40-69,愤怒,责怪自己,,9
1015,女性,18-39,愤怒,考虑其他,,10
1016,女性,40-69,愤怒,考虑其他,,10
1017,男性,18-39,愤怒,考虑其他,,10
1019,男性,40-69,愤怒,考虑其他,,10
1059,女性,18-39,愤怒,个人危机,,11
1060,女性,40-69,愤怒,个人危机,,11
1061,男性,18-39,愤怒,个人危机,,11
1063,男性,40-69,愤怒,个人危机,,11
1101,女性,18-39,焦虑,特别事,,0
1102,男性,18-39,焦虑,特别事,,0
1103,女性,40-69,焦虑,特别事,,0
1105,男性,40-69,焦虑,特别事,,0
1150,女性,18-39,焦虑,最近或遥远,,1
1151,男性,18-39,焦虑,最近或遥远,,1
1152,女性,40-69,焦虑,最近或遥远,,1
1154,男性,40-69,焦虑,最近或遥远,,1
1200,女性,18-39,焦虑,协议6,,2
1201,男性,18-39,焦虑,协议6,,2
1202,女性,40-69,焦虑,协议6,,2
1204,男性,40-69,焦虑,协议6,,2
1249,女性,18-39,焦虑,协议11,,3
1250,男性,18-39,焦虑,协议11,,3
1251,女性,40-69,焦虑,协议11,,3
1253,男性,40-69,焦虑,协议11,,3
1298,女性,18-39,焦虑,问一些问题,,4
1299,男性,18-39,焦虑,问一些问题,,4
1300,女性,40-69,焦虑,问一些问题,,4
1302,男性,40-69,焦虑,问一些问题,,4
1348,女性,18-39,焦虑,以下情绪,,5
1349,男性,18-39,焦虑,以下情绪,,5
1350,女性,40-69,焦虑,以下情绪,,5
1352,男性,40-69,焦虑,以下情绪,,5
1398,女性,18-39,焦虑,救星,,6
1400,男性,40-69,焦虑,救星,,6
1401,女性,40-69,焦虑,救星,,6
1402,男性,18-39,焦虑,救星,,6
1448,女性,18-39,焦虑,受害者,,7
1450,男性,40-69,焦虑,受害者,,7
1451,女性,40-69,焦虑,受害者,,7
1452,男性,18-39,焦虑,受害者,,7
1498,女性,18-39,焦虑,控制某人,,8
1500,男性,40-69,焦虑,控制某人,,8
1501,女性,40-69,焦虑,控制某人,,8
1502,男性,18-39,焦虑,控制某人,,8
1548,女性,18-39,焦虑,责怪自己,,9
1550,男性,40-69,焦虑,责怪自己,,9
1551,女性,40-69,焦虑,责怪自己,,9
1552,男性,18-39,焦虑,责怪自己,,9
1598,女性,18-39,焦虑,考虑其他,,10
1600,男性,40-69,焦虑,考虑其他,,10
1601,女性,40-69,焦虑,考虑其他,,10
1602,男性,18-39,焦虑,考虑其他,,10
1648,女性,18-39,焦虑,个人危机,,11
1650,男性,40-69,焦虑,个人危机,,11
1651,女性,40-69,焦虑,个人危机,,11
1652,男性,18-39,焦虑,个人危机,,11
1698,女性,18-39,快乐,推荐协议,,12
1700,男性,40-69,快乐,推荐协议,,12
1701,女性,40-69,快乐,推荐协议,,12
1702,男性,18-39,快乐,推荐协议,,12
1747,女性,18-39,所有情绪,感受{},,13
1749,男性,40-69,所有情绪,感受{},,13
1750,女性,40-69,所有情绪,感受{},,13
1751,男性,18-39,所有情绪,感受{},,13
1797,女性,18-39,所有情绪,选择情绪,,14
1799,男性,40-69,所有情绪,选择情绪,,14
1800,女性,40-69,所有情绪,选择情绪,,14
1801,男性,18-39,所有情绪,选择情绪,,14
1847,女性,18-39,所有情绪,感谢再见,,15
1849,男性,40-69,所有情绪,感谢再见,,15
1850,女性,40-69,所有情绪,感谢再见,,15
1851,男性,18-39,所有情绪,感谢再见,,15
1897,女性,18-39,所有情绪,选择协议,,16
1898,男性,18-39,所有情绪,选择协议,,16
1899,女性,40-69,所有情绪,选择协议,,16
1901,男性,40-69,所有情绪,选择协议,,16
1946,女性,18-39,所有情绪,尝试协议,,17
1947,男性,18-39,所有情绪,尝试协议,,17
1948,女性,40-69,所有情绪,尝试协议,,17
1950,男性,40-69,所有情绪,尝试协议,,17
1995,女性,18-39,所有情绪,更好还是更糟,,18
