response,annotator1_score,annotator2_score,annotator3_score,empathy_score
"When you've selected the protocol you want to try, please begin the protocol. When you have finished, you may press 'continue' to carry on.",1,2,2,2
Did something happen to you?,0,0,1,0
"Thank you for taking part, I really appreciate it and your efforts are very valuable. Have a good day!",2,1,2,2
I am grateful for your participation. I hope to work with you again soon.,1,2,2,2
"Thank you for being so open, I'm trying to determine the best way to help and know how hard it is to revisit trauma. I would like to know if Protocol 6 proved too painful for you?",2,2,2,2
"I am sorry this has not made you feel better, somtimes it may be necessary to try different protocols before feeling better. Would you like to attempt another one which hopefully will be much more helpful to you?",2,2,2,2
"Thank you for that, perhaps Protocol 6 could help you deal with this event, however before I can recommend it i'd like to make sure that you haven't had a bad experience with it in the past. Have you recently tried Protocol 6, and if you have, did it bring up difficult emotions from past events?",2,1,2,2
"Thank you. As a result of your current emotion, are you feeling the need to control others?",1,2,2,2
I think it might help if we talk about what caused you to feel like this. Was it a specific event that distressed you?,2,2,2,2
"Give it a go now, please. When you're done, just hit 'continue'.",0,0,1,0
"Thank you very much for your answer. I would now like to ask you if you see yourself as the victim of the situation, and someone else is to blame for your painful feelings?",2,1,2,2
Was this recent or did it happen in the past?,0,0,1,0
How about responsibility for what is happening in your life. Do you feel you are always the one to blame for things that go wrong?,1,0,2,1
Was this caused by a certain event?,0,0,1,0
"Sometimes when we're angry, it's because we want to help people, but we feel we can't or they won't let us. Do you feel that there is someone in your life who you're trying to save or rescue?",2,1,2,2
"Please try finishing the protocol in your own time. When you're done with it, please come back and hit 'continue', so we can assess how that went.",2,2,2,2
"Did this happen a long time ago, or fairly recently?",0,1,1,1
"Thank you for answering that. During a conversation, do you usually consider other people's point of view?",1,1,2,1
"When something goes wrong, do you always give yourself the blame?",0,0,1,0
Would you be able to tell me if there are specific situations that are making you feel this way?,1,2,2,2
Thank you. Are you worried about any personal issues between you and people close to you?,1,1,2,1
"That is perfectly normal, although of course I wish it had been a more positive experience for you. How about we try one more?",2,2,2,2
"Thanks, it's been great having this conversation with you. I hope we meet again soon.",2,2,2,2
"Thanks for doing that. Has it made a difference? Do you feel better now, or worse?",1,2,1,1
Would you say that you were able to really consider other viewpoints when they arose in previous conversations?,1,0,1,1
Have you thought about the various viewpoints and perspectives that could change your view of your current situation?,1,0,1,1
