,gender,age,emotion,base,rewriting,semantic,empathy
0,男性,40-69,悲伤,谢谢。现在我会问一些问题以了解您的情况。,谢谢你。我想问你一些更多的问题，可能有助于我理解。,4,1
1,男性,40-69,愤怒,在之前的对话中，您是否考虑过其他提出的观点？,你认为自己是一个能够真正倾听他人意见的人吗？,10,0
2,男性,18-39,愤怒,您是否将自己视为受害者，将自己的负面情绪归咎于他人？,你认为自己是别人行为的受害者吗？,7,0
3,男性,40-69,悲伤,您觉得您在试图控制某人吗？,谢谢，我明白了。你是否有可能很难控制别人？,8,1
4,男性,40-69,焦虑,您是否对某人有强烈的感受或表达以下任何情绪：,很高兴您已经认识到您目前的感受，让我们看看我们是否可以识别其他一直困扰着您的负面情绪。您最近是否对任何人感到或表达过以下任何一种情况：,5,2
5,男性,18-39,焦虑,您认为您应该成为别人的救星吗？,谢谢你。如果我问，你觉得你必须总是帮助别人吗？,6,1
6,女性,40-69,愤怒,您是否对某人有强烈的感受或表达以下任何情绪：,您是否曾有过以下强烈情绪的感受或表现：,5,0
7,男性,40-69,悲伤,这是由最近或遥远的事件（或多个事件）引起的吗？,那件事是最近发生的，还是在你过去更遥远？,1,1
8,男性,18-39,悲伤,当出现问题时，您是否总是责怪和指责自己？,当事情出错时，你是否总是不断地责备和指责自己，即使在内心深处你能认识到这不是你自己的错？,9,1
9,女性,18-39,所有情绪,我很抱歉。请从下面的情绪中选择最能反映您感受的情绪：,我很抱歉。您想通过自己选择来帮助我了解您的感受吗？,14,2
10,女性,18-39,焦虑,您是否将自己视为受害者，将自己的负面情绪归咎于他人？,你觉得有人要怪你吗？,7,0
11,女性,40-69,焦虑,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,有时，当我们通过某些协议并发现，正如我们所做的那样，这些协议可以揭示负面情绪和体验。你有没有尝试过协议 11 但发现它太令人痛苦了？,3,2
12,男性,40-69,悲伤,您是否正在经历个人危机（与亲人相处有困难，例如与朋友闹翻）？,您最近是否与朋友或家人发生过任何导致这些负面情绪的重大问题？,11,1
13,男性,40-69,焦虑,您是否对某人有强烈的感受或表达以下任何情绪：,有时，焦虑可能会导致对他人缺乏信任、对他人感到愤怒或想要报复。您是否觉得您的焦虑可能导致您感受到以下任何其他情绪：,5,2
14,女性,40-69,悲伤,您认为您应该成为别人的救星吗？,您是否觉得处于无法帮助他人的境地很困难？,6,1
15,男性,40-69,焦虑,谢谢。现在我会问一些问题以了解您的情况。,好的谢谢。所以如果可以的话，让我问一些问题，以尝试更多地了解事情。,4,1
16,男性,40-69,悲伤,谢谢。现在我会问一些问题以了解您的情况。,很抱歉让您受到伤害，在我尝试进一步调查时请耐心等待。我想再问你一些问题，这样我才能更好地了解情况。,4,2
17,女性,40-69,所有情绪,您想尝试另一种协议吗？ （病人感觉好多了）,非常好。正如您暗示的那样，您感觉心情更好，您想继续执行另一个协议吗？,19,2
18,男性,40-69,焦虑,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,我意识到克服过去的消极想法可能很困难。最近尝试协议 6 是否让您回忆起这个事件，从而使您记忆犹新，并让您感到焦虑？,2,2
19,男性,18-39,焦虑,您是否对某人有强烈的感受或表达以下任何情绪：,您是否对一个或多个人有以下任何感受：,5,0
20,女性,18-39,焦虑,这是由最近或遥远的事件（或多个事件）引起的吗？,这很难。那是最近发生的还是不久前发生的？无论哪种方式，您的感受都是完全有效的。,1,2
21,男性,18-39,愤怒,在之前的对话中，您是否考虑过其他提出的观点？,你真的觉得你在之前的谈话中总是能够考虑其他观点吗？,10,0
22,男性,40-69,焦虑,这是由特别事件引起的吗？,我了解您可能感到焦虑，如果您能提供更多详细信息，我愿意帮助您。认为这可能与任何特定事件有关吗？,0,2
23,女性,18-39,悲伤,您是否对某人有强烈的感受或表达以下任何情绪：,如果可以继续，你能告诉我你是否对某人表达过以下任何情绪：,5,1
24,女性,18-39,所有情绪,这是我的建议，请选择您想尝试的协议,如果你愿意，我有一些我认为可以帮助你的建议。在以下协议中，您现在想尝试其中一种吗？如果是，请选择它。,16,2
25,女性,18-39,愤怒,谢谢。现在我会问一些问题以了解您的情况。,你现在的感受是一种有效的情绪。我想问一些问题以了解您来自哪里。,4,1
26,女性,18-39,悲伤,您认为您应该成为别人的救星吗？,你是否觉得肩上有一份拯救他人的重担？,6,0
27,女性,18-39,焦虑,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,有时，重温创伤性事件可能比它的价值更痛苦。你最近有没有尝试过重温这个事件，但发现它太难了？,3,2
28,男性,18-39,悲伤,您觉得您在试图控制某人吗？,如果您必须对自己诚实，您是否觉得您可以或想要控制某人？,8,1
29,女性,40-69,悲伤,这是由特别事件引起的吗？,是不是发生了什么事情导致了这种情况？,0,0
30,男性,40-69,愤怒,这是由特别事件引起的吗？,你能告诉我你的愤怒是否是由特定事件引起的吗？,0,1
31,女性,40-69,所有情绪,这是我的建议，请选择您想尝试的协议,您可以选择多种选择，因此我有不止一个建议。也许您可以选择一种您现在喜欢使用的协议。,16,1
32,女性,40-69,愤怒,您是否对某人有强烈的感受或表达以下任何情绪：,我现在要向你展示一份情绪清单。请告诉我您是否对某人有过强烈的感受或表达过以下任何情绪：,5,1
33,男性,40-69,悲伤,这是由最近或遥远的事件（或多个事件）引起的吗？,你能告诉我更多关于发生的事情吗？这个事件是遥远的还是最近的？,1,1
34,女性,18-39,愤怒,您认为您应该成为别人的救星吗？,你是不是总觉得需要拯救生命中的人？,6,0
35,女性,18-39,所有情绪,采取此协议后，您感觉更好还是更糟？,做完这些后你感觉如何，你感觉好些了还是更糟了？,18,1
36,女性,40-69,焦虑,在之前的对话中，您是否考虑过其他提出的观点？,您是否完全了解您当前情况的另一面，您是否知道或曾经考虑过对他人的影响？,10,0
37,女性,18-39,愤怒,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,您是否能够尝试协议 6，并且您是否觉得它对您的情绪产生了负面影响？,2,1
38,男性,18-39,悲伤,您是否对某人有强烈的感受或表达以下任何情绪：,如果可以的话，在有人陪伴时，您是否有过以下强烈感受或情绪：,5,1
39,女性,40-69,所有情绪,这是我的建议，请选择您想尝试的协议,以下是您今天可以尝试的一些协议建议。我希望您选择您想尝试的协议。,16,1
40,男性,18-39,悲伤,当出现问题时，您是否总是责怪和指责自己？,请告诉我，当事情出错时，你总是把责任推给自己吗？,9,1
41,女性,18-39,愤怒,您认为您应该成为别人的救星吗？,你相信拯救别人是你的责任吗？,6,0
42,女性,18-39,愤怒,您觉得您在试图控制某人吗？,对自己完全诚实，你会说你总是觉得需要控制吗？,8,1
43,女性,18-39,悲伤,您是否对某人有强烈的感受或表达以下任何情绪：,你能告诉我你最近是否有以下任何情绪，或者你是否向其他人展示过这些情绪：,5,1
44,女性,40-69,悲伤,您认为您应该成为别人的救星吗？,你觉得多帮助别人可以改善你自己的情况吗？,6,0
45,女性,40-69,悲伤,这是由特别事件引起的吗？,请告诉我，这是由特定事件引起的吗？,0,1
46,男性,18-39,焦虑,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,协议 11 可能对您的情况有所帮助，但它并不适合所有人，因此我想了解它是否适​​合您。您过去是否已经使用过协议 11，并发现它因旧事件而重新点燃了无法控制的情绪？,3,2
47,男性,18-39,所有情绪,请现在尝试通过此协议。完成后，按“继续”,当您选择了要尝试的协议后，请开始该协议。完成后，您可以按“继续”继续。,17,2
48,男性,40-69,快乐,那很好！让我推荐一个您可以尝试的协议。,这真是太棒了。你想尝试一个协议吗？,12,1
49,女性,40-69,所有情绪,您想尝试另一种协议吗？ （病人感觉更糟）,很抱歉这没有帮助。您想尝试其他协议吗？,19,1
50,男性,18-39,所有情绪,根据您所说的，我相信您正在感受{}。这个对吗？,谢谢你。如果我理解正确，您的感觉是 {}，对吗？,13,1
51,男性,40-69,焦虑,这是由特别事件引起的吗？,我很抱歉听到这个，我可以联系。有没有什么特别的事情让你有这种感觉？,0,2
52,男性,40-69,愤怒,您是否正在经历个人危机（与亲人相处有困难，例如与朋友闹翻）？,你现在是否发现自己压力很大，与同事、朋友或家人有问题？,11,1
53,男性,18-39,焦虑,当出现问题时，您是否总是责怪和指责自己？,你总是把自己的不幸归咎于自己吗？,9,0
54,女性,40-69,悲伤,您是否将自己视为受害者，将自己的负面情绪归咎于他人？,没关系，谢谢你让我知道。有没有人因为你的悲伤而特别责备谁？,7,2
55,女性,40-69,悲伤,在之前的对话中，您是否考虑过其他提出的观点？,与您交流过的其他人可能提供了一些建议。其他人提出的任何建议对您有帮助吗？,10,1
56,男性,40-69,所有情绪,请现在尝试通过此协议。完成后，按“继续”,我希望你现在开始协议。然后当你完成时，只需按“继续”。,17,1
57,女性,18-39,悲伤,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,您是否尝试遵循协议 11，如果是这样，您是否感到不安？,3,1
58,女性,18-39,悲伤,谢谢。现在我会问一些问题以了解您的情况。,感谢你的分享。如果没问题，我会问几个问题，以便更好地了解您正在经历的事情。,4,1
59,男性,18-39,所有情绪,根据您所说的，我相信您正在感受{}。这个对吗？,我相信从您所说的一切中您感受到{}，这是否准确？,13,1
60,女性,18-39,所有情绪,请现在尝试通过此协议。完成后，按“继续”,花点时间通读一遍以理解，如果可以，请尝试通读整件事。完成后只需点击“继续”按钮。,17,2
61,男性,18-39,愤怒,您觉得您在试图控制某人吗？,您是否担心可能会将这些愤怒情绪发泄到某人身上，并试图控制它们？,8,2
62,男性,40-69,悲伤,您觉得您在试图控制某人吗？,你觉得你有能力影响你生活中的其他人吗？,8,0
63,男性,18-39,悲伤,您是否将自己视为受害者，将自己的负面情绪归咎于他人？,你觉得别人在试图伤害你吗？,7,0
64,男性,18-39,悲伤,这是由特别事件引起的吗？,是不是发生了什么事情导致了这种感觉？,0,0
65,男性,40-69,悲伤,您是否正在经历个人危机（与亲人相处有困难，例如与朋友闹翻）？,如果你不介意我问这个，家人、朋友有什么问题吗？,11,1
66,女性,18-39,悲伤,这是由最近或遥远的事件（或多个事件）引起的吗？,我明白了，谢谢。这个事件是最近的还是更远的？不管怎样，我希望这对你来说没有太大的创伤。,1,2
67,男性,40-69,所有情绪,这是我的建议，请选择您想尝试的协议,所以这就是我的建议，我很想知道您想选择哪种协议。,16,1
68,女性,40-69,快乐,那很好！让我推荐一个您可以尝试的协议。,好的！如果您愿意，让我们通过协议来探索更多关于这些感受的信息。,12,1
69,男性,18-39,焦虑,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,在某些情况下，协议 6 可用于回顾特别创伤性事件，但这有时会引发麻烦的情绪反应。你之前有没有使用过协议6，它有没有让你有任何无法控制的情绪？,2,2
70,女性,40-69,焦虑,您是否对某人有强烈的感受或表达以下任何情绪：,稍后我将列出一些情绪。您是否对某人有强烈的以下任何情绪，甚至对他们采取行动：,5,1
71,男性,40-69,悲伤,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,您最近是否尝试推进协议 11，并且您重新审视的创伤是否变得难以处理？,3,1
72,男性,18-39,焦虑,这是由特别事件引起的吗？,我很抱歉听到它。是不是有什么特别的事情让你有这种感觉？,0,2
73,男性,18-39,悲伤,您觉得您在试图控制某人吗？,你觉得你可能试图影响或改变别人的行为吗？,8,1
74,男性,18-39,焦虑,谢谢。现在我会问一些问题以了解您的情况。,感谢您与我分享这一点，我知道这样的事情很难公开。我想提供帮助，为此，我需要询问一些有关您的情况的问题。,4,2
75,男性,18-39,愤怒,当出现问题时，您是否总是责怪和指责自己？,你有没有想过这种不好的感觉是否是因为你总是在出现问题时责备自己并指责自己？,9,1
76,女性,18-39,所有情绪,这是我的建议，请选择您想尝试的协议,我有一些我认为可能在这里工作的建议。请继续看一看，您可以选择您觉得最舒服的协议。,16,2
77,男性,40-69,愤怒,您是否对某人有强烈的感受或表达以下任何情绪：,请问您是否感受到或表达了以下任何一种情绪：,5,1
78,男性,18-39,愤怒,这是由特别事件引起的吗？,如果你能告诉我更多，我可以更好地帮助你。是否有特定事件让您有这种感觉？,0,1
79,男性,18-39,悲伤,这是由特别事件引起的吗？,你还记得是否有什么事情让你有这种感觉吗？,0,0
80,女性,18-39,焦虑,您是否将自己视为受害者，将自己的负面情绪归咎于他人？,最近，你是否觉得人们“想要抓住你”？,7,0
81,女性,40-69,所有情绪,这是我的建议，请选择您想尝试的协议,根据您与我分享的内容，我认为这些建议适合您。请您告诉我您想尝试哪些协议？,16,1
82,女性,18-39,愤怒,您认为您应该成为别人的救星吗？,你会说你倾向于救人吗？,6,1
83,男性,18-39,愤怒,在之前的对话中，您是否考虑过其他提出的观点？,老实说，当别人向您提出意见时，您是否真的觉得您总是会考虑并尊重他人的意见？,10,1
84,男性,40-69,愤怒,在之前的对话中，您是否考虑过其他提出的观点？,您是否会说，当其他观点出现在之前的对话中时，您真的能够考虑这些观点吗？,10,1
85,女性,40-69,焦虑,在之前的对话中，您是否考虑过其他提出的观点？,在过去的互动中，您是否相信自己一直在倾听并听到其他表达的意见？,10,1
86,男性,18-39,焦虑,您是否正在经历个人危机（与亲人相处有困难，例如与朋友闹翻）？,感谢您迄今为止分享的一切。如果我问您，您是否觉得自己正在经历特别困难的情况，无论是与家人、朋友还是亲人？,11,2
87,女性,40-69,所有情绪,您想尝试另一种协议吗？ （病人感觉更糟）,很抱歉它现在不合适，我们可能需要尝试一些想法才能找到我们的方法。你现在准备好尝试另一个了吗？,19,2
88,女性,18-39,快乐,那很好！让我推荐一个您可以尝试的协议。,太棒了，我很高兴听到它。我可以推荐一种治疗方案来增强您的积极情绪吗？,12,2
89,男性,40-69,焦虑,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,您是否已经尝试过协议 11，但发现它不但没有缓解您的焦虑，反而使情况变得更糟？,3,1
90,女性,40-69,快乐,那很好！让我推荐一个您可以尝试的协议。,真是太棒了！我可以建议一个非常适合保持积极情绪的协议。,12,1
91,女性,40-69,悲伤,当出现问题时，您是否总是责怪和指责自己？,想想你过去对自己的感觉，你会说你觉得一切都是你的错吗？,9,1
92,男性,40-69,悲伤,您是否将自己视为受害者，将自己的负面情绪归咎于他人？,感谢您分享这个。你能告诉我你是否认为自己是受害者，把你的负面情绪归咎于别人吗？,7,2
93,女性,40-69,焦虑,在之前的对话中，您是否考虑过其他提出的观点？,您是否同意对同一主题的不同看法可以为我们打开其他可能性？,10,1
94,女性,18-39,焦虑,在之前的对话中，您是否考虑过其他提出的观点？,您是否正确考虑了可能以某种方式卷入这种情况的其他人的观点和观点？,10,1
95,女性,18-39,所有情绪,我很抱歉。请从下面的情绪中选择最能反映您感受的情绪：,哦，真的很抱歉，我当时一定是误会了。您能否通过从以下列表中选择来告诉我您的感受：,14,2
96,女性,18-39,焦虑,谢谢。现在我会问一些问题以了解您的情况。,非常感谢你告诉我。如果你不介意，我会问你几个问题，这样我才能更好地了解发生了什么。,4,2
97,女性,40-69,悲伤,谢谢。现在我会问一些问题以了解您的情况。,非常感谢你。我现在想通过问你一些额外的问题来更深入地了解你的困境。,4,2
98,女性,18-39,悲伤,这是由最近或遥远的事件（或多个事件）引起的吗？,谢谢，我明白了。你能告诉我这是最近发生的事情还是前一阵子发生的事情吗？我希望你没有因为这次事件而受到太多伤害。,1,2
99,男性,40-69,焦虑,这是由特别事件引起的吗？,你有什么事吗？,0,0
100,男性,40-69,快乐,那很好！让我推荐一个您可以尝试的协议。,哦，我很高兴听到这个消息！感觉快乐/满足是我们都想保持的东西，所以我可以推荐一个治疗方案，你可以用来增强和保持这种积极的感觉吗？,12,2
101,男性,40-69,愤怒,当出现问题时，您是否总是责怪和指责自己？,当您周围出现问题时，您是否发现自己总是或经常将自己定位为该受责备的人？,9,1
102,女性,18-39,所有情绪,采取此协议后，您感觉更好还是更糟？,你说你服用后感觉好些了还是更糟了？我真的希望我希望协议对您有所帮助，但如果情况并非如此，请随时告诉我。,18,2
103,男性,40-69,悲伤,当出现问题时，您是否总是责怪和指责自己？,没关系，谢谢。您是否认为您最近总是在为某事责备自己？,9,1
104,女性,18-39,焦虑,您觉得您在试图控制某人吗？,您是否认为您可能想要更多地控制其他人，也许是某个因您认为错误的行为而让您感到焦虑的人？,8,1
105,女性,40-69,焦虑,您认为您应该成为别人的救星吗？,我想让你知道我完全理解这种感觉是什么感觉，我接下来的问题可能会帮助我理解表面之下发生的事情。你认为你可以试图成为别人的救援者吗？,6,2
106,男性,18-39,悲伤,您认为您应该成为别人的救星吗？,您是否认为您总是必须将人们从麻烦中解救出来，即使他们是自己创造的？,6,1
107,女性,18-39,愤怒,您是否对某人有强烈的感受或表达以下任何情绪：,理解我们的情绪可能很困难。您是否会说您对以下情绪有任何强烈的感受或表达：,5,2
108,男性,40-69,所有情绪,采取此协议后，您感觉更好还是更糟？,没关系。既然你已经完成了协议，你能说你比开始之前感觉好还是坏？,18,1
109,男性,40-69,焦虑,当出现问题时，您是否总是责怪和指责自己？,当事情出错时，你总是认为是你自己的错吗？,9,0
110,女性,18-39,愤怒,当出现问题时，您是否总是责怪和指责自己？,你是否总是觉得自己是发生在你身上的困难或麻烦的主要责任人？,9,1
111,男性,40-69,焦虑,您是否对某人有强烈的感受或表达以下任何情绪：,我认为有时焦虑可能会带来其他强烈的情绪。你能告诉我你是否对某人有过或表达过以下任何情绪：,5,2
112,男性,40-69,悲伤,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,你有没有尝试通过尝试协议 11 来回想那件事，如果是这样，它是否会带来困难的情绪？,3,1
113,女性,18-39,悲伤,这是由最近或遥远的事件（或多个事件）引起的吗？,明白了，谢谢分享。这是最近发生的还是遥远的事件？,1,1
114,男性,18-39,所有情绪,请现在尝试通过此协议。完成后，按“继续”,太好了，现在我希望您尝试完成此协议。慢慢来，当你走到最后只需按“继续”。,17,2
115,男性,40-69,焦虑,您认为您应该成为别人的救星吗？,是不是您觉得有必要尝试拯救他人，而这可能是您感到焦虑的根源？,6,1
116,男性,18-39,焦虑,在之前的对话中，您是否考虑过其他提出的观点？,您是否觉得自己总是尽力倾听他人的意见，并在谈话中真正尝试理解他们？,10,1
117,女性,40-69,焦虑,您觉得您在试图控制某人吗？,您是否认为有时您会鼓励人们按照您认为应该的方式行事？,8,1
118,女性,18-39,焦虑,在之前的对话中，您是否考虑过其他提出的观点？,我明白了，谢谢你，以及你如何与他人相处。你能不能坦率地说，你考虑到了别人的感受，仔细倾听了他们对你说的话？,10,2
119,男性,18-39,悲伤,当出现问题时，您是否总是责怪和指责自己？,偶尔为我们的问题责备自己是正常的，但我们应该小心不要把它变成一种破坏性的习惯。你有没有注意到你总是为任何出错的事情责备自己？,9,2
120,女性,18-39,所有情绪,根据您所说的，我相信您正在感受{}。这个对吗？,从您的回复看来，您今天感觉{}，我说的对吗？,13,1
121,女性,18-39,焦虑,您是否正在经历个人危机（与亲人相处有困难，例如与朋友闹翻）？,您目前在生活中是否有任何个人问题或困难？,11,0
122,女性,18-39,快乐,那很好！让我推荐一个您可以尝试的协议。,很高兴听到！我可以给你看一个可能会增强你现在感觉的协议吗？,12,1
123,女性,40-69,所有情绪,这是我的建议，请选择您想尝试的协议,所以我有一些协议建议我认为对你很有效；这里有一些建议，所以看看吧。您认为哪种协议适合您？,16,1
124,男性,40-69,愤怒,您是否对某人有强烈的感受或表达以下任何情绪：,您是否有以下任何强烈感受和/或您向某人表达过它们：,5,0
125,女性,18-39,所有情绪,请现在尝试通过此协议。完成后，按“继续”,太好了，那我们继续吧。尽最大努力完成后，请返回并按“继续”。,17,2
126,女性,18-39,所有情绪,您想尝试另一种协议吗？ （病人感觉更糟）,你想用不同的方式再试一次吗？,19,0
127,女性,18-39,焦虑,当出现问题时，您是否总是责怪和指责自己？,当出现问题时，您是否发现自己总是向内看，并指责和指责自己？,9,0
128,女性,40-69,悲伤,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,您最近是否尝试过协议 11，并发现它使最近发生的事件引起的无法控制的情绪恢复生机？,3,1
129,男性,18-39,悲伤,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,你是否尝试过协议 6，如果是，你是否对过去有消极的想法，导致你的思绪在那个方向徘徊？,2,1
130,男性,18-39,所有情绪,根据您所说的，我相信您正在感受{}。这个对吗？,明白了，谢谢分享。我认为您有 {} 的感觉，我这样说是否正确？,13,2
131,男性,18-39,焦虑,您觉得您在试图控制某人吗？,我很感激你对我敞开心扉。在这一切中，您是否看到自己试图影响或控制他人的行为？,8,2
