emotion,base,rewriting,semantic,transformation
悲伤,这是由特别事件引起的吗？,我很遗憾听到你感到难过。你知道是什么导致了这种悲伤的感觉，这是一个特定的事件吗？,0,HIGH
悲伤,请告诉我，这是由特定事件引起的吗？,我很抱歉。这是由特定事件引起的吗？,0,LOW
悲伤,我很抱歉听到这个。你能找出让你有这种感觉的具体事件吗？,是不是发生了什么事情导致了你现在的感觉？,0,LOW
悲伤,这是由特别事件引起的吗？,你能想到发生这种情况的具体原因吗？,0,HIGH
悲伤,我很抱歉。这是由特定事件引起的吗？,这是由特别事件引起的吗？,0,LOW
悲伤,有没有发生什么事情让你有这种感觉？,请告诉我这种感觉是否源于某个事件？,0,HIGH
悲伤,谢谢你让我知道，我非常抱歉你有这种感觉。请问这种感觉是不是有什么特殊原因？,这是由特别事件引起的吗？,0,LOW
悲伤,这是由特别事件引起的吗？,有没有发生什么特别的事情让你有这种感觉？,0,HIGH
悲伤,你觉得哪让我觉得抱歉。这是由特定原因引起的吗？,是不是发生了什么事情导致了你现在的感觉？,0,LOW
悲伤,是不是发生了什么特别的事情导致了这种情况？,谢谢，我明白了。是不是有什么特别的原因导致了这种情况？,0,HIGH
悲伤,这是由特别事件引起的吗？,为了让您感觉更好，我需要了解是否发生了什么事情导致了这种情况。是否有特定事件让您感到悲伤？,0,HIGH
悲伤,请告诉我，这是由特定事件引起的吗？,这是由特别事件引起的吗？,0,LOW
悲伤,很抱歉听到这个，我可以理解。是否有导致这种情况的事件？,这是由特别事件引起的吗？,0,LOW
悲伤,这是由特别事件引起的吗？,是不是有什么特别的事情带来了这种感觉？,0,HIGH
悲伤,是否有什么特别的事情似乎引起了这种感觉？,有没有发生什么事情让你有这种感觉？,0,HIGH
悲伤,如果您不介意分享，您是否因为某个特定事件而有这种感觉？,听到你很难过，我很抱歉。有什么事情让你难过吗？,0,HIGH
悲伤,是不是发生了什么事情导致了这种情况？,你觉得哪让我觉得抱歉。这是由特定原因引起的吗？,0,HIGH
悲伤,这是由特别事件引起的吗？,我很抱歉听到这个。你能想到导致这种情况发生的具体原因吗？,0,HIGH
悲伤,我很遗憾听到你感觉不舒服。有什么特别的事情让你有这种感觉吗？,这可能与特定事件有关吗？,0,LOW
悲伤,是不是有什么特别的事情带来了这种感觉？,谢谢，我明白了。是不是有什么特别的原因导致了这种情况？,0,HIGH
悲伤,在这种感觉之前发生了什么吗？,这是由特别事件引起的吗？,0,LOW
悲伤,我很遗憾听到你感觉不舒服。有什么特别的事情让你有这种感觉吗？,有没有发生什么事情让你有这种感觉？,0,LOW
悲伤,这是由特别事件引起的吗？,是不是发生了什么事情导致了这种情况？,0,HIGH
悲伤,在这种感觉之前发生了什么吗？,请问，有什么具体原因吗？,0,HIGH
悲伤,我很遗憾听到你有这种感觉。你能告诉我是否有特定的事件导致了这种情况？,是不是有什么特别的事情带来了这种感觉？,0,LOW
悲伤,这是由特别事件引起的吗？,我很抱歉听到这个。会不会是因为某个事件？如果是这样，我希望这对你来说不是太难。,0,HIGH
悲伤,感谢您与我分享您的情绪，我知道现在可能很难处理它们。为了我能更好地帮助你，你能告诉我具体的事件是否让你有这种感觉吗？,你觉得哪让我觉得抱歉。这是由特定原因引起的吗？,0,HIGH
悲伤,你的情绪是由什么特定的事情引起的吗？,我很遗憾听到你感觉不舒服。有什么特别的事情让你有这种感觉吗？,0,HIGH
悲伤,我很遗憾听到你有这种感觉。你能告诉我是否有特定的事件导致了这种情况？,有没有什么特别让你感到难过的事情？,0,LOW
悲伤,有没有发生什么特别的事情让你有这种感觉？,请告诉我，这是由特定事件引起的吗？,0,HIGH
悲伤,在您的个人生活中是否发生过任何事情导致这些感觉？,有没有什么特别的事情让你有这种感觉？,0,LOW
悲伤,这是由特别事件引起的吗？,哦，听到这个我很抱歉。是特定情况导致的吗？,0,HIGH
悲伤,你能想到发生这种情况的具体原因吗？,这是由特别事件引起的吗？,0,LOW
悲伤,这是由特别事件引起的吗？,有没有发生什么特别让你感到难过的事情？不介意的话请告诉我。,0,HIGH
悲伤,这是由特别事件引起的吗？,是不是发生了什么特别的事情导致了这种情况？,0,HIGH
悲伤,有没有发生什么事情让你有这种感觉？,有没有发生什么事情让你有这种感觉？,0,HIGH
悲伤,有没有发生什么事情让你有这种感觉？,听到你很难过，我很抱歉。有什么事情让你难过吗？,0,HIGH
悲伤,为了让您感觉更好，我需要了解是否发生了什么事情导致了这种情况。是否有特定事件让您感到悲伤？,听到你很难过，我很抱歉。有什么事情让你难过吗？,0,HIGH
悲伤,我很抱歉听到这个。会不会是因为某个事件？如果是这样，我希望这对你来说不是太难。,这是由特别事件引起的吗？,0,LOW
悲伤,是否有什么特别的事情似乎引起了这种感觉？,这是由特别事件引起的吗？,0,LOW
悲伤,是不是发生了什么特别的事情导致了这种情况？,我很抱歉听到这个。你能找出让你有这种感觉的具体事件吗？,0,HIGH
悲伤,有什么特别让你有这种感觉的吗？,这是由特别事件引起的吗？,0,LOW
悲伤,我很遗憾听到你有这种感觉。你能告诉我是否有特定的事件导致了这种情况？,这是由特别事件引起的吗？,0,LOW
悲伤,你能想到发生这种情况的具体原因吗？,请告诉我这种感觉是否源于某个事件？,0,HIGH
悲伤,哦，听到这个我很抱歉。是特定情况导致的吗？,这是由特别事件引起的吗？,0,LOW
悲伤,我很遗憾听到你感觉不舒服。有什么特别的事情让你有这种感觉吗？,哦，听到这个我很抱歉。是特定情况导致的吗？,0,LOW
悲伤,您是否觉得您目前的情绪可能是由特定事件或事件引起的？,请告诉我这种感觉是否源于某个事件？,0,HIGH
悲伤,感谢您与我分享您的情绪，我知道现在可能很难处理它们。为了我能更好地帮助你，你能告诉我具体的事件是否让你有这种感觉吗？,听到你很难过，我很抱歉。有什么事情让你难过吗？,0,HIGH
悲伤,是不是发生了什么事情导致了这种感觉？,你觉得哪让我觉得抱歉。这是由特定原因引起的吗？,0,HIGH
悲伤,我很抱歉。这是由特定事件引起的吗？,听到你很难过，我很抱歉。有什么事情让你难过吗？,0,HIGH
悲伤,请问，有什么具体原因吗？,为了让您感觉更好，我需要了解是否发生了什么事情导致了这种情况。是否有特定事件让您感到悲伤？,0,LOW
悲伤,谢谢你让我知道，我非常抱歉你有这种感觉。请问这种感觉是不是有什么特殊原因？,你能想到让你开始有这种感觉的具体事件吗？,0,LOW
悲伤,有没有发生什么特别让你感到难过的事情？不介意的话请告诉我。,这是由特别事件引起的吗？,0,LOW
悲伤,有没有发生什么事情让你有这种感觉？,是不是发生了什么事情导致了这种感觉？,0,LOW
悲伤,这是因为什么特别的事情吗？,哦，听到这个我很抱歉。是特定情况导致的吗？,0,LOW
悲伤,这是由特别事件引起的吗？,这可能与特定事件有关吗？,0,HIGH
悲伤,这是由特别事件引起的吗？,有没有什么特别让你感到难过的事情？,0,HIGH
悲伤,这是由特别事件引起的吗？,我很遗憾听到你有这种感觉。你能告诉我是否有特定的事件导致了这种情况？,0,HIGH
悲伤,这是由特别事件引起的吗？,我很遗憾听到你感觉不舒服。有什么特别的事情让你有这种感觉吗？,0,HIGH
悲伤,你能想到让你开始有这种感觉的具体事件吗？,这是由特别事件引起的吗？,0,LOW
悲伤,是不是发生了什么事情导致了这种感觉？,我很遗憾听到你感到难过。你知道是什么导致了这种悲伤的感觉，这是一个特定的事件吗？,0,HIGH
悲伤,这是由特别事件引起的吗？,你能告诉我是否有特定的情况让你有这种感觉吗？,0,HIGH
悲伤,这种感觉是由特定事件引起的吗？,请告诉我，这是由特定事件引起的吗？,0,HIGH
悲伤,听到你很难过，我很抱歉。有什么事情让你难过吗？,你能想到发生这种情况的具体原因吗？,0,LOW
悲伤,是不是发生了什么事情导致了这种感觉？,这是由特别事件引起的吗？,0,LOW
悲伤,很抱歉听到这个，我可以理解。是否有导致这种情况的事件？,有没有什么特别的事情让你有这种感觉？,0,LOW
悲伤,请告诉我这种感觉是否源于某个事件？,哦，听到这个我很抱歉。是特定情况导致的吗？,0,LOW
悲伤,是不是有什么特别的事情带来了这种感觉？,我很抱歉听到这个。你能找出让你有这种感觉的具体事件吗？,0,HIGH
悲伤,你认为有什么特别的事情让你有这种感觉吗？你可以对我敞开心扉。,请告诉我这种感觉是否源于某个事件？,0,HIGH
悲伤,谢谢，我明白了。是不是有什么特别的原因导致了这种情况？,是不是发生了什么事情导致了你现在的感觉？,0,LOW
悲伤,有没有什么特别的事情让你有这种感觉？,这是由特别事件引起的吗？,0,LOW
悲伤,你认为有什么特别的事情让你有这种感觉吗？你可以对我敞开心扉。,这是由特别事件引起的吗？,0,LOW
悲伤,有没有什么特别的事情让你有这种感觉？,请告诉我这种感觉是否源于某个事件？,0,HIGH
悲伤,你能想到发生这种情况的具体原因吗？,我很遗憾听到你感到难过。你知道是什么导致了这种悲伤的感觉，这是一个特定的事件吗？,0,HIGH
悲伤,有没有发生什么让你难过的事情？,这是由特别事件引起的吗？,0,LOW
悲伤,听到你很难过，我很抱歉。有什么事情让你难过吗？,为了让您感觉更好，我需要了解是否发生了什么事情导致了这种情况。是否有特定事件让您感到悲伤？,0,LOW
悲伤,我很抱歉听到这个。会不会是因为某个事件？如果是这样，我希望这对你来说不是太难。,有没有发生什么特别让你感到难过的事情？不介意的话请告诉我。,0,LOW
悲伤,我很抱歉听到这个。是不是有什么特别的事情导致了这种感觉？,这是由特别事件引起的吗？,0,LOW
悲伤,是不是发生了什么特别的事情导致了这种情况？,这是由特别事件引起的吗？,0,LOW
悲伤,听到你很难过，我很抱歉。有什么事情让你难过吗？,这是由特别事件引起的吗？,0,LOW
悲伤,我很抱歉。这是由特定事件引起的吗？,在您的个人生活中是否发生过任何事情导致这些感觉？,0,HIGH
悲伤,谢谢你。有没有发生什么让你难过的事情？,很抱歉听到这个，我可以理解。是否有导致这种情况的事件？,0,HIGH
悲伤,这是由特别事件引起的吗？,你还记得是否有什么事情让你有这种感觉吗？,0,HIGH
悲伤,哦，听到这个我很抱歉。是特定情况导致的吗？,我很遗憾听到你感觉不舒服。有什么特别的事情让你有这种感觉吗？,0,HIGH
悲伤,听到你很难过，我很抱歉。有什么事情让你难过吗？,你还记得是否有什么事情让你有这种感觉吗？,0,LOW
悲伤,这是由特别事件引起的吗？,请告诉我，这是由特定事件引起的吗？,0,HIGH
悲伤,有没有发生什么特别让你感到难过的事情？不介意的话请告诉我。,请问，有什么具体原因吗？,0,HIGH
悲伤,有没有发生什么事情让你有这种感觉？,我很遗憾听到你感到难过。你知道是什么导致了这种悲伤的感觉，这是一个特定的事件吗？,0,HIGH
悲伤,很抱歉听到这个，我可以理解。是否有导致这种情况的事件？,我很抱歉听到这个。你能想到导致这种情况发生的具体原因吗？,0,LOW
悲伤,您是否觉得您目前的情绪可能是由特定事件或事件引起的？,有没有发生什么事情让你有这种感觉？,0,HIGH
悲伤,这是由特别事件引起的吗？,听到你很难过，我很抱歉。有什么事情让你难过吗？,0,HIGH
悲伤,你觉得哪让我觉得抱歉。这是由特定原因引起的吗？,是不是发生了什么事情导致了这种情况？,0,LOW
悲伤,请问，有什么具体原因吗？,这是由特别事件引起的吗？,0,LOW
悲伤,在您的个人生活中是否发生过任何事情导致这些感觉？,我明白。是否发生了特定事件使这发生？,0,LOW
悲伤,请问，有什么具体原因吗？,你能想到让你开始有这种感觉的具体事件吗？,0,LOW
悲伤,有没有发生什么事情让你有这种感觉？,谢谢你让我知道，我非常抱歉你有这种感觉。请问这种感觉是不是有什么特殊原因？,0,HIGH
悲伤,为了让您感觉更好，我需要了解是否发生了什么事情导致了这种情况。是否有特定事件让您感到悲伤？,这是由特别事件引起的吗？,0,LOW
悲伤,这是由特别事件引起的吗？,谢谢，我明白了。是不是有什么特别的原因导致了这种情况？,0,HIGH
悲伤,这是由特别事件引起的吗？,我很遗憾听到。你能告诉我它是否是由你可以分享的特定事件或事件引起的吗？,0,HIGH
悲伤,谢谢，我明白了。是不是有什么特别的原因导致了这种情况？,是不是发生了什么特别的事情导致了这种情况？,0,LOW
悲伤,如果您不介意分享，您是否因为某个特定事件而有这种感觉？,这是由特别事件引起的吗？,0,LOW
悲伤,有没有什么特别的事情让你有这种感觉？,这是因为什么特别的事情吗？,0,HIGH
