,emotion,rewriting,base,semantic,transformation
0,悲伤,这是由特别事件引起的吗？,我很遗憾听到你感觉不舒服。有什么特别的事情让你有这种感觉吗？,0,LOW
1,悲伤,这是由特别事件引起的吗？,有没有发生什么特别让你感到难过的事情？不介意的话请告诉我。,0,LOW
2,悲伤,这是由特别事件引起的吗？,我很抱歉听到这个。是不是有什么特别的事情导致了这种感觉？,0,LOW
3,悲伤,这是由特别事件引起的吗？,谢谢你。有没有发生什么让你难过的事情？,0,LOW
4,悲伤,这是由特别事件引起的吗？,我很抱歉听到这个。你能找出让你有这种感觉的具体事件吗？,0,LOW
5,悲伤,这是由特别事件引起的吗？,我明白。是否发生了特定事件使这发生？,0,LOW
6,悲伤,这是由特别事件引起的吗？,我很抱歉听到这个。会不会是因为某个事件？如果是这样，我希望这对你来说不是太难。,0,LOW
7,悲伤,这是由特别事件引起的吗？,我很遗憾听到你感到难过。你知道是什么导致了这种悲伤的感觉，这是一个特定的事件吗？,0,LOW
8,悲伤,这是由特别事件引起的吗？,如果您不介意分享，您是否因为某个特定事件而有这种感觉？,0,LOW
9,悲伤,这是由特别事件引起的吗？,听到你很难过，我很抱歉。有什么事情让你难过吗？,0,LOW
10,悲伤,这是由特别事件引起的吗？,你能告诉我是否有特定的情况让你有这种感觉吗？,0,LOW
11,悲伤,这是由特别事件引起的吗？,我很遗憾听到你有这种感觉。你能告诉我是否有特定的事件导致了这种情况？,0,LOW
12,悲伤,这是由特别事件引起的吗？,是不是发生了什么特别的事情导致了这种情况？,0,LOW
13,悲伤,这是由特别事件引起的吗？,在您的个人生活中是否发生过任何事情导致这些感觉？,0,LOW
14,悲伤,这是由特别事件引起的吗？,请告诉我，这是由特定事件引起的吗？,0,LOW
15,悲伤,这是由特别事件引起的吗？,为了让您感觉更好，我需要了解是否发生了什么事情导致了这种情况。是否有特定事件让您感到悲伤？,0,LOW
16,悲伤,这是由特别事件引起的吗？,有没有发生什么事情让你有这种感觉？,0,LOW
17,悲伤,这是由特别事件引起的吗？,很抱歉听到这个，我可以理解。是否有导致这种情况的事件？,0,LOW
18,悲伤,这是由特别事件引起的吗？,这是因为什么特别的事情吗？,0,LOW
19,悲伤,这是由特别事件引起的吗？,你能想到发生这种情况的具体原因吗？,0,LOW
20,悲伤,这是由特别事件引起的吗？,我很遗憾听到。你能告诉我它是否是由你可以分享的特定事件或事件引起的吗？,0,LOW
21,悲伤,这是由特别事件引起的吗？,是不是发生了什么事情导致了你现在的感觉？,0,LOW
22,悲伤,这是由特别事件引起的吗？,我很抱歉听到这个。你能想到导致这种情况发生的具体原因吗？,0,LOW
23,悲伤,这是由特别事件引起的吗？,谢谢，我明白了。是不是有什么特别的原因导致了这种情况？,0,LOW
24,悲伤,这是由特别事件引起的吗？,有没有发生什么让你难过的事情？,0,LOW
25,悲伤,这是由特别事件引起的吗？,是否有什么特别的事情似乎引起了这种感觉？,0,LOW
26,悲伤,这是由特别事件引起的吗？,请告诉我这种感觉是否源于某个事件？,0,LOW
27,悲伤,这是由特别事件引起的吗？,有什么特别让你有这种感觉的吗？,0,LOW
28,悲伤,这是由特别事件引起的吗？,我很抱歉。这是由特定事件引起的吗？,0,LOW
29,悲伤,这是由特别事件引起的吗？,你觉得哪让我觉得抱歉。这是由特定原因引起的吗？,0,LOW
30,悲伤,这是由特别事件引起的吗？,您是否觉得您目前的情绪可能是由特定事件或事件引起的？,0,LOW
31,悲伤,这是由特别事件引起的吗？,感谢您与我分享您的情绪，我知道现在可能很难处理它们。为了我能更好地帮助你，你能告诉我具体的事件是否让你有这种感觉吗？,0,LOW
32,悲伤,这是由特别事件引起的吗？,请问，有什么具体原因吗？,0,LOW
33,悲伤,这是由特别事件引起的吗？,这可能与特定事件有关吗？,0,LOW
34,悲伤,这是由特别事件引起的吗？,谢谢你让我知道，我非常抱歉你有这种感觉。请问这种感觉是不是有什么特殊原因？,0,LOW
35,悲伤,这是由最近或遥远的事件（或多个事件）引起的吗？,我可以认同这一点。现在，这些感觉是最近还是很久以前发生的事件的结果？,1,LOW
36,悲伤,这是由最近或遥远的事件（或多个事件）引起的吗？,我明白了。你会说这是最近发生的还是遥远的事件？,1,LOW
37,悲伤,这是由最近或遥远的事件（或多个事件）引起的吗？,谢谢，我明白了。你能告诉我这是最近发生的事情还是前一阵子发生的事情吗？我希望你没有因为这次事件而受到太多伤害。,1,LOW
