,Unnamed: 0,gender,age,emotion,base,rewriting
0,0,男性,18-39,悲伤,这是由特别事件引起的吗？,我很遗憾听到你感觉不舒服。有什么特别的事情让你有这种感觉吗？
2,2,男性,18-39,悲伤,这是由特别事件引起的吗？,我很抱歉听到这个。是不是有什么特别的事情导致了这种感觉？
5,5,女性,40-69,悲伤,这是由特别事件引起的吗？,我很抱歉听到这个。你能找出让你有这种感觉的具体事件吗？
8,8,男性,18-39,悲伤,这是由特别事件引起的吗？,我很抱歉听到这个。会不会是因为某个事件？如果是这样，我希望这对你来说不是太难。
9,9,男性,18-39,悲伤,这是由特别事件引起的吗？,我很遗憾听到你感到难过。你知道是什么导致了这种悲伤的感觉，这是一个特定的事件吗？
11,11,女性,18-39,悲伤,这是由特别事件引起的吗？,听到你很难过，我很抱歉。有什么事情让你难过吗？
15,15,男性,40-69,悲伤,这是由特别事件引起的吗？,我很遗憾听到你有这种感觉。你能告诉我是否有特定的事件导致了这种情况？
20,20,男性,40-69,悲伤,这是由特别事件引起的吗？,为了让您感觉更好，我需要了解是否发生了什么事情导致了这种情况。是否有特定事件让您感到悲伤？
21,21,女性,18-39,悲伤,这是由特别事件引起的吗？,哦，听到这个我很抱歉。是特定情况导致的吗？
26,26,男性,40-69,悲伤,这是由特别事件引起的吗？,很抱歉听到这个，我可以理解。是否有导致这种情况的事件？
32,32,男性,40-69,悲伤,这是由特别事件引起的吗？,我很遗憾听到。你能告诉我它是否是由你可以分享的特定事件或事件引起的吗？
36,36,女性,18-39,悲伤,这是由特别事件引起的吗？,我很抱歉听到这个。你能想到导致这种情况发生的具体原因吗？
43,43,女性,18-39,悲伤,这是由特别事件引起的吗？,我很抱歉。这是由特定事件引起的吗？
46,46,女性,18-39,悲伤,这是由特别事件引起的吗？,感谢您与我分享您的情绪，我知道现在可能很难处理它们。为了我能更好地帮助你，你能告诉我具体的事件是否让你有这种感觉吗？
49,49,女性,40-69,悲伤,这是由特别事件引起的吗？,谢谢你让我知道，我非常抱歉你有这种感觉。请问这种感觉是不是有什么特殊原因？
52,52,女性,18-39,悲伤,这是由最近或遥远的事件（或多个事件）引起的吗？,谢谢，我明白了。你能告诉我这是最近发生的事情还是前一阵子发生的事情吗？我希望你没有因为这次事件而受到太多伤害。
54,54,女性,40-69,悲伤,这是由最近或遥远的事件（或多个事件）引起的吗？,你现在一定很痛。你能分享一下这个事件是最近发生的还是更久以前？
68,68,男性,40-69,悲伤,这是由最近或遥远的事件（或多个事件）引起的吗？,了解您处理此问题的时间很重要。请问这是最近发生的事件还是遥远的事件？
71,71,男性,40-69,悲伤,这是由最近或遥远的事件（或多个事件）引起的吗？,谢谢，我想知道您认为您生活中的什么事件引发了这种感觉。这是最近发生的事件还是更遥远的过去？
76,76,女性,18-39,悲伤,这是由最近或遥远的事件（或多个事件）引起的吗？,对不起，那一定很难。是最近发生的事情还是很久以前发生的事情？
79,79,男性,40-69,悲伤,这是由最近或遥远的事件（或多个事件）引起的吗？,明白了，谢谢分享。你会说这是最近发生的还是遥远的事件，这样我才能得到更好的画面？
87,87,男性,18-39,悲伤,这是由最近或遥远的事件（或多个事件）引起的吗？,我很抱歉听到这个。是否有一些最近发生的事件可以作为造成这种情况的原因，或者是不久前发生的事件？
89,89,男性,40-69,悲伤,这是由最近或遥远的事件（或多个事件）引起的吗？,我很遗憾听到这个消息。这是最近发生的还是不久前发生的？
90,90,女性,18-39,悲伤,这是由最近或遥远的事件（或多个事件）引起的吗？,我很抱歉听到这个。我也可以问一下是不是由最近或遥远的事件（或事件）引起的？
92,92,女性,40-69,悲伤,这是由最近或遥远的事件（或多个事件）引起的吗？,非常感谢你让我知道。你会说是最近或遥远的事件（或事件）引起了这种情绪吗？
93,93,女性,18-39,悲伤,这是由最近或遥远的事件（或多个事件）引起的吗？,我明白了，谢谢。这件事是最近还是很久以前发生的？不管怎样，我希望你没被这件事有太大的创伤。
97,97,男性,18-39,悲伤,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,首先，您的感受对我很重要，所以我需要询问您之前与协议的互动情况。你最近有没有尝试过协议 6，如果是这样，它是否会因为你想起这件事而引发困难的情绪？
98,98,女性,40-69,悲伤,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,有些人发现协议 6 不一定对他们有帮助，所以我试图评估它是否适合您当前的情况。您是否尝试过协议 6，它是否让您感到任何负面情绪？
