,text,labels
0,我很遗憾听到你感觉不舒服。有什么特别的事情让你有这种感觉吗？,0
1,有没有发生什么特别让你感到难过的事情？不介意的话请告诉我。,0
2,我很抱歉听到这个。是不是有什么特别的事情导致了这种感觉？,0
3,谢谢你。有没有发生什么让你难过的事情？,0
4,是不是发生了什么事情导致了这种感觉？,0
5,我很抱歉听到这个。你能找出让你有这种感觉的具体事件吗？,0
6,你的情绪是由什么特定的事情引起的吗？,0
7,我明白。是否发生了特定事件使这发生？,0
8,我很抱歉听到这个。会不会是因为某个事件？如果是这样，我希望这对你来说不是太难。,0
9,我很遗憾听到你感到难过。你知道是什么导致了这种悲伤的感觉，这是一个特定的事件吗？,0
10,如果您不介意分享，您是否因为某个特定事件而有这种感觉？,0
11,听到你很难过，我很抱歉。有什么事情让你难过吗？,0
12,是不是有什么特别的事情带来了这种感觉？,0
13,你能告诉我是否有特定的情况让你有这种感觉吗？,0
14,有没有什么特别的事情让你有这种感觉？,0
15,我很遗憾听到你有这种感觉。你能告诉我是否有特定的事件导致了这种情况？,0
16,是不是发生了什么特别的事情导致了这种情况？,0
17,在您的个人生活中是否发生过任何事情导致这些感觉？,0
18,请告诉我，这是由特定事件引起的吗？,0
19,在这种感觉之前发生了什么吗？,0
20,为了让您感觉更好，我需要了解是否发生了什么事情导致了这种情况。是否有特定事件让您感到悲伤？,0
21,哦，听到这个我很抱歉。是特定情况导致的吗？,0
22,有没有发生什么事情让你有这种感觉？,0
23,你认为有什么特别的事情让你有这种感觉吗？你可以对我敞开心扉。,0
24,你还记得是否有什么事情让你有这种感觉吗？,0
25,你能想到让你开始有这种感觉的具体事件吗？,0
26,很抱歉听到这个，我可以理解。是否有导致这种情况的事件？,0
27,有没有什么特别让你感到难过的事情？,0
28,有没有发生什么特别的事情让你有这种感觉？,0
29,这种感觉是由特定事件引起的吗？,0
30,这是因为什么特别的事情吗？,0
31,你能想到发生这种情况的具体原因吗？,0
32,我很遗憾听到。你能告诉我它是否是由你可以分享的特定事件或事件引起的吗？,0
33,是不是发生了什么事情导致了这种情况？,0
34,是不是发生了什么事情导致了你现在的感觉？,0
35,有没有发生什么事情让你有这种感觉？,0
36,我很抱歉听到这个。你能想到导致这种情况发生的具体原因吗？,0
37,你能告诉我这是否是由特定事件引起的吗？,0
38,谢谢，我明白了。是不是有什么特别的原因导致了这种情况？,0
39,有没有发生什么让你难过的事情？,0
40,是否有什么特别的事情似乎引起了这种感觉？,0
41,请告诉我这种感觉是否源于某个事件？,0
42,有什么特别让你有这种感觉的吗？,0
43,我很抱歉。这是由特定事件引起的吗？,0
44,你觉得哪让我觉得抱歉。这是由特定原因引起的吗？,0
45,您是否觉得您目前的情绪可能是由特定事件或事件引起的？,0
46,感谢您与我分享您的情绪，我知道现在可能很难处理它们。为了我能更好地帮助你，你能告诉我具体的事件是否让你有这种感觉吗？,0
47,请问，有什么具体原因吗？,0
48,这可能与特定事件有关吗？,0
49,谢谢你让我知道，我非常抱歉你有这种感觉。请问这种感觉是不是有什么特殊原因？,0
50,我可以认同这一点。现在，这些感觉是最近还是很久以前发生的事件的结果？,1
51,我明白了。你会说这是最近发生的还是遥远的事件？,1
52,谢谢，我明白了。你能告诉我这是最近发生的事情还是前一阵子发生的事情吗？我希望你没有因为这次事件而受到太多伤害。,1
53,你能告诉我这个或多个事件是最近发生的还是过去发生的？,1
54,你现在一定很痛。你能分享一下这个事件是最近发生的还是更久以前？,1
55,引起您悲伤的事件是最近发生的事件还是不久前发生的事情？,1
56,明白了，谢谢分享。这是最近发生的还是遥远的事件？,1
57,请问这种感觉是最近还是过去的事情引起的？,1
58,引起你悲伤的事件是最近发生的还是遥远的？,1
59,这是最近发生的事情还是很久以前发生的事情？,1
60,这是因为最近或遥远的情况而发生的吗？,1
61,最近或遥远的事情是否触发了这些感觉？,1
62,你觉得让你体验这些感觉的情况是最近的还是遥远的？,1
