性别,年龄,悲伤 - 患者反应 1,悲伤 - 患者反应 2,悲伤 - 患者反应 3,悲伤 - 这是由特定事件引起的吗？,悲伤 - 这是由最近或遥远的事件（或事件）引起的吗？,悲伤 - 您最近是否尝试过协议 6 并发现由于旧事件而重新点燃了无法控制的情绪？,悲伤 - 您最近是否尝试过协议 11 并发现由于旧事件而重新点燃了无法控制的情绪？,悲伤 - 谢谢。现在我会问一些问题以了解您的情况。,悲伤 - 您是否对某人有强烈的感受或表达以下任何情绪：,悲伤 - 你认为你应该成为别人的救世主吗？,悲伤 - 您是否将自己视为受害者，将自己的负面情绪归咎于他人？,悲伤 - 你觉得你在试图控制某人吗？,悲伤 - 当出现问题时，您是否总是责怪和指责自己？,悲伤 - 在之前的对话中，您是否考虑过其他提出的观点？,悲伤 - 您是否正在经历个人危机（与亲人相处有困难，例如与朋友闹翻）？,愤怒 - 患者反应 1,愤怒 - 患者反应 2,愤怒 - 患者反应 3,愤怒 - 这是由特定事件引起的吗？,愤怒 - 这是由最近或遥远的事件（或多个事件）引起的吗？,愤怒 - 您最近是否尝试过协议 6，并发现由于旧事件，这会重新点燃无法控制的情绪？,愤怒 - 您最近是否尝试过协议 11，并发现由于旧事件，这会重新点燃无法控制的情绪？,愤怒 - 谢谢。现在我会问一些问题以了解您的情况。,愤怒 - 您是否对某人有强烈的感受或表达以下任何情绪：,愤怒 - 你认为你应该成为别人的救星吗？,愤怒 - 您是否将自己视为受害者，将自己的负面情绪归咎于他人？,愤怒 - 你觉得你在试图控制某人吗？,愤怒 - 当出现问题时，您是否总是责怪和指责自己？,愤怒 - 在之前的对话中，您是否考虑过其他提出的观点？,愤怒 - 您是否正在经历个人危机（与亲人相处有困难，例如与朋友闹翻）？,焦虑 - 患者反应 1,焦虑 - 患者反应 2,焦虑 - 患者反应 3,焦虑 - 这是由特定事件引起的吗？,焦虑 - 这是由最近或遥远的事件（或多个事件）引起的吗？,焦虑 - 您最近是否尝试过协议 6 并发现由于旧事件而重新点燃了无法控制的情绪？,焦虑 - 您最近是否尝试过协议 11，并发现由于旧事件，这会重新点燃无法控制的情绪？,着急 - 谢谢。现在我会问一些问题以了解您的情况。,焦虑 - 您是否对某人强烈感受到或表达了以下任何情绪：,焦虑 - 你认为你应该成为别人的救星吗？,焦虑 - 您是否将自己视为受害者，将自己的负面情绪归咎于他人？,焦虑 - 你是否觉得你在试图控制某人？,焦虑 - 当出现问题时，您是否总是责怪和指责自己？,焦虑 - 在之前的对话中，您是否考虑过其他提出的观点？,焦虑 - 您是否正在经历个人危机（与亲人相处有困难，例如与朋友闹翻）？,快乐 - 患者反应 1,快乐 - 患者反应 2,快乐 - 患者反应 3,快乐 - 那很好！让我推荐一个您可以尝试的协议。,所有情绪 - 根据您所说的，我相信您正在感受{}。这个对吗？,所有情绪 - 我很抱歉。请从下面的情绪中选择最能反映您感受的情绪：,所有情绪 - 感谢您的参与。再见,所有情绪 - 这是我的建议，请选择您想尝试的协议,所有情绪 - 请现在尝试通过此协议。完成后，按“继续”,所有情绪 - 采取此协议后，您感觉更好还是更糟？,所有情绪 - 您想尝试另一种协议吗？ （病人感觉好多了）,所有情绪 - 您想尝试另一种协议吗？ （病人感觉更糟）
男性,30-39,我有点沮丧,我心情很低落,此刻我感到相当难过,我很遗憾听到你感觉不舒服。有什么特别的事情让你有这种感觉吗？,我可以认同这一点。现在，这些感觉是最近还是很久以前发生的事件的结果？,知道您的感受对我很重要，我需要询问您之前与协议的互动情况。你最近有没有尝试过协议 6，如果是这样，它是否会因为你想起这件事而引发困难的情绪？,知道您的感受对我很重要，我需要询问您之前与协议的互动情况。你最近有没有尝试过协议 11，如果是这样，它是否会激发你记住这一事件的困难情绪？,感谢您迄今为止如此乐于助人和耐心。如果您不介意，我还有几个问题可以帮助我进一步了解情况。,我知道这可能很困难，但如果您能与我分享这一点，我将不胜感激。请问您是否对某人表达或感受到了以下强烈的情绪：,,,,,,,我对我朋友的行为感到非常恼火,我开始想我的伴侣什么时候离开我，我很生气,我有这种感觉是他们的错。,如果你能告诉我更多，我可以更好地帮助你。是否有特定事件让您有这种感觉？,你能告诉我这些特殊的感觉是由最近还是很久以前发生的事件引起的吗？,如果你能和我分享这个，那对我会有很大帮助。您最近是否尝试过协议 6，如果是这样，是否让您感到难以管理情绪？,如果你能和我分享这个，那对我会有很大帮助。你最近有没有尝试过协议 11，如果是这样，它是否让你感到难以管理情绪？,非常感谢您的合作，非常感谢。我还有几个问题可以帮助我更好地了解您的情况。,如果你能告诉我更多关于你的感受，我将不胜感激。我的一个问题是，您是否曾对另一个人表达过或向外表达过以下任何一种情绪：,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
女性,50-59,我今天感觉不太好。我的狗不舒服。,我觉得有点难过。我担心失去工作。,我很沮丧。我和姐姐意见不合。,有没有发生什么特别让你感到难过的事情？随意公开告诉我。,,有些人发现协议 6 不一定对他们有帮助，所以我试图评估它是否适合您当前的情况。您是否尝试过协议 6，它是否让您感到任何负面情绪？,有些人发现协议 11 不一定对他们有帮助，所以我试图评估它是否适合您当前的情况。您是否尝试过协议 11，它是否让您感到任何负面情绪？,谢谢你与我分享。我要问你一些问题，这样我们才能找出困扰你的根源。,您是否对他人有或表达过以下任何强烈情绪：,,,,,,,我真的很生气,我心情不好,我的心情不好,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
男性,30-39,不太好，我的狗昨天死了。,不是很好，只是整个星期都感到沮丧。,可能会更好，我宁愿这一天已经结束。,我很抱歉听到这个。是不是有什么特别的事情导致了这种感觉？,啊，我明白了。你会说这是最近发生的还是遥远的事件？,谢谢，我明白了。你会说这种负面情绪是由最近对协议 6 的尝试引发的吗？,谢谢，我明白了。你会说这种负面情绪是由最近对协议 11 的尝试引发的吗？,感谢您的耐心等待。我现在将问您几个问题，以帮助您了解您的情况。,谢谢，感谢您的耐心等待。您是否会说您对某人有强烈的感受或表达过以下任何一种情绪：,,,,,,,我对客户服务主管感到反感，因为她在我叙述我的问题时拒绝看清原因,我对我儿子很生气，因为他今天没有吃午饭,我对我的邻居很生气，因为他正在制造骚动,,,,,我很高兴你能敞开心扉分享你的情绪。我想再问你几个问题，以便更好地了解情况。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
女性,25-29,我有点沮丧,我真的很难过，因为我的狗跑了,男朋友跟我分手了，今天好难过,谢谢你。有没有发生什么让你难过的事情？,谢谢，我明白了。你能告诉我这是最近发生的事情还是前一阵子发生的事情吗？我希望你没有因为这次事件而受到太多伤害。,如果你最近在研究协议 6 并且它从过去的事件中带回了一些不好的感觉，你能告诉我吗？,你能告诉我你最近是否在研究协议 11 并且它从最近的事件中带回了一些不好的感觉吗？,谢谢你告诉我。我现在会问你一些问题，以便更多地了解你的情况。,你能告诉我你最近是否有以下任何情绪，或者你是否向其他人展示过这些情绪：,,,,,,,我很生气。我丢了钱,我很生气,我觉得脾气很暴躁,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
男性,25-29,不像我一直在看中东的新闻报道那么好。,随着学年即将结束，我有点坚定，我会想念我的学生。,我很难过，因为这是一个长周末，但我必须工作。,是不是发生了什么事情导致了这种感觉？,你能告诉我这个或多个事件是最近发生的还是过去发生的？,你是否尝试过协议 6，如果是的话，回顾这个​​创伤性事件是否会重新打开导致情绪爆发的旧伤口？,你是否尝试过协议 11，如果是的话，回顾最近的事件是否会重新打开导致情绪爆发的伤口？,谢谢，我很感激。我将尝试通过问你更多问题来深入了解这个问题。,你能想出一个你强烈感受到或向别人展示这些情绪的时候吗：,,,,,,,我很生气，因为我找不到借记卡。,我很不高兴，因为我的手机掉了，现在手机坏了。,我有点生气，因为詹姆斯没有完成他的任务。,是特殊情况造成的吗？,你认为这是由刚刚发生的事情还是你过去更遥远的事情引起的？,您最近是否尝试过协议 6，如果是，您是否正在考虑过去的一些创伤性情况，这些情况可能会重新打开这些伤口并带出这些情绪？,你最近有没有尝试过协议 11，如果是的话，你有没有想过你过去的一些创伤性情况可能会打开这些伤口并带出这些情绪？,谢谢。我将通过问你一些问题来深入挖掘，以便我们解决这个问题。,您是否曾向其他人感受或表达过以下任何情绪：,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
女性,50-59,我对我的分手感到很沮丧。,我只是不想再继续下去了，一切似乎都是那么绝望。,我无法停止哭泣，因为我非常想念我的妈妈。,我很抱歉听到这个。你能找出让你有这种感觉的具体事件吗？,你现在一定很痛。你能分享一下这个事件是最近发生的还是更久以前？,我想知道，最近尝试协议 6 是否会引发任何不好的感觉？如果发生这种情况，我希望你不会因为那次练习而受太多苦。,我想知道，最近尝试协议 6 是否会引发任何不好的感觉？如果发生这种情况，我希望你不会因为那次练习而受太多苦。,我感谢你的努力，尽管这对你来说一定很艰难。我现在有一些问题可以帮助您了解您的情况。,如果你没问题，你能告诉我你是否对任何人有过以下强烈的感觉：,,,,,,,我很生气我的同事因为我的工作而受到赞扬。,我的室友因为她的草率而让我发疯！,如果其他人试图在交通中切断我，我会爆炸！,谢谢你，我知道你现在很不高兴，但如果你能告诉我更多，我将不胜感激。是否有特定事件引起了您的愤怒？,触发是最近的还是很久以前的？,我想知道，如果你有机会尝试一下，你是否感受到了协议 6 引发的愤怒？,我想知道，如果您有机会尝试一下，您是否感受到了协议 11 引发的愤怒？,我很感激你试图发泄你的愤怒。让我们得到一些问题的答案，以便我们更好地了解您的情况。,我知道你生气了。你能告诉我，除了这种愤怒之外，你是否对任何人也有过以下强烈的情绪：,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
男性,40-49,我今天心情很不好。,我希望我感觉更快乐，但是这几天过得很艰难。,最近几天我的心情一直很低落。,你的情绪是由什么特定的事情引起的吗？,引起您悲伤的事件是最近发生的事件还是不久前发生的事情？,您是否能够尝试协议 6，如果是，您是否觉得该协议带来了您过去经历过的同样困难的情绪？,您是否能够尝试协议 11，如果是，您是否觉得该协议带来了与您在活动期间经历的相同的困难情绪？,感谢您分享您的感受。我有几个问题可以帮助我了解您的情况。,您是否发现自己对另一个人有以下任何一种情绪和/或表达：,,,,,,,不太好，我度过了非常沮丧的一天。,我现在很生气。,一切似乎都不顺利，我无法让任何人听我说话。,你能告诉我你的愤怒是否是由特定事件引起的吗？,引起你愤怒的事件，你认为是最近发生的还是不久前发生的？,您最近是否能够处理协议 6，如果有，您是否注意到您有与这次活动中类似的负面情绪？,您最近是否能够处理协议 11，如果有，您是否注意到您有与这次活动中类似的负面情绪？,我很感激你与我分享这个。我想再问几个问题，以帮助我了解您的情况。,您是否发现自己有任何这些情绪，或者您是否曾向另一个人表达过这些情绪：,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
女性,30-39,没那么好。我感到有点孤独,不太好。我今天工作搞砸了。,我有点沮丧。我今天考试不及格。,我明白。是否发生了特定事件使这发生？,明白了，谢谢分享。这是最近发生的还是遥远的事件？,,,我与您的情绪保持一致，我们将了解如何克服它。我想再问你一些问题，以更好地理解你为什么会有这种感觉。,请问您最近是否有过或表现出以下情绪：,,,,,,,不是很好。我对我的一个同事很生气。,我真的很生气我丈夫和我吵架。,我觉得很烂我一直在和我朋友吵架。,我明白了，谢谢你对我敞开心扉。是不是发生了什么事情导致了这个？,我能理解。最近或遥远的事件是否导致了这种情况？,,,我很遗憾听到你正在经历这一切。现在我会问你一些更多的问题来了解发生了什么，我希望会没事。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
男性,25-29,我最近情绪低落，无法摆脱这种恐惧。,我感到沮丧，不像我自己。,我好多了。感觉有点惨,我很抱歉听到这个。会不会是因为某个事件？如果是这样，我希望这对你来说不是太难。,请问这种感觉是最近还是过去的事情引起的？,你有没有尝试过协议 6，如果是这样，这是否会引发过去的负面情绪？,你有没有尝试过协议 11，如果是这样，这是否会引发最近的负面情绪？,感谢分享。如果你没问题，我还有一些问题。,如果可以的话，在有人陪伴时，您是否有以下强烈感受或情绪表达：,,,,,,,我被推到了恶化的地步，失去了冷静。,老实说，我感到很生气，就像我会伤害某人一样。,我的情绪在沸腾，我快要爆炸了。,你觉得这可能是单一事件的结果吗？,这种愤怒是否有可能是最近的原因，还是由于遥远的过去发生的事情？,你有没有尝试过协议 6，这是否有可能从过去的事情中引起一些紧张的情绪？,你有没有尝试过协议 11，这是否有可能从过去的事情中引起一些紧张的情绪？,我很感激你与我分享。我还有几个问题。,我现在要列出一些情绪。你能告诉我你是否对某人有过以下情绪：,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
男性,30-39,非常不安。本周早些时候我失去了一个亲人。,好郁闷。我最近被解雇了,一点都不好。我最近真的很怀疑自己。,我很遗憾听到你感到难过。你知道是什么导致了这种悲伤的感觉，这是一个特定的事件吗？,引起你悲伤的事件是最近发生的还是遥远的？,我明白这可能很困难。请问你是否尝试过协议 6 来更好地理解你的情绪，但通过它太痛苦了？,我明白这可能很困难。请问你是否尝试过协议 11 来更好地理解你的情绪，但通过它太痛苦了？,感谢您与我分享这一切，我想这一定很困难。我想通过更多的问题更好地了解您正在经历的事情。,在这个困难时期，您是否有过以下强烈的情绪：,,,,,,,我很生气。一切都不正常！,我现在无法忍受我生命中的任何人。,我讨厌我接触的每个人。,我很遗憾听到它，这是我们所有人有时都会经历的事情。你能告诉我这些感觉是否来自特定的事件？,我明白了，谢谢你。这是否源于最近发生的事情，还是已经酝酿了一段时间的遥远事件？,我知道有时回想过去会让人不舒服。你有没有试过通过协议 6 工作？如果是这样，您是否感到无法处理出现的情绪？,我知道有时回想过去会让人不舒服。您是否尝试过通过协议 11？如果是这样，您是否感到无法处理出现的情绪？,我想帮忙。请回答几个问题，帮助我更好地了解您的情况。,有时我们在某些情况下感觉非常强烈。您是否对生活中的某个人有过以下任何一种情绪：,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
